priority	kind	score	tag	file	line	text	same_line_export_ids	context
35	known_quote_not_exported	0	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	117	不亦快哉		这条代拟的草稿，我想必然可供有关人士的采行，不必另做了。还是腾出时间，多练练“双龙抱”和“全带七”，哪天下战书来比赛，我李敖绝对奉陪，来它32圈，打个你死我活，不亦快哉！
25	known_quote_not_exported	0	manual-check	050.如果爸爸犯了罪.txt	25	大义灭亲		大义灭亲（陈滢）
25	known_quote_not_exported	0	likely-exclude	050.如果爸爸犯了罪.txt	27	大义灭亲		千言万语不知从何说起，弟弟丧尽天良杀人全家，哥哥痛心疾首说他该枪毙！警察问他弟弟往哪边走，他当然一五一十的全说出来。这可不是“攘羊”小事，而是杀人一家六口，所以周信昌大义灭亲，提供有力线索，使得漳州街灭门血案凶嫌周信祥从速被捕获。
20	review_candidate_not_exported	7	literary-check	012.没良心.txt	3	不是我的。我的心是黑的，不能那样赤。	LASXGJ-034	在《一见哈哈笑》里，有一个笑话叫做《问心》。大意是说，有六个兄弟同住在一家旅馆，旅馆的粪坑里掉下一个柿子，大家看不清楚，都以为是一颗心。旅馆的老板问这颗心是谁的？老大说：“不是我的。我的心是黑的，不能那样赤。”老二说：“也不是我的心。我心不在胸中，现在胁下。”老三说：“更不是我的心。我的心是两个联在一处，人人常说我有二心，我何尝是一个心？”老四说：“我的心早...
20	review_candidate_not_exported	7	literary-check	012.没良心.txt	3	更不是我的心。我的心是两个联在一处，人人常说我有二心，我何尝是一个心？	LASXGJ-034	在《一见哈哈笑》里，有一个笑话叫做《问心》。大意是说，有六个兄弟同住在一家旅馆，旅馆的粪坑里掉下一个柿子，大家看不清楚，都以为是一颗心。旅馆的老板问这颗心是谁的？老大说：“不是我的。我的心是黑的，不能那样赤。”老二说：“也不是我的心。我心不在胸中，现在胁下。”老三说：“更不是我的心。我的心是两个联在一处，人人常说我有二心，我何尝是一个心？”老四说：“我的心早...
20	review_candidate_not_exported	7	literary-check	012.没良心.txt	3	我的心早坏了。若不是胆包着，早掉了。	LASXGJ-034	在《一见哈哈笑》里，有一个笑话叫做《问心》。大意是说，有六个兄弟同住在一家旅馆，旅馆的粪坑里掉下一个柿子，大家看不清楚，都以为是一颗心。旅馆的老板问这颗心是谁的？老大说：“不是我的。我的心是黑的，不能那样赤。”老二说：“也不是我的心。我心不在胸中，现在胁下。”老三说：“更不是我的心。我的心是两个联在一处，人人常说我有二心，我何尝是一个心？”老四说：“我的心早...
20	review_candidate_not_exported	7	literary-check	012.没良心.txt	3	我的心早已丢了。至今尚未去寻，所谓有放心而不知求者，即是我。	LASXGJ-034	在《一见哈哈笑》里，有一个笑话叫做《问心》。大意是说，有六个兄弟同住在一家旅馆，旅馆的粪坑里掉下一个柿子，大家看不清楚，都以为是一颗心。旅馆的老板问这颗心是谁的？老大说：“不是我的。我的心是黑的，不能那样赤。”老二说：“也不是我的心。我心不在胸中，现在胁下。”老三说：“更不是我的心。我的心是两个联在一处，人人常说我有二心，我何尝是一个心？”老四说：“我的心早...
20	review_candidate_not_exported	7	literary-check	012.没良心.txt	3	也不是我的心。我心不在胸中，现在胁下。	LASXGJ-034	在《一见哈哈笑》里，有一个笑话叫做《问心》。大意是说，有六个兄弟同住在一家旅馆，旅馆的粪坑里掉下一个柿子，大家看不清楚，都以为是一颗心。旅馆的老板问这颗心是谁的？老大说：“不是我的。我的心是黑的，不能那样赤。”老二说：“也不是我的心。我心不在胸中，现在胁下。”老三说：“更不是我的心。我的心是两个联在一处，人人常说我有二心，我何尝是一个心？”老四说：“我的心早...
20	review_candidate_not_exported	7	literary-check	050.如果爸爸犯了罪.txt	5	舜为天子，皋陶为士。瞽叟（舜的父亲）杀人，则如之何？	LASXGJ-134	桃应问曰：“舜为天子，皋陶为士。瞽叟（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
19	review_candidate_not_exported	6	literary-check	050.如果爸爸犯了罪.txt	5	夫舜恶得而禁之？夫有所受之也！	LASXGJ-134	桃应问曰：“舜为天子，皋陶为士。瞽叟（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
19	review_candidate_not_exported	6	literary-check	050.如果爸爸犯了罪.txt	5	然则舜不禁欤？	LASXGJ-134	桃应问曰：“舜为天子，皋陶为士。瞽叟（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
19	review_candidate_not_exported	6	literary-check	050.如果爸爸犯了罪.txt	5	然则舜如之何？	LASXGJ-134	桃应问曰：“舜为天子，皋陶为士。瞽叟（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
19	review_candidate_not_exported	6	literary-check	050.如果爸爸犯了罪.txt	5	执之而已矣！	LASXGJ-134	桃应问曰：“舜为天子，皋陶为士。瞽叟（舜的父亲）杀人，则如之何？”孟子曰：“执之而已矣！”“然则舜不禁欤？”曰：“夫舜恶得而禁之？夫有所受之也！”“然则舜如之何？”曰：“舜视弃天下，犹弃敝屣也！窃负而逃，遵海滨而处，终身欣然，乐而忘天下。”
18	review_candidate_not_exported	8	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	95	李敖是什么东西呀！他要我东，我偏要西！		我的妙想是：在我们目前的现状下，我李敖虽然仍天才横溢、斗志不衰，可是毕竟因三年来树敌太多，相对的增加不少敌意和阻力，也增加了不少对我有成见的傻瓜。所以同一句话，不出自别人之口而出自我李敖之口，外面的反应就多少有点不同。常常是一句真理，因为是我李敖说的，有些傻瓜们就难免赌气：“李敖说该这样，我们偏不这样！”“李敖是什么东西呀！他要我东，我偏要西！”可是，当这句...
18	review_candidate_not_exported	8	literary-check	001.从《秀嫚信箱》到《上下古今谈》.txt	95	李敖说该这样，我们偏不这样！		我的妙想是：在我们目前的现状下，我李敖虽然仍天才横溢、斗志不衰，可是毕竟因三年来树敌太多，相对的增加不少敌意和阻力，也增加了不少对我有成见的傻瓜。所以同一句话，不出自别人之口而出自我李敖之口，外面的反应就多少有点不同。常常是一句真理，因为是我李敖说的，有些傻瓜们就难免赌气：“李敖说该这样，我们偏不这样！”“李敖是什么东西呀！他要我东，我偏要西！”可是，当这句...
18	review_candidate_not_exported	5	literary-check	003.破题——从《人间喜剧》说起.txt	15	李敖，那老混蛋	LASXGJ-018	吴稚老的《上下古今谈》，有它的时代意义。但是今天看来，不论文体、思路与内容，都难免落伍。这是时代的进步，并不是个人与原书的悲哀。王羲之《兰亭集序》里说得好：“后之视今，亦犹今之视昔。”56年以后——我86岁的时候，《台湾日报》19965号的时候——后生小子们重看我这些《上下古今谈》，岂不还是要大笑“李敖，那老混蛋”吗？
18	review_candidate_not_exported	8	literary-check	008.不仅仅是做“好人”.txt	9	做好人是不够的，需要做奋斗的好人		这几段话，可说是对“好人”的一个指针。所谓“好人自命清高”、所谓“好人笼着手”、所谓“好人袖手”等等态度，都是要不得的态度，甚至可说是乡愿的态度。单单“做好人是不够的，需要做奋斗的好人”。——这是好人或以好人自许的人，必须认清的一个大动向。
18	review_candidate_not_exported	8	literary-check	019.臭皮匠和民主靴.txt	19	傻小子，臭皮匠！别忘了你吃的是谁的饭，别忘了你是干什么的！		“政府”本身是一个抽象的名词，在这个抽象名词背后，同样都是小百姓出身的公务人员，他们跟小百姓同样是人，同样是同源的血液，他们的先天跟小百姓并没有对峙的因子，只是在后天上，权力的掌握容易导致腐化和滥用，这是阿克吞与孟德斯鸠早就指出过的。为了防止他们的腐化与滥用，才有民意代表的出现来“为民喉舌”。民意代表有时侯忘了他们的立场，转而“为自己喉舌”或更进一步“为政府...
