source_file	line	status	text
001.《李敖情书集》新序.txt	7	selected	《李敖情书集》收有我给十位女朋友的信，我一生中的女朋友和情书，当然不止此数，但是情海余韵，亦堪“快然自足”。王羲之《兰亭集序》有道是：
002.《李敖情书集》原序.txt	29	selected	我认为男欢女爱是人类最大的快乐，这种快乐，是纯快乐，不该掺进别的，尤其不该掺进痛苦。过去胡适之先生给朋友写扇面，他写——
004.给Bonnie.txt	13	pending	在这四年的岁月中，我历经了不少的沧桑和蜕变，本性上的强悍与狂飚使我清楚的知道，我总归是一个愈来愈被“传统”所厌恶的叛道者，我孤立得久了，我不太妄想别人会改换一个角度来看我了，我也不再希冀我喜欢的人能够对我停止那些皮相的了解了，听了你对我说的话，我忍不住想起那位命途多舛的女诗人Sara Teasdale的两行句子：
006.给G的九十四封信.txt	635	pending	官司事连日盛行调停之势，居浩然的太太已经跟胡秋原谈判，胡表示将不告居大少爷了；现在老萧的朋友们又进行“和谈”，其中立法院前副秘书长袁雍（我的好朋友袁祝泰的老子）又想跟我商量，我则无可无不可，反正把老胡骂了个痛快，如要和谈，本人拒绝任何条件。他要告，我出庭；他要撤，我随他去，看他怎么下这个台阶。
006.给G的九十四封信.txt	701	pending	今早见报，居浩然小子居然没有他老子居正的种，反倒偷偷拜托老婆向胡秋原讨饶，湖北人真不行，真没种！我开玩笑说，看这样，非讨个老婆不可了，老婆可以化乖戾为祥和，可以揪着丈夫的耳朵谕令和解，而懦种的丈夫们也可以假托听太太的话而不再斗法，这不是很好的障眼法么？
006.给G的九十四封信.txt	907	pending	我最喜爱的张老师——蓬着头发，抽着烟斗，穿着破皮鞋，他待人和善、热情而诚恳，他是诗人，他嘴里有说不完的趣事，他当过兵、打过仗、做过生意，他的生活丰富得像一杯醇酒。我最不能忘记的一天，是上国文课，当他讲完了朱自清的《背影》后，他接着说到人生是一场战斗、又是一场梦时，他哈哈大笑起来。那种神情，他本身的文学气质，启发了我们对文学的兴趣。他治学的认真态度，更时时鼓励我们对创作的努力。他教我们爱生活、爱人类、爱自己的理想，哪一天我再能坐在外面有一排凤凰木的教室里，听他讲艺术、文学、哲学和人生呢？
006.给G的九十四封信.txt	941	pending	昨天去南港，晚上跟徐高阮等小吃小坐。今早马宏祥的老子来找我给他二小姐找事，后来老马的弟弟又来，预备吞掉老马的稿费，其实早被景新汉“吞”掉了，我只好送他五十元。后来辛八达又来信，杂事太多，真要命！
006.给G的九十四封信.txt	1083	pending	你要“老娘不嫁”，我就“老子入狱”，看你后悔不后悔？
006.给G的九十四封信.txt	1423	pending	王崇五读了一年来我的文章，很想认识我，他劝我少写文章惹麻烦，虽然我毫无背景、无野心，可是写多了，总会树敌太多。他说他生平最佩服的文章只有三个人：陈独秀的气势、胡适之的明畅、鲁迅的锋利，而今天之李敖，一人竟有他们三个人的长处。
006.给G的九十四封信.txt	1461	pending	3．胡适死了。
006.给G的九十四封信.txt	1463	pending	到南港后才知道是胡适的冥寿，特地到坟上看看，签过名，人多惊谓：“李敖来了！”
006.给G的九十四封信.txt	1467	pending	胡适住所全开放，我参观全部衣物，并吃了一块蛋糕。胡秘书、院警等跟我坐在沙发上穷聊了一阵。我在胡适的书架上找出我四年前的今天送给他的书，想到四年前见他那次，如今真是物是人非了！
006.给G的九十四封信.txt	1469	pending	我代表你参观了WC，胡适的马桶跟咱们家里的一样，——唯一的不同是盖子是白的，而且马桶前面没有瓜子皮、香蕉皮、葡萄干等等，非常遗憾。
006.给G的九十四封信.txt	1798	pending	我多年前就喜欢苏武给他太太的诗：
006.给G的九十四封信.txt	1838	pending	文星书店中《传统下的独白》《胡适评传》等都缺货已久。
006.给G的九十四封信.txt	1860	pending	我老子的一部《中国文学史》稿本，我也想整理付印。明年4月，是他去世十周年。
006.给G的九十四封信.txt	1926	pending	我的七本书中，现在文星书店“现货供应”的只有四本（其他《胡适评传》《为中国思想趋向求答案》及《教育与脸谱》都已卖光，光得像贝贝的屁股）。
006.给G的九十四封信.txt	1948	pending	我记得十多年前（也许是近二十年前），读朱自清的一首小诗——《仅存的》，里头有几句说：
006.给G的九十四封信.txt	1972	pending	又如“中国不亡，是无天理”的话，本是胡适讲给孙伏园的，后来也传遍天下，大家也不晓得原来是胡适说的。
006.给G的九十四封信.txt	2070	pending	一直惦着给你写信，可是这一阵子又为人过旧年（我自己反对过旧年，并且一直不过。后来我老子死了，我怕我家老太难过，乃为她过旧年），又忙着为“文星事件”擦屁股（这屁股好难擦！）又因“文星事件”而不得不重新检讨我的写作方向和谋生计划，所以这封信一拖，又拖了二十五天！
006.给G的九十四封信.txt	2096	pending	我前天傍晚到台中，办三件事：一、看老太病，二、校老子遗稿《中国文学史》并写序；三、跟徐复观打官司。现在三件事都办完，一小时后，就要北返。
006.给G的九十四封信.txt	2116	pending	这次在台中校正爸爸的遗稿，校完后，我对自己说：“看了这本文学史中的中国文人相，他们真是不行、真是笨。尤其在方法上和表达法上，他们更是差。以致民国六年胡适登高一呼‘文学革命’，乃有天下风从的效果。当时胡适并未读过多少中国书，可是因为方法好、表达法好，所以立刻能把握住大趋向。中国文人中像他那样聪明的，真是太少了！”
011.给Y的四十八封信.txt	53	pending	多可怕呀！亲爱的，我们被特务包围了！何况你又是特中特。你的身份，使我想起莎士比亚笔下Caesar被刺前的哀呼：——“Et tu，Brutus？”（梁实秋译做“你也参加，布鲁特斯”？我觉得不太好，因为不够生动，该译做“还有你，布鲁特斯”？）于是，我更“不胜临深履薄之至”了！
011.给Y的四十八封信.txt	263	selected	我从泥土里来，又要归于泥土。在来临与归去间，我的生命将被烛油烫醒。泰戈尔已叮咛过：“不要忘记那执灯的人。”我不会忘记，直到“天边”，直到永远。
011.给Y的四十八封信.txt	537	pending	昨天下午又跑到南港，在胡适纪念馆和胡适墓上走动一番，带回几张卡片，分两张给你。
011.给Y的四十八封信.txt	614	pending	大概是刚才买蟑螂药买来的灵感，我忽然想到William Blake的那首《毒药树》（A Poison Tree），在这岛上，也许我真该在三月十二号的法定植树日种它几棵毒药树：
011.给Y的四十八封信.txt	652	pending	别忘了当代老子所说的：
011.给Y的四十八封信.txt	662	pending	老子第七十三代孙。他叫李耳，我叫李眼，你只要“以耳当目”，就成了！
011.给Y的四十八封信.txt	690	pending	醒来读William Blake “I Asked A Thief”读到最后“And still as a maid/ Enjoy’d the lady” 一段，颇有感触。
011.给Y的四十八封信.txt	789	pending	我在一九五七年三月，在《自由中国》上发表《从读〈胡适文存〉说起》，批评胡适删书删得过分：“……替如像《这一周》，难道在这六十三篇短评中，甚至连一篇值得保留的都没有吗？可是胡先生却大笔一钩，全删去了，我觉得最可惜的无过于此了。”前两天我看到童世纲《胡适文存索引》里发表的胡适给他的一封信，是在我这篇文章发表后十个月（一九五八，一）写的，说：“现在我颇觉得删《这一周》是可惜的。”忽然想起这么一个故事，写给你吧。
011.给Y的四十八封信.txt	817	pending	今天是足不下楼的第八天，换句话说，也就是治安人员看不到我的第八天。我叫小八明天替我找个理发的人来，连理发都不出门，其闭关之心可想。在家心静如水，（“臣门如市，臣心如水”？）每天洗热水澡两次，偶看电视、听唱片，然后就是吃饭以外的全天做工（写来看去剪东贴西）。洗澡的次数不少于丘吉尔，做工的时数不少于胡佛（每天十五时）。董仲舒当年不窥园，我因无园可窥，可算不窥，有时天气阴晴都不知道！——“坐牢于我何有哉？老子先坐给你们看！”
012.给汝清的五封信.txt	9	selected	至于水多的人，水淋淋的，水来土掩，该用土克一下，最好住在土城之地土化之，只见土木形骸，不见水木清华，脱水以后，只剩几分“咸湿”（广东话），半年后又是一条好汉！想到水，想到老子的话：“天下莫弱于水，而攻坚强者，莫之能胜。”John Bullein却说“水是很好的仆人，却是残忍的主人。”（Water Is a very good servent，but It Is a cruel master．）这都表示了水这一行，可大可小可利可害。而它最大最小最利最害的表演，就是做成女人。俗话说女人是水做的，比照《创世纪》亚当肋骨造女人之说，后者当为不实。应该更正为亚当之尿过滤后造女人才对。这也说明了，为什么有的女人很骚，此无他，过滤得不徹底之过也！
012.给汝清的五封信.txt	33	pending	《新约·哥林多后书》有两段话，我最喜欢，我把它们改译如下：
012.给汝清的五封信.txt	35	pending	一、哥林多后书第四章第八至九节
012.给汝清的五封信.txt	53	pending	二、哥林多后书第六章第八至十节
012.给汝清的五封信.txt	85	pending	哥林多是希腊的一个大城。《哥林多后书》是保罗跟哥林多教会发生“谁是真使徒”的争执时写的。保罗真是一个怪人，他早年受犹太教影响，信上帝却反基督，他不相信基督教，他以犹太公会会员的身分，去抓基督徒，走到半路，据说有一道强光照上了他，同时有声音对他说：“扫罗，扫罗，你为什么逼迫我？”他问：“你是谁啊？”那声音说：“我就是你逼迫的耶稣。起来，进城去。”这下子保罗转变了，他把扫罗的名字改为保罗，加入基督教的阵营。由于他的努力，基督教开始有了世界性，在基督教里，他成了继往开来的大宗师。
012.给汝清的五封信.txt	179	selected	我的艺术家，最近你做陶艺吗？我想起老子的一段话：“埏埴以为器，当其无，有器之用。”“埏”是以水和土，埴是黏土。这话就是说，做陶艺成了艺术品，用它空无的地方装东西，才能发挥它的意义。可见人生的许多真理与愉悦，由陶瓷可象征得之。
012.给汝清的五封信.txt	191	pending	前一阵子胡适的儿子胡祖望回来，把他母亲留下的许多日记文稿通通烧掉。这位胡老太就是离奇的，胡适一辈子对她那么好，她却不断的乱说乱写乱骂。胡适死的那天，她甚至表演搥尸，大哭“死鬼胡适之呀”！有些老太婆有严重的偏执狂，认为全世界都对不起她。某星妈有一天对我哭诉说：“李敖你看我多可怜啊！我自从肚子怀了她（某明星）以后，她爸爸就永远不与我同房了，我就一直守活寡了！你看我多可怜啊！”我说：“你有没有想想你有没有错呢？你买来硝镪水要毁你丈夫的容，你丈夫离家出走，你的可怜，又怪谁呢？”
