kind	score	file	line	text
high_candidate	8	004.北京·太原（1937-1948·2到13岁）.txt	3	同意由李同志参加敌伪组织内，作掩护与策动各工作
high_candidate	8	005.上海（1948-1949·13到14岁）.txt	25	骂了不还口，打了不还手
high_candidate	8	005.上海（1948-1949·13到14岁）.txt	35	这种照片，都是李敖捏造的，用来丑化政府！你们替他发行，可得负责任！
high_candidate	7	005.上海（1948-1949·13到14岁）.txt	35	这些无知的武人，根本不要理他，叫他来找我好了。
high_candidate	8	006.台中（1949-1954·14到19岁）.txt	143	我兄名满天下，却如此念旧，衷心感动不已！
high_candidate	7	006.台中（1949-1954·14到19岁）.txt	143	奥斯汀《傲慢与偏见》小说中，就有谁比谁漂亮一倍的用法。
high_candidate	8	006.台中（1949-1954·14到19岁）.txt	149	好！你小子要休学，就休吧！
high_candidate	7	006.台中（1949-1954·14到19岁）.txt	199	黄钟是好人，可是长了一副坏人相。他的人与相不相称，所以要早死。
high_candidate	8	007.台大（1954-1959·19到24岁）.txt	3	适见自乱体制，破坏教育之行政系统耳
high_candidate	8	007.台大（1954-1959·19到24岁）.txt	29	你将来阔到了做总统，我们也不上你门；你将来穷得讨了饭，讨到我们家门口，请你多走一步！
high_candidate	7	007.台大（1954-1959·19到24岁）.txt	35	这回你远走高飞，可自由了。
high_candidate	7	007.台大（1954-1959·19到24岁）.txt	37	雷震特别写信给我，推荐你这篇文章。
high_candidate	7	008.军队（1959-1961·24到26岁）.txt	39	每人只限娱乐一次，每次不得超过40分钟，逾时侍应生可以拒绝之
high_candidate	8	008.军队（1959-1961·24到26岁）.txt	47	报告蒋主任，你穿袜子洗脚吗？
high_candidate	7	008.军队（1959-1961·24到26岁）.txt	63	我们老军官出事死了，死就死了；你们预备军官出了事，对上面、对外面不好交代。
high_candidate	8	009.山居（1961-1962·26到27岁）.txt	123	我真的不要你这样写下去，这样写下去，你早晚要去那个地方！
high_candidate	8	009.山居（1961-1962·26到27岁）.txt	129	幸亏我趁早开溜，他已经反过来向我发问了！
high_candidate	7	009.山居（1961-1962·26到27岁）.txt	129	政和只七年，洪迈此乃重和元年之误，是年为1118年。
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	5	若过于放肆，不但树敌太多，亦恐于工作有妨
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	5	往事已过，今后仍应潜心学问
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	5	借此研究民国史，以期有些具体的成就
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	11	有参谋团、顾问
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	11	青年后面有中年、有老年、比我更老的前辈。
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	11	是由一个教育机关，一个学术机关的人，组织了一个参谋团，还加上一个后勤机关，不断集会三个星期
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	65	现在李先生和胡秋原打官司，不知道可不可以等官司告一段落后，再来中央研究院？
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	65	胡秋原是中央研究院近代史研究所的通讯研究员，这官司还是他主动告我的，为什么他能从里面朝外面打官司，就不影响他的职务；而我从外面向里面打官司，就要对职务有影响呢？
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	127	脱离战地，背叛国家
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	127	不杀之恩，愧无以报
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	127	那一天他跟我说了许多话，要我记下来，将来在适当的时候再发表。我现在写出一二。
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	127	希（圣）今后决心不再混政治舞台，但求速死耳
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	127	此后希（圣）将去之海外，为人所忘以死矣。
high_candidate	8	010.文献会（1962-1963·27到28岁）.txt	131	这样被国民党欺负了，就算了？
high_candidate	7	010.文献会（1962-1963·27到28岁）.txt	131	你不能得罪犹太人，得罪了犹太人一如得罪了李敖，他跟你没完没了。
high_candidate	7	011.《文星》（1962-1966·27到31岁）.txt	13	《文星》对得住胡先生，只有《文星》对得住胡先生了
high_candidate	7	011.《文星》（1962-1966·27到31岁）.txt	17	李敖的两句话：今后我对文星杂志的编务，不再过问。特此声明。
high_candidate	7	011.《文星》（1962-1966·27到31岁）.txt	17	我极为这封窝囊的复内政部函恼怒。傍晚很不客气的指责孟能。孟能夜来寓，谈到清早5时，
high_candidate	8	011.《文星》（1962-1966·27到31岁）.txt	65	不应凭借权力，压制他人
high_candidate	8	011.《文星》（1962-1966·27到31岁）.txt	65	必须放弃一切偏激的、狭隘的、不容忍的作风
high_candidate	8	011.《文星》（1962-1966·27到31岁）.txt	111	萧同兹父子书店近四年来之活动，乃与匪帮盲进运动相呼应
high_candidate	7	011.《文星》（1962-1966·27到31岁）.txt	111	他曾是‘蒋经国的打手’，说他当年亲奉蒋经国之命，对《文星》集团开火。
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	25	大脑在休息，小脑正在反射
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	25	荒唐的法律，任何文明国家所没有的法律
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	25	把洋鬼子绑起来，这是中华民族美梦之一
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	25	与家里‘欧八桑’先奸后娶者有之；奸而不娶者有之
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	47	李敖哇，你自杀算了！这个岛上没有你的活路！
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	73	知识分子如此借刀杀人，太卑鄙了！
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	73	信在你手中一年后，你才告密，证明你就是‘叛逆分子’！
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	79	你在《老年人和棒子》里，提到的江亢虎是谁啊？
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	95	敖之，你不是说有个凯子吗？
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	95	是啊！凯子不是别人，就是你小子呀！
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	95	但是，但是，敖之，我不是王八，这怎么成？我已经招待记者，当众宣布我是王八了！
high_candidate	8	012.星沉（1966-1970·31到35岁）.txt	95	一定是我老婆来查勤了，千万别承认！
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	95	除非你叫我爸爸，我不借。
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	95	大丈夫，怎么可以叫人爸爸？不过，叫人‘把拔’可以。
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	95	难道非做王八不可吗？难道非做王八不乐吗？难道要做错了王八，还要为了面子错到底吗？难道非说你老婆偷人，你才变得理直气壮吗？家昌啊！何必自寻烦恼啊！
high_candidate	7	012.星沉（1966-1970·31到35岁）.txt	95	……不在啊……没有啊……我昨晚拍片，今早4点才上床啊……
high_candidate	7	013.软禁（1970-1971·35到36岁）.txt	295	处（保安处）里要请李先生现在去一趟，派黑轿车来，就在楼下。
high_candidate	7	013.软禁（1970-1971·35到36岁）.txt	295	情况很麻烦，你要有心理准备。
high_candidate	8	014.监狱（1971-1976·36到41岁）.txt	11	丁慰慈！你早说实话，不就少吃那么多的苦头了么？
