score	file	line	text	reasons	context
12	005.评改余光中的一首译诗.txt	11	The Concise Treasury of Great Poems	external-cue,quote-like,latin-text	书中最引我注意的是桑塔亚纳那首《悲悼》。余光中把英文原题印成With You a Part of me，显然就有问题。因为这诗本是桑塔亚纳《给W. P. 》（To W. P.）诗的第二首，余光中的错误，可断定是照抄Louis Untermeyer的“The Concise Treasury of Great Poems”而来。因为Louis Untermeyer书中第397页里，有介绍桑塔亚纳的原文是：
12	051.《我们七个》.txt	173	Three in all	external-cue,quote-like,latin-text	看到奂均的情况后，使我联想到华兹华斯的《我们七个》这首诗（很巧，当时奂均的年龄跟诗中小女孩的年龄同为八岁），重翻读之，愈使我对奂均放心，自己愈感到安慰。大人们总是容易低估小孩子的心灵境界和生命力了，大人们的多愁善感，对小孩子来讲是多余的，我们未免太操心了吧！现在如果有人问奂均，你有几个姐妹，她一定回答“Three in all”，而且会一直坚持“We are three”到底，愈是手足情深，愈会如此。
12	051.《我们七个》.txt	173	We are three	external-cue,quote-like,latin-text	看到奂均的情况后，使我联想到华兹华斯的《我们七个》这首诗（很巧，当时奂均的年龄跟诗中小女孩的年龄同为八岁），重翻读之，愈使我对奂均放心，自己愈感到安慰。大人们总是容易低估小孩子的心灵境界和生命力了，大人们的多愁善感，对小孩子来讲是多余的，我们未免太操心了吧！现在如果有人问奂均，你有几个姐妹，她一定回答“Three in all”，而且会一直坚持“We are three”到底，愈是手足情深，愈会如此。
12	060.关于《丽达与天鹅》.txt	79	Above the staggering girl	external-cue,quote-like,latin-text	二、由第一行之“the great wings beating still”到第二行之 “Above the staggering girl”的英文，余译为“巨翼犹兀自拍动，扇着欲坠的少女”云云，是译错了文法结构，就翻译讲，似是个很大错误。因“Above the staggering girl”是说明“the great wings beating still”之空间位置的片语也。就片语结构言，为一prepositional phrase；就片语作用言，为一adverbial phrase。再说staggering girl，意为摇摇摆摆的少女，或悬空摇摆的少女，而不宜译为“欲坠的少女”。
12	060.关于《丽达与天鹅》.txt	79	Above the staggering girl	external-cue,quote-like,latin-text	二、由第一行之“the great wings beating still”到第二行之 “Above the staggering girl”的英文，余译为“巨翼犹兀自拍动，扇着欲坠的少女”云云，是译错了文法结构，就翻译讲，似是个很大错误。因“Above the staggering girl”是说明“the great wings beating still”之空间位置的片语也。就片语结构言，为一prepositional phrase；就片语作用言，为一adverbial phrase。再说staggering girl，意为摇摇摆摆的少女，或悬空摇摆的少女，而不宜译为“欲坠的少女”。
12	060.关于《丽达与天鹅》.txt	79	the great wings beating still	external-cue,quote-like,latin-text	二、由第一行之“the great wings beating still”到第二行之 “Above the staggering girl”的英文，余译为“巨翼犹兀自拍动，扇着欲坠的少女”云云，是译错了文法结构，就翻译讲，似是个很大错误。因“Above the staggering girl”是说明“the great wings beating still”之空间位置的片语也。就片语结构言，为一prepositional phrase；就片语作用言，为一adverbial phrase。再说staggering girl，意为摇摇摆摆的少女，或悬空摇摆的少女，而不宜译为“欲坠的少女”。
12	060.关于《丽达与天鹅》.txt	79	the great wings beating still	external-cue,quote-like,latin-text	二、由第一行之“the great wings beating still”到第二行之 “Above the staggering girl”的英文，余译为“巨翼犹兀自拍动，扇着欲坠的少女”云云，是译错了文法结构，就翻译讲，似是个很大错误。因“Above the staggering girl”是说明“the great wings beating still”之空间位置的片语也。就片语结构言，为一prepositional phrase；就片语作用言，为一adverbial phrase。再说staggering girl，意为摇摇摆摆的少女，或悬空摇摆的少女，而不宜译为“欲坠的少女”。
12	060.关于《丽达与天鹅》.txt	87	The feathered glory from her loosening thighs	external-cue,quote-like,latin-text	六、第六行之“The feathered glory from her loosening thighs”，余译之为“她松弛的股间，那羽化的宠幸”云云，似也没有译出“大鸟宠幸少女作爱之顷的实况”意味。那实况意味，似为“少女的松软双股之间，承受鸟毛宠幸的那阵毛茸茸感受”也。
12	060.关于《丽达与天鹅》.txt	91	And Agamemnon dead	external-cue,quote-like,latin-text	八、第十一行之“And Agamemnon dead”，余译为“而亚嘉曼农死去”。窃以若译为“和亚嘉曼农遭妻杀害”岂不更好些？再者，“亚嘉曼农之被妻杀害”，本是与前面的“残壁断垣”，“被烧毁的屋顶楼城”，都是那“鸟人作爱”酿成的累积祸事。故“The broken wall，the burning roof and tower/ And Agamemnon dead”中的这个“And”，语法结构上的词性意义（the meaning of the part of speech），是个accumulative conjunction（累积连接词）。但余译为“而”，而非“而且”，不仅不足以显示And的累积连接词的作用意思，且还会被人看成有contrary conjunction（反意连接词）的意味了。翻译语词句子，对其中关键字（key word）的词类功能、语法构造地位，以及字之隐义和显义，都须严格把握住才好。
10	《爱情的秘密》前置词.txt	3	‘诗’内瘴	external-cue,quote-like,chinese-compact	眼前的所谓诗人，不论新旧，都不承认李敖是诗人，这就恰像骗子不承认君子是君子一样。所谓新诗人也好、旧诗人也罢，其实都是自欺欺人的骗子，李敖拆穿了他们，并且以真正诗人的眼睛、用真正诗的语言，为上当的读者指点迷津，脱离“‘诗’内瘴”。
10	001.爱情的秘密.txt	7	但无言语空相骂	external-cue,quote-like,chinese-compact	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
10	001.爱情的秘密.txt	7	怜我怜卿	external-cue,quote-like,chinese-compact	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
10	001.爱情的秘密.txt	7	齐心同所愿，含意俱未伸	external-cue,quote-like,chinese-compact	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
10	001.爱情的秘密.txt	7	细语温存	external-cue,quote-like,chinese-compact	就实际生活方面说，世间最深切的莫如男女爱情。爱情摆在肚子里面比摆在口头上面来得恳切。“齐心同所愿，含意俱未伸”和“但无言语空相骂”，比较“细语温存”“怜我怜卿”的滋味还要更加甜蜜，英国诗人布莱克（Blake）有一首诗叫做《爱情之秘》（Love's Secret）里面说：
10	001.爱情的秘密.txt	19	不着一字，尽得风流	external-cue,quote-like,chinese-compact	这首布莱克的诗，颇有《诗品》中“不着一字，尽得风流”的境界。原诗如下：
10	001.爱情的秘密.txt	81	诗无能者	external-cue,quote-like,chinese-compact,political-cue	译得虽然不满意，但总觉得比朱译稍胜。我认为诗以有韵为上，没韵的诗，只证明了掌握中文能力的不足。台湾的所谓诗人和译诗家，既不诗又不韵，像性无能者一般，是“诗无能者”，却整天以阳痿行骗，真是笑话极矣！
10	005.评改余光中的一首译诗.txt	7	并非尽属一流作品	external-cue,quote-like,chinese-compact	余光中说他是“新诗的信徒，也是现代诗的拥护者”。但这本书中所选，“并非尽属一流作品”。因为“译诗一如钓鱼，钓上一条算一条，要指定译者非钓上海中那一条鱼不可，是很难的”。这是余光中的精巧声明。
10	005.评改余光中的一首译诗.txt	7	新诗的信徒，也是现代诗的拥护者	external-cue,quote-like,chinese-compact	余光中说他是“新诗的信徒，也是现代诗的拥护者”。但这本书中所选，“并非尽属一流作品”。因为“译诗一如钓鱼，钓上一条算一条，要指定译者非钓上海中那一条鱼不可，是很难的”。这是余光中的精巧声明。
10	005.评改余光中的一首译诗.txt	7	译诗一如钓鱼，钓上一条算一条，要指定译者非钓上海中那一条鱼不可，是很难的	external-cue,quote-like,chinese-compact	余光中说他是“新诗的信徒，也是现代诗的拥护者”。但这本书中所选，“并非尽属一流作品”。因为“译诗一如钓鱼，钓上一条算一条，要指定译者非钓上海中那一条鱼不可，是很难的”。这是余光中的精巧声明。
10	020.菩萨写诗.txt	3	人权日夜	external-cue,quote-like,chinese-compact,political-cue	李筱峰在去年12月10日“人权日夜”，在贺年片上写《叙近况致敖之先生》七绝一首，原诗是——
10	036.两亿年在你手里.txt	55	所过者化，所存者神	external-cue,quote-like,chinese-compact,political-cue	地质学上，“三叠纪”是Triassic，“中生代”是Mesozoic，“菊石”（鹦鹉螺化石）是ammonite。中国古人说“所过者化，所存者神”，化石给我的感觉，正是如此。
10	051.《我们七个》.txt	175	胡李译本	external-cue,quote-like,chinese-compact	华兹华斯这首We Are Seven的诗，非常美，朗诵时，诗中小女孩外表的模样和与大人对话的神情，会浮现于眼前，怜惜之情，油然而生，实在太美太美了。今“胡李译本”已竣，我仍希望能借着你的丽笔，公之于世，飨宴你的读者，证明你也具有“软体”成分的一面。
10	059.以山谷之道，还治其身.txt	3	狞面目恶气象	external-cue,quote-like,chinese-compact	宋朝诗人黄庭坚（字鲁直，自号山谷道人，又号涪翁）的诗，曾被骂为“邪思之尤者”（张戒《岁寒堂诗话》）、《剽窃之黠者》（王若虚《滹南诗话》），并且是“狞面目恶气象”者（冯班《钝吟杂录》），但是我却喜欢，尤喜欢他的《武昌松风阁》诗。全诗是：
