file	line	matched_quote	previous_id	previous_book	previous_source	context
003.独身者的独白.txt	15	无何有之乡	LAWN-011	我最难忘的事和人	003.我最难忘的一片小湖.txt:11-11	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	广漠之野	LAWN-012	我最难忘的事和人	003.我最难忘的一片小湖.txt:11-11	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	独与天地精神往来	LAWN-013	我最难忘的事和人	003.我最难忘的一片小湖.txt:11-11	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	独与天地精神往来	LAWN-022	我最难忘的事和人	007.我最难忘的一个官僚同学.txt:11-11	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	独与天地精神往来	LAYTAS-004	李敖议坛哀思录	004.以玩笑出之.txt:5-5	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	独与天地精神往来	LAFLZ-031	李敖风流自传	159.我中学没毕业.txt:3-3	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	独与天地精神往来	LAFLZ-097	李敖风流自传	507.我玩世.txt:3-3	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
003.独身者的独白.txt	15	无何有之乡	LAFLZ-139	李敖风流自传	231.红玫瑰.txt:29-29	在我抽到第一百零九根新乐园的时候，忽然茅塞顿开直指本心，心想既然“时不我与”“女人不我与”，何不就此提倡独身主义？一个人一生中不像培根那样提倡一阵子独身主义，就好像维纳斯丢了那条胳膊一般。换言之，一个堂堂七尺大丈夫如本文作者者，一定要花他生命一段时间去恨女人恨家庭不可，无金屋可藏、无孺子可教、无脸色可看、无小心可陪、无冤大头可当……而孑然一身，独与天地精神往来，遨游于无何有之乡，广漠之野、纵浪大化以自适其适，这是何等气魄！何等境界！安能效多情小儿女呢呢喁喁鼻涕眼泪耶！
007.张飞的眼睛.txt	39	得固欣然，失亦可喜	LAMR-102	李敖回忆录	020.前程（1997-·62岁以后）.txt:187-187	“可以这么说。钓鱼这件事，得固欣然，失亦可喜，我是不合时宜的唯美主义者，也是不可救药的快乐主义者，鱼被我钓到，我高兴；它脱钩而去或不肯上钩，我也高兴，也许有更合适的人儿钓到它，我该有这种胸襟，反正古今中外可爱的鱼这么多，我即使是鱼贩子，也消受不了这么多的鱼！”
007.张飞的眼睛.txt	87	一与之齐，终身不改	LAWN-073	我最难忘的事和人	016.我最难忘的一个国特.txt:47-47	“对了，睁着眼睛的男人才配谈恋爱！能睁一小时眼睛就可谈一小时恋爱：能睁二十四小时眼睛就可谈二十四小时恋爱。同样的，不能睁开眼睛的人就不配谈恋爱，有人说‘爱情是盲目的’（Love is blind.），其实盲目的人是不配谈恋爱的，因为他们不会谈恋爱。盲目的人根本不懂爱情，他们只是迷信爱情，他们根本不了解爱情真正的本质；爱情不是‘永恒的’，可是盲目的人却拼命教它永恒；爱情不是‘专一的’，可是盲目的人却拼命教它专一。结果烦恼、烦恼、乌烟瘴气的烦恼！”他吐了一口唾沫，又接着说：“现在人们的大病在不肯睁开眼睛正视爱情的本质，而只是糊里糊涂地用传统的绳子往自己脖子上套。感情这东西不是阴丹士林，它是会褪色的。岁月、胃口、心情与外界的影响随时会侵蚀一个人的海誓与山盟，很多人不肯承认这事实，不愿这种后果发生，于是他们拼命鼓吹‘泛道德主义’，他们歌颂感情不变的情人、非议变了心的女人、憎恨水性杨花的卡门，同时用礼教、金钱、法律、证书、儿女、药水和刀子来防治感情的变，他们要戴戒指，意思是说：‘咱们互相以金石为戒，戒向别的男女染指！’这是多可笑的中古文明！在这一点我们实在不能不佩服美国的电影明星，在电影明星中，我从来没听说过一方面感情有变化，他方面死...
