id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LABYKTW-001	keep-initial	古典史学成句	哀矜弗喜	孔子修史态度相关成句	003.围剿陶百川的一个教训.txt	47	47	李敖引传统史学成句，强调评判人物时有悲悯而不幸灾乐祸。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-002	keep-initial	古典成句	孔子作《春秋》而乱臣贼子惧	《孟子》相关成句	003.围剿陶百川的一个教训.txt	47	47	李敖引春秋笔法相关成句，说明史家褒贬具有道德震慑力。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-003	keep-initial	古典史学成句	情信辞巧	孔子修史态度相关成句	003.围剿陶百川的一个教训.txt	47	47	李敖引传统史学成句，概括修史要求事实可信、文辞精巧。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-004	keep-initial	史评成句	不为危言核论	郭泰相关史评	003.围剿陶百川的一个教训.txt	49	49	李敖引郭泰史评，说明批评不必走向危言峻论。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-005	keep-initial	寓言成句	不容毛群，斥逐羽族	《伊索寓言》鸟兽和蝙蝠故事	003.围剿陶百川的一个教训.txt	63	63	李敖转述伊索寓言，摘出蝙蝠两边不容的惩戒性成句。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-006	keep-initial	寓言成句	不容兽群，斥逐哺乳类之族	《伊索寓言》鸟兽和蝙蝠故事	003.围剿陶百川的一个教训.txt	63	63	李敖转述伊索寓言，摘出蝙蝠依违两端后被排斥的成句。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-007	keep-initial	传统格言	内疚神明，外惭清议	中文传统道德成句	003.围剿陶百川的一个教训.txt	75	75	文中独立引出此句，写内心与舆论两方面的惭愧。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-008	keep-initial	戏曲成语	帮闲的贼子	元明杂剧	004.青年党内与老年党外.txt	5	5	李敖说明帮闲观念时，引元明杂剧称受人豢养的食客为帮闲的贼子。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-009	keep-initial	歇后语	哑巴吃黄连——有苦说不出	中文歇后语	011.别帮国民党讨姨太太！.txt	97	97	李敖连用歇后语，写有苦难言的处境。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-010	keep-initial	歇后语	哑巴吃元宵——心里有数	中文歇后语	011.别帮国民党讨姨太太！.txt	97	97	李敖连用歇后语，写不能明说但心中清楚的状态。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-011	keep-initial	传统格言	言犹在耳，忠岂忘心？	中文传统成句	011.别帮国民党讨姨太太！.txt	99	99	文中以独立引句作标题式收束，写旧话未远、忠心未忘。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-012	keep-initial	古典诗句	为何最老最先来	唐诗句	012.不嫌辞费话费辞.txt	15	15	李敖借唐诗句写年长者反而先挺身而出的可敬。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-013	keep-initial	寓言格言	朝三暮四或暮三朝四，实质未变	《庄子》狙公赋芧故事	013.猴子必读.txt	61	61	李敖转述庄子寓言，概括形式改变而实质不变的骗术。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-014	keep-initial	古文寓言	楚有养狙以为生者，楚人谓之狙公。旦日，必部分众狙于庭，使老狙率以之山中，求草木之实，赋什一以自奉。或不给，则加鞭箠焉。群狙皆畏苦之，弗敢违也。一日，有小狙谓众狙曰：“山之果，公所树与？”曰：“否也，天生也。”曰：“非公不得而取与？”曰：“否也，皆得而取也。”曰：“然则吾何假于彼而为之役乎？”言未既，众狙皆寤。其夕，相与伺狙公之寝，破栅毁柙，取其积，相携而入于林中，不复归。狙公卒馁而死。	刘基《郁离子》	013.猴子必读.txt	79	79	李敖完整引刘基狙公故事，保存寓言原文。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
LABYKTW-015	keep-initial	古文寓言评语	世有以术使民而无道揆者，其如狙公乎！唯其昏而未觉也。一旦有开之，其术穷矣！	刘基《郁离子》	013.猴子必读.txt	81	81	李敖引《郁离子》评语，指出靠术数役使众人的办法会因觉悟而穷尽。	第一轮保守筛选：《白眼看台湾》为高政治密度书，只保留可独立检索的古典成句、寓言、文学引文、宗教引文、歇后语和非现代政治格言；现代政党、选举、宪政、党派攻防、人物攻防和意识形态语录不收。
