id	decision	category	source_file	line	quote_text	reason
LALZCS-001	keep	历史典故成句	002.你盖棺，我论定.txt	11-11	安事诗书	李敖引刘邦式成句，写轻视读书学术的姿态。
LALZCS-002	keep	古文成句	002.你盖棺，我论定.txt	29-29	群贤毕至，少长咸集	李敖化用《兰亭集序》名句，写众人聚集的场面。
LALZCS-003	keep	古文论文章句	002.你盖棺，我论定.txt	113-113	事出于沉思，义归于翰藻	李敖引用《文选序》标准，说明传统词章之学重视沉思与文采。
LALZCS-004	keep	现代文学自述	003.张琍敏的爸爸杀了谁？.txt	81-81	一座没有爆发的火山，火烧得我痛，却始终没有能力（就是技巧）炸开那禁锢我的地壳，放射出光和热来……	李敖转引闻一多自述，以火山比喻内在情感与表达技巧的冲突。
LALZCS-005	keep	旧体诗句	003.张琍敏的爸爸杀了谁？.txt	109-109	信史随心翻铁案，狂夫呓语作金科	李敖引用萧公权诗句，形容史实被任意翻案、狂言被奉为准则。
LALZCS-006	keep	词句成句	004.为何将军腰.txt	3-3	柳丝长、春雨细	李敖引用词句意象，形容柔弱弯曲的姿态。
LALZCS-007	keep	古典诗文成句	004.为何将军腰.txt	3-3	为严将军头	李敖引用《正气歌》成句，借严将军典故作对照。
LALZCS-008	keep	古诗成句	004.为何将军腰.txt	99-99	行行重行行	李敖化用《古诗十九首》开篇成句，写一路继续前行。
LALZCS-009	keep	儒家成语	004.为何将军腰.txt	169-169	以德报怨	李敖摘出常见成语，写以恩德回应怨恨的姿态。
LALZCS-010	keep	俗话	004.为何将军腰.txt	185-185	先秤秤你的分量	李敖转述俗话，写先试探对方虚实与分量。
LALZCS-011	keep	文学俗语	004.为何将军腰.txt	187-187	由你这厮奸似鬼，喝了老娘洗脚水	李敖引用《水浒传》俗语，写再奸滑也会落入圈套。
LALZCS-012	keep	成语	004.为何将军腰.txt	245-245	刀下留人	李敖借常见成语，写临刑或用刀时暂留性命的说法。
LALZCS-013	keep	成语戏仿	004.为何将军腰.txt	245-245	人下留刀	李敖戏仿成语，写人被迁就到连刀也被保留的反讽。
LALZCS-014	keep	礼教成语	004.为何将军腰.txt	277-277	授受不亲	李敖借礼教成语，写双方交付时不直接接触的姿态。
LALZCS-015	keep	成语	005.宋英别丟老公的脸了！.txt	13-13	天怒人怨	李敖摘出成语，写惹得天人共怒的处境。
LALZCS-016	keep	成语典故	005.宋英别丟老公的脸了！.txt	19-19	嗟来食	李敖借嗟来之食典故，写不体面的施与受。
