file	line	covered_ids	context
001.瞻之在前，忽焉在后（何飞鹏）.txt	3		1997年5月《李敖回忆录》出版，立刻跻身畅销书排行榜，并盘踞排行榜半年之久；该书被列为1997年度十大最具影响力的书，李敖先生也成为当年出版界的风云人物。其实，看完三十万字的《李敖回忆录》，你还不认识真正的李敖！
001.瞻之在前，忽焉在后（何飞鹏）.txt	15		以前只知道李敖17岁就与大师胡适往来，后来才知道，几乎我所听过的知识分子，李敖先生都有接触，有的被他批判得体无完肤，在他的笔下，我才知道在世俗的面具之下，这些我过去所尊敬的学者，原来如此不堪！当然也有的受到他的肯定，但数量实在太少，或许我们这一代岛国寡民，诚如李敖所言：“与汝偕小”下，真正值得认同的人也不多！
002.《李敖快意恩仇录》自序.txt	3	LAKYEC-002	你会说：“我已经看了《李敖回忆录》，怎么又冒出了《李敖快意恩仇录》？我看一本够了哇，不要再看第二本啦！”——当然，你可以不看，随便你，只是告诉你：这一本跟那一本全不重复，这并不因为有两个李敖，而是李敖有两个“老婆”，你看到的正集，只算看到了他的“大老婆”，但看这本，才能看到他的“小老婆”。没有人只正视一个人的“大老婆”而不偷窥他的“小老婆”。所以，你不必犹豫、也别打算省钱，还是快买这本吧。西方谚语说：“好奇之心，使猫送命。”（Curiosity killed the cat．）上帝保佑，你幸亏是人，不是猫。你可以又...
003.陆根纪.txt	13	LAKYEC-004	大陆本来是一片鲁迅“我以我血荐轩辕”天下的，忽然台湾传来荐轩辕死对头的妙诗，自然足为少数民族及被压迫民族张目。而在海峡这边，我也没闲着，我排斥了高山族绝对南来的说法，而采取了高山族是苗族论的新说。在台湾大学教过我考古人类学导论的凌纯声教授，曾综合日本学者金关丈夫、国分直一、鹿野忠雄等教授的见解，益以己说，发表《古代闽越人与台湾土著族》论文。他的结论是：高山族“在古代与原来广义的苗族为同一民族，居于中国大陆长江以南……远在纪元以前……移居台湾，海上早有往来，自秦皇汉武三次迁沿海越民于内地，彻底实行海禁以后，台湾孤悬海...
003.陆根纪.txt	15		我这苗蚩之后，远祖由云南迁山东、祖父由山东迁东北、爸爸由东北迁北京，最后迁到台湾，我们这一支，除了大姐、二姐外，最后全都落籍台湾了。
003.陆根纪.txt	17	LAKYEC-005	我在13岁1948年离开北京，南下天津和上海，那时大姐、二姐留在北京。大姐大我六岁，正念大一；二姐大我五岁，正念高三。这一分别，一别就是四十四年！1992年我请她们来台湾，那时我已57岁，大姐、二姐已经63、62岁了。三年后1995年，二姐再来台湾，我请她书面回忆吾家旧事，不期她心灵手敏，凭她的好记忆，一写就是六万字。杜甫诗说“世乱遭飘荡，生还偶然遂”，我在台湾因“世乱”迄今未能“生还”大陆，但二姐却能生临台湾，为我写下这六万字，正可补充我回忆的不足，部分段落虽不全然写的是我，但那一时代背景、家庭背景，却正是我族类...
003.陆根纪.txt	37		老太太们的偏心性格是很普遍的。我看到外祖母一边做活儿（用针线“纳”鞋底做布鞋）一边听收音机，收音机中说相声的挖苦老太太，说：“老太太动胸腔手术，可是开刀后找不到心，找了半天，原来心在胳肢窝（腋下）里！”其心之偏也可想。外祖母一边听收音机一边笑，但是笑归笑，偏习难改也。
003.陆根纪.txt	41		外祖母在世的时候，始终是我们李家的当家人。外祖母不识字，但聪明过人，当年住在哈尔滨就发生过这样一个故事：曾有一次组织哈尔滨的中学校长到日本参观，爸爸是其中之一。但临走前爸爸的旅费突然在家里失踪。家里的人怪来怪去未免心境不佳。外祖母找个算命先生问卜，算命先生说：“是一男一女所为，钱还藏在家里某处缝里还没转走。”外祖母最怀疑是个女佣人干的，但同伙男的是谁弄不清楚。于是外祖母安排大家晚上去看戏，同时让六中一位校工监视家中动静。散戏回家后校工报告说，透过一面镜子看见女佣人在厕所里鬼鬼祟祟干点什么。外祖母胸有成竹宣布要搜查每...
003.陆根纪.txt	45		奶奶婚后几十年一直在怀孕生孩子。最年长的大爷和最年幼的老姑相差三十二岁。差了整整一代人。奶奶生了六儿六女之后还是没空手，带着个子宫癌去世。患病期间奶奶虽能忍痛沉默不语，但显而易见是在活受罪。不但卧床不起骨瘦如柴，而且生褥疮，自己也没有能力排便。老姑每天戴上口罩为奶奶解决便秘的痛苦，人人都说奶奶的老姑娘很孝顺。难熬的日子拖了很长时间。爷爷也常拄着拐棍儿走到奶奶房间门口问一句：“你中不中？”终于有一天奶奶不再能说话，左边面颊不断地抽动，后来嘴也歪了，半边脸愈肿愈大，眼睛痛苦地直视着直到咽气。从奶奶病情恶化开始，我差不多...
003.陆根纪.txt	47	LAKYEC-006|LAKYEC-007|LAKYEC-008	奶奶去世是在晚上，爸爸让我到隔两条马路的干面胡同通知五叔。等我回家之后看到奶奶已被穿戴就绪，停尸在爷爷房间的走廊里。那是个挺可怕的镜头，身材瘦小的奶奶上身穿九件长长短短的袍子，下身套七条裤子，数字是规定的并有什么讲究吧！脚下穿一双崭新的方头绣有花纹图案的鞋，头被卡在一个硬枕头里。寿衣寿材都是早已准备好的。最外面一件寿衣是个大红长袍，好大好大，至少能装进去五六个奶奶。上面绣满了色彩反差极大的花卉，下摆部分则是太阳、云层、海水之类的彩色刺绣。相信那件绣袍价格一定十分昂贵。奶奶的脸用一块白色方布盖着。头顶有一个容器当中插...
003.陆根纪.txt	51		奶奶过世整整一百天，爷爷突然一反常态，不再大声哎哟喊疼了，而且清醒地宣布他快要死了。为了判断爷爷预言将死是真有先见之明，还是诈死吓唬人，特别从北房请来经历丰富的外祖母前去看望爷爷，外祖母有把握的说：“不行了，抬头纹都开了！”但爷爷保持冷静清醒，亲自指挥爸爸妈妈在哪里能找到他的寿衣，还声明箱子没有上锁。那天晚上我和小六妹睡在正房西南角，也就是外祖母过去常住的那间住房。睡梦中被爸爸妈妈搬动箱子找东西的声音吵醒。我听到妈妈说：“好像不能用带子，会带儿带女。”等爸爸走出房间，我问妈妈发生了什么事？妈妈只简单的说：“你爷爷要...
003.陆根纪.txt	53		妈妈看到我魂儿又没了，就派佣人小孟妈陪我去干面胡同给五叔送信儿，妈妈是为了不想让我看到爷爷临终的场面再受刺激。街上静悄悄，小孟妈走在我身旁。她个子十分矮小才被以“小孟”称呼，实际上是位梳髻的小脚老太婆。我看着我们两个人地上的影子，月亮从头顶照下来，她地上的影子变得更加矮小，又是小脚，走起路来影子一蹿一跳的；而昏暗的路灯又给她照个影子又长又大，上上下下一伸一展的，我不敢侧过头看她，心里打鼓认为她准是鬼！好不容易盼到五叔家，本以为五叔能和我一起回内务部街，谁知五叔隔着大门说：“你先回去吧！我就来。”我只好硬着头皮伴着鬼...
003.陆根纪.txt	61		后来爸爸说：“让安琪去住校吧！换个环境也许能好，不然这个孩子会吓死！”即使住校也得有人陪着，这次轮到大姐陪我住进贝满女中高中部宿舍。我的怕鬼症渐渐有好转，只是我又离不开大姐了，晚上她到哪里我跟到哪里。住校的伙食是比较差的。实际上住校生多数是来自北京靠近郊区或农村的女孩儿，有钱人家的小姐们多半儿住得近，靠自行车走读上学。我们吃不惯学校的伙食，每周回家要大吃几顿。星期一再返校的时候，外祖母总是给我们炒很多爱吃的菜带着。每趟都有大头菜炒鸡蛋肉丝。里面放大量荤的，为了摆得起不得不炒咸一些。有一次大姐吃得过咸咳嗽不止，要请假...
003.陆根纪.txt	69	LAKYEC-009	又是死人！又是棺材！后两年内务部街甲44号竟变成风流云散、风水失灵的住处。外祖母的寿材停在北房与正房之间的院子里，除去放进去一些金银首饰之外，棺材里还放两副外祖母生前喜欢并且常使用的麻将牌。那是我第一次看见入殓，其他所有有空缺的地方都塞进去很多小包，塞得非常扎实，以便将外祖母挤住不致晃动。想必其中包的是防腐剂或干燥剂吧？最后盖上棺盖钉入木楔子，同时让我们大声喊：“姥姥躲钉，向东躲；姥姥躲钉，向西躲！”其实往哪里躲啊？棺材里挤得水泄不通，即使是位活着的小伙子也动弹不得，何况是位死去的胖老太太！
003.陆根纪.txt	71		外祖母的丧事办得比爷爷奶奶都风光。出殡的时候用了一百二十八人抬杠。就连棺材罩都是专门订绣的。外祖母只生三个女儿，照理该由长女生的长子李敖在灵柩前打幡儿。但是大爷大娘教唆敖弟别管，理由是：“你姓李，又不姓张！”敖弟不知该听谁的。大姐生气的说：“臭小子！有什么了不起？”于是大姐为外祖母打幡儿完成出殡大礼。外祖母死于热天，没过几天尸体腐烂腹水从棺材的一角微微往下渗漏，很臭很臭。因为做佛事我们都守在棺材旁边。敖弟不知道怎么想起来，用手蘸一点点臭水，再用舌头舔尝一下什么味道！可怕可怕好恶心，难怪大姐要骂他：“臭小子！”
003.陆根纪.txt	73		外祖母的丧事办得铺张还不仅仅反映在出殡的阵式上。在庙里做佛事的时候，还扎了很多适用于阴间的纸人、纸马陪葬。因为外祖母实在爱打牌，居然还别出心裁扎了一个麻将桌，尺寸和真的一样大小，上面摆着全副纸麻将。每张都活龙活现印上中发白、饼条万，一点儿都不含糊。桌旁有三把椅子，坐着三位纸太太。第四把椅子无疑是外祖母的宝座。那天三婶到庙里参加吊唁，刚进庙门就碰见五叔，五叔一本正经地对她说：“三嫂，快点儿，三缺一！”三婶目瞪口呆，惊疑为什么在庙里开起牌局来了？足见五叔多么没大没小没正经？更稀奇的是外祖母有座阴宅，门牌是地府十号。阴宅...
003.陆根纪.txt	81		随着外祖母去世，家里就好像树倒猢狲散般地逐渐散开了。倒不是因为外祖母的死起那么大作用，而是受局势变化的影响。开始爸爸妈妈带着大姐和敖弟以下的弟妹们搬到西城麻状元胡同……时间并不太久，形势又急转直下，国民党节节撤退到了南京，全家决定迁居上海。爸爸错误地估计了形势，以为有长江一江之隔，退到上海也就“保险”了。……那年大姐刚刚考进辅仁大学医预系，考大学在当年很不容易，大姐又是个既能自立又有主见的人，她不愿放弃学业去上海。我正读高中三年级，爸爸妈妈替我权衡轻重，认为我应当跟着大姐留在北京，等高中毕业后再去上海不迟。但作为我...
003.陆根纪.txt	95	LAKYEC-010	天旋地转多年后，妈妈在陈平景陪同下，也重返北京，一个人回到内务部街老宅。过去是一家十口离开，现在是一人旧地重游，却住进近十户人家，睹物思情，为之泪下。二姐说得对，内务部街老宅“充满了我一生最美好的回忆”，不单是二姐，每一个离开它的人，都会如此。我从二姐的回忆里，无异故国神游、旧宅重归，但以我的睿智，我真的不认为我此生会再做二姐四姐乃至妈妈她们做的事。——“重温旧梦就是破坏旧梦”，这是我的名言，我当然深信不疑。1998年正是我离开北京足足五十年之日，我怀疑我会再旧梦重温。我的一个朋友，在一别半世纪后重返浙江，电约五十...
003.陆根纪.txt	141		1943年暑假过去了，开学前爸爸妈妈原打算送我、敖弟和六妹回北京。我非常兴奋又有机会和爸爸一同乘火车，因为爸爸知识丰富，会谈古说今，会讲成语故事而且讲得生动有趣。顺便提一句，爸爸教书时有个绰号叫“李大下巴”，指他下巴大，也指他讲课有吸引力。随身带的小包中有许多是我爱吃的，像山西无核小葡萄、花色饼干、葡萄干和糖果等，我准备在卧车里好好享受一番。但离开太原之前就好像要发生什么事，爸爸与前来送行的下属严肃地商量点什么，但毕竟当时我只有12岁，没料到会有灾难发生。火车离开太原后不久，就有个日本穿军装的人带着几个宪兵和翻译与...
003.陆根纪.txt	145		终于有一天雨过天晴，北京总局局长刘六爷的太太派人送来一封封住的信，上面写着“李太太亲启”。温茂林看到信像捧到圣旨一样。马上“教育”我们说：“亲启的信就是密信，只能自己看，谁也不能拆。”妈妈当时不在家，等得人好心焦。刘太太也曾是爸爸的学生，最终妈妈回家谜底揭晓，信上只有几个字：
003.陆根纪.txt	153		四姑嫁人后，南房的大间大部分时间空着，我们放学后自行车放在里面。一度温茂林住过。茂林眼中只有敖弟，不把我们放在眼里，憨直到不讲理的程度。三不来两眼瞪得老大，自以为是地指责别人或乱发谬论。最可恨的是清早他要睡懒觉，门从里面锁着。我们上学怕迟到敲门的时候，从窗户玻璃看到他有心慢腾腾地起来，将袜子正面甩了又甩，反过来再用力甩，然后像慢镜头一样一点点地往脚上套，愈急得敲门，他就愈拖时间，令人哭笑不得。对小少爷李敖那可是忠心耿耿，当名医关颂韬诊断敖弟患阑尾炎须动手术治疗的时候，温茂林向爸爸苦谏不能开刀。他说：“动刀开膛还了得...
