file	line	quoteText	markers	political	previous	context	next
《洗你的脑，掐他脖子》自序.txt	1	洗你的脑，掐他脖子				《洗你的脑，掐他脖子》自序	
《洗你的脑，掐他脖子》自序.txt	3	洗你的脑，掐他脖子	classics	political-context		《洗你的脑，掐他脖子》者，衰世之书也。台湾之世甚衰，两蒋衰之于前，李登辉衰之于后，积衰之渐，以成今日。政治上丑类尸位乱来，我乃志士仁人，虽讨厌政治，但以不甘被丑类摆布，只好挺身而出，对他们脖子有以掐之而；匹夫匹妇愚夫愚妇市井小民大学学生一干人等，却又浑浑噩噩，我又只好对他们大脑有以洗之。本书之作，意在斯乎？古之圣人“知其不可而为之”，我今日所为，盖圣人行，凡夫俗子未尽知也。孔子作《春秋》，有知我罪我之叹，我今毫无所叹，但笑知我者聪明人、罪我者笨蛋而已。书成之日特写自序，以志原委，兼作破题，“圣人不空出，贤者不虚生”，不空不虚，李敖其圣之时者乎？	
《洗你的脑，掐他脖子》自序.txt	3	知其不可而为之	classics	political-context		《洗你的脑，掐他脖子》者，衰世之书也。台湾之世甚衰，两蒋衰之于前，李登辉衰之于后，积衰之渐，以成今日。政治上丑类尸位乱来，我乃志士仁人，虽讨厌政治，但以不甘被丑类摆布，只好挺身而出，对他们脖子有以掐之而；匹夫匹妇愚夫愚妇市井小民大学学生一干人等，却又浑浑噩噩，我又只好对他们大脑有以洗之。本书之作，意在斯乎？古之圣人“知其不可而为之”，我今日所为，盖圣人行，凡夫俗子未尽知也。孔子作《春秋》，有知我罪我之叹，我今毫无所叹，但笑知我者聪明人、罪我者笨蛋而已。书成之日特写自序，以志原委，兼作破题，“圣人不空出，贤者不虚生”，不空不虚，李敖其圣之时者乎？	
《洗你的脑，掐他脖子》自序.txt	3	春秋	classics	political-context		《洗你的脑，掐他脖子》者，衰世之书也。台湾之世甚衰，两蒋衰之于前，李登辉衰之于后，积衰之渐，以成今日。政治上丑类尸位乱来，我乃志士仁人，虽讨厌政治，但以不甘被丑类摆布，只好挺身而出，对他们脖子有以掐之而；匹夫匹妇愚夫愚妇市井小民大学学生一干人等，却又浑浑噩噩，我又只好对他们大脑有以洗之。本书之作，意在斯乎？古之圣人“知其不可而为之”，我今日所为，盖圣人行，凡夫俗子未尽知也。孔子作《春秋》，有知我罪我之叹，我今毫无所叹，但笑知我者聪明人、罪我者笨蛋而已。书成之日特写自序，以志原委，兼作破题，“圣人不空出，贤者不虚生”，不空不虚，李敖其圣之时者乎？	
《洗你的脑，掐他脖子》自序.txt	3	圣人不空出，贤者不虚生	classics	political-context		《洗你的脑，掐他脖子》者，衰世之书也。台湾之世甚衰，两蒋衰之于前，李登辉衰之于后，积衰之渐，以成今日。政治上丑类尸位乱来，我乃志士仁人，虽讨厌政治，但以不甘被丑类摆布，只好挺身而出，对他们脖子有以掐之而；匹夫匹妇愚夫愚妇市井小民大学学生一干人等，却又浑浑噩噩，我又只好对他们大脑有以洗之。本书之作，意在斯乎？古之圣人“知其不可而为之”，我今日所为，盖圣人行，凡夫俗子未尽知也。孔子作《春秋》，有知我罪我之叹，我今毫无所叹，但笑知我者聪明人、罪我者笨蛋而已。书成之日特写自序，以志原委，兼作破题，“圣人不空出，贤者不虚生”，不空不虚，李敖其圣之时者乎？	
《洗你的脑，掐他脖子》自序.txt	7	Jeff Ao	poem	political-context		李敖影音E书QQ群578505007：不自由的自由（wjm_tcy）与“Jeff Ao”联合制作！	
001.洗你的脑，掐他脖子.txt	7	酒色财气不碍菩提路。		political-context		当年胡适做了驻美大使、做了中央研究院院长，这些职务，别人做起来就是从政，但胡适做起来，以他的身分、地位和声望，没人会以为那是从政，大家都知道胡适那种境界的人绝不是政治人物，用从政眼光看高人，是浅人的错误。第一流的禅门人物说：“酒色财气不碍菩提路。”没人把高僧鸠摩罗什或佛印和尚或济公活佛看做花和尚，把李敖看成政治人物，你别傻了。	
001.洗你的脑，掐他脖子.txt	11	政治活动		political-context		二、你说你不搞政治，但你做总统候选人，至少形式上不是在做“政治活动”吗？	
001.洗你的脑，掐他脖子.txt	13	政治活动		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	13	思想活动		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	13	政治活动		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	13	思想活动		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	13	革命之成功，必有赖于思想之变化。		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	13	政治之成功，必有赖于思想之变化。		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	13	政治活动		political-context		对我李敖这种境界的人，我不是做“政治活动”，我做的道道地地是“思想活动”，是趁着这次所谓总统选举的“政治活动”，驾轻就熟，因势利导，把人们导入“思想活动”而已。孙中山说：“革命之成功，必有赖于思想之变化。”我改写这句话：“政治之成功，必有赖于思想之变化。”思想是主，政治是从；思想是本，政治是末，一搞清主从关系，就知道李敖是不会舍本逐末的，以为我在从事“政治活动”的人，太笨了。	
001.洗你的脑，掐他脖子.txt	15	超级政治挂帅		political-context		台湾“超级政治挂帅”	
001.洗你的脑，掐他脖子.txt	17	思想活动		political-context		三、你既以“思想活动”为职志，何必参加所谓总统选举，被人误会成“政治活动”呢？	
