action	file	line_range	quote_or_candidate	reason
add	009.横槊集、插羽集·1959年10月.txt	1015-1015	当兵没几日，满面多悍气	高分候选漏收，原文明示宏祥寄诗。
add	010.插羽集·1959年11月.txt	647-647	男人既可以出卖灵魂，为什么女人不能出卖肉体？	他人旧语，能独立成格言。
add	011.插羽集、金戈集·1959年12月.txt	23-23	一任阶前点滴到天明	古典词句在来信中明引，首轮漏收。
add	011.插羽集、金戈集·1959年12月.txt	79-79	包拯笑，黄河清	只补野史俗语本身，不收同段 Truman、Hitler 等现代人物语。
add	011.插羽集、金戈集·1959年12月.txt	645-645	老者安之，少者怀之	古典成句漏收。
add	011.插羽集、金戈集·1959年12月.txt	645-645	车马轻裘与朋友共	古典成句漏收。
add	011.插羽集、金戈集·1959年12月.txt	951-951	虽无彩凤双飞翼，却有灵犀一点通	明确诗句，首轮漏收。
add	012.金戈集、杀气不脱集·1960年1月.txt	109-111	当他信仰时，他不相信他所信奉的，\n当他不信仰时，他又不相信他所不信奉的。	外国文学引文漏收。
add	012.金戈集、杀气不脱集·1960年1月.txt	113-113	我决计一生要像太阳，无论看什么事情，要看光明的一面。	外国哲人格言漏收。
add	012.金戈集、杀气不脱集·1960年1月.txt	113-113	把生命看得过分的严肃，有什么价值呢？如果早晨醒了来，没有新的快乐，晚上不给予我们快乐的希望，那么这么一天一天活下去，有什么意义呢？	歌德格言漏收。
add	013.杀气不脱集、双枪少尉集·1960年2月.txt	285-285	面对东风怜柳絮，飘零流落知何处？	朋友来词中可独立成句者漏收。
add	014.双枪少尉集·1960年3月.txt	131-131	奸黄陂，狡孝感，又奸又狡是汉川	地域俗谚本身可独立成句；同句中的党训语不收。
add	014.双枪少尉集·1960年3月.txt	463-463	风流云散，人事凋零	传统成语漏收。
add	014.双枪少尉集·1960年3月.txt	463-463	人生无百年不散之筵席	传统俗语变体漏收。
add	014.双枪少尉集·1960年3月.txt	501-501	生命需要不断地创造，生活需要不懈地调适。	朋友来信中可独立成格言者漏收。
add	014.双枪少尉集·1960年3月.txt	771-771	青山依旧在，几度夕阳红	无名题字引用古典词句，首轮漏收。
add	016.在那一连串苦斗的日子·1960年5月.txt	737-737	更无俗物当人眼，何用浮石绊此身。	原文明示报上对联。
add	017.1960年6月.txt	963-963	不敢咬人的狗叫得凶	俗语本身可独立成句。
add	018.1960年7月.txt	57-57	园以文传，文以园传，究竟谁传谁就渐渐地不甚了然起来。	文学传世格言漏收。
add	020.1960年9月.txt	103-103	宁可枝头抱香死，何曾吹堕北风中	古典诗句漏收。
add	021.1960年10月.txt	557-557	人生最好的日子总是过得最快。	《我的安东尼娅》读书摘录中可独立成格言者。
add	022.不与集·1960年11月.txt	1389-1389	人有万物个生灵，头脑不足事不成	庙墙劝世文中可独立成句者；同处套语不收。
add	022.不与集·1960年11月.txt	1609-1609	作好文言文，白话文自然可以作得好。	文学写作格言漏收。
add	023.不与集、兹疑录·1960年12月.txt	263-263	无心插柳，尚且成荫；有意栽花，当然要发。	胡适语可独立成格言。
add	023.不与集、兹疑录·1960年12月.txt	281-281	福不唐捐	佛教成语漏收。
add	023.不与集、兹疑录·1960年12月.txt	283-283	圣人不空出，贤者不虚生	古典格言漏收。
add	023.不与集、兹疑录·1960年12月.txt	291-291	公自平生怀直气	古典诗句漏收。
add	023.不与集、兹疑录·1960年12月.txt	293-293	七十老翁何所求	古典诗句漏收。
add	023.不与集、兹疑录·1960年12月.txt	383-383	实事求是，莫做调人	单句为治学处世格言；只补此句，不收同段评语。
add	024.澎湖日记·1961年1月.txt	33-33	方豪跪在这里/虔虔诚诚的/祝大家快快乐乐的/过一个圣诞节/和两个新年	他人贺片诗，作者为方豪。
add	025.澎湖日记·1961年2月.txt	227-227	“上帝晓得在何处，魔鬼知道在哪儿，马克·吐温收”复以：“它晓得，他也晓得。”	马克·吐温幽默轶语漏收。
exclude	007.《一个预备军官的日记》引言.txt	7-9	兵役法禁役、叛乱判刑、国民党等语	现代法律、党政与自述政治语境，继续不收。
exclude	009.横槊集、插羽集·1959年10月.txt	119;1433	研讨革命理论，建立中心思想；且喜每日颇健饭，吃饱肚子写油诗	前者为军政训练口号，后者为李敖自作诗改稿，继续排除。
exclude	010.插羽集·1959年11月.txt	87;641;647	闭口放笔劝告；窃钩者诛，窃国者为诸侯；反传统标准句	私人信札劝告、古典政治法政成句、李敖自拟思想标准均不补入。
exclude	012.金戈集、杀气不脱集·1960年1月.txt	197;375	教官荤笑话；七分政治，三分军事	普通军中笑话与总统政治军事语录，继续排除。
exclude	014.双枪少尉集·1960年3月.txt	33;131	思想游移，媚外思想甚重；尚黑曰党	思想考核评语与政治讲习语境不收；仅补同线非政治地域俗谚。
exclude	017.1960年6月.txt	89	战术修养、参谋等来信玩笑	私人军事玩笑与军语境，继续不收。
exclude	022.不与集·1960年11月.txt	943	生命诚可贵，爱情价更高；但为自由故，两者俱可抛；钩距问牛知马	整段为《自由何价》政治法律评论，裴多菲自由诗与法吏钩距术均按政治/法政语境排除。
exclude	023.不与集、兹疑录·1960年12月.txt	321;501;1221;1689	宁鸣而死，不默而生；三扁不如一圆；斯客人也；旧站重开	政治言论自由题目、粗俗私语、普通对白与李敖自述口号，继续不收。
exclude	024.澎湖日记·1961年1月.txt	9	迷魂记/惊魂记	李敖当场玩笑，不是外部诗文格言。
exclude	025.澎湖日记·1961年2月.txt	341	不可泄漏天机，至家后再拆	普通赠物包装题字，独立诗文格言性不足。
