action	id	source_file	line_range	quote_text	reason
add	LAYBJZ-010	001.《要把金针度与人》（代序）.txt	31-31	读书无法使他们头脑变好，反倒变坏。	补入李敖读书法中对读死书的关键判断。
add	LAYBJZ-013	001.《要把金针度与人》（代序）.txt	45-45	大胆假设有余，小心求证却往往不足	补入疑古派方法批评中的治学格言。
add	LAYBJZ-044	004.哲学类.txt	67-67	为人好读书鼓琴，不喜弋猎狗马驰骋。	补入刘安好读书鼓琴的人物评语。
add	LAYBJZ-045	004.哲学类.txt	71-71	博览无所不见	补入扬雄博览群书的传记评语。
add	LAYBJZ-049	004.哲学类.txt	103-103	少好学，有志操	补入王符少时好学有志操的传记评语。
add	LAYBJZ-051	004.哲学类.txt	115-115	不受当时之贵，永保性命之期	补入仲长统自述中的人生志趣句。
add	LAYBJZ-052	004.哲学类.txt	119-119	人事为本，天道为末	补入仲长统思想核心命题。
add	LAYBJZ-061	004.哲学类.txt	203-203	以静为主	补入陈献章心学入门法。
add	LAYBJZ-062	004.哲学类.txt	203-203	端坐澄心，于静中养出端倪	补入陈献章静坐澄心的修养语。
add	LAYBJZ-069	004.哲学类.txt	237-237	朝夕读书，手不敢释卷，笔不敢停挥……日日如是，关门闭户，著书甚多，不暇接人，亦不暇去教人。	补入李贽读书著述勤苦语。
add	LAYBJZ-071	004.哲学类.txt	247-247	博学于文	补入顾炎武治学标榜。
add	LAYBJZ-072	004.哲学类.txt	247-247	行己有耻	补入顾炎武治学标榜。
add	LAYBJZ-075	004.哲学类.txt	277-277	率天下入故纸中，耗尽身心气力，做弱人病人无用人，皆晦庵（朱熹）为之也！	补入颜元批评程朱虚学的读书批评语。
add	LAYBJZ-094	006.社会科学类.txt	31-31	天能覆之，而不能载之；地能载之，而不能覆之；大道能包之，而不能辩之。	补入《庄子》述慎到的道家格言。
add	LAYBJZ-095	006.社会科学类.txt	33-33	尚法而无法	补入《荀子》评慎到的短评。
add	LAYBJZ-114	010.艺术类.txt	7-7	渐入佳境	补入顾恺之食蔗典故转出的成语。
add	LAYBJZ-136	011.文学类.txt	171-171	生死无关于天下，不足为天下士；既为天下士，不能与古人争雄长，亦不足为千古之士。若处士者，其生其死，固世运消长所关，而上下千百年中不数见之人也。	补入王源墓表中评价刘献廷的格言式长句。
add	LAYBJZ-148	011.文学类.txt	327-327	上品无寒门，下品无士族	补入南北朝门第制度名句。
delete	LAYBJZ-171	013.《中国名著精华全集》序.txt	9-9	一部十七史，从何处说起？	更像承接性设问，不是稳定的诗文格言条目。
delete	LAYBJZ-180	013.《中国名著精华全集》序.txt	115-115	知识的爆炸	更像现代术语，作为独立诗文格言检索价值不足。
