score	file	line	text	context
3	《李远哲的真面目》引言.txt	13	民国七十三年，李登辉当选副总统的当天下午，蒋故总统亲赴李登辉寓所申致贺意。当时，李登辉不自在的只坐满座椅的三分之一，双手不断摩擦双膝，彷彿他不是那间寓所的主人。	李登辉本是小人物，但以“臀功”，得邀丑陋的外省人蒋经国之宠信，据一九八八年七月八日《自立早报》：“民国七十三年，李登辉当选副总统的当天下午，蒋故总统亲赴李登辉寓所申致贺意。当时，李登辉不自在的只坐满座椅的三分之一，双手不断摩擦双膝，彷彿他不是那间寓所的主人。”由此可见，正因为李登辉深谙“政治屁股学”，他才因失态而得政治权力。在这个小人物尚未得到完整权力前，他...
5	《李远哲的真面目》引言.txt	27	李敖批李远哲是伪君子，指将在选后出书揭发他的真面目	今年三月十日，中央社发新闻稿说：“李敖批李远哲是伪君子，指将在选后出书揭发他的真面目”。内文指出：
5	《李远哲的真面目》引言.txt	35	作的是不清高、不中立	李敖说，大家今天可以清楚看到李远哲就是“伪君子”，空有中立、清高的形象，“作的是不清高、不中立”的事情，连两人会面的时机都不对。他将在明天的总统政见发表会中继续举发李远哲的种种错误。
4	001.关于李远哲忘恩负义的讨论.txt	9	反共义士	王企祥，江苏青浦人，1929年生于天津，1949年以清华大学一年级身份留美，得加州理工学院博士。在美成绩优异，但热爱祖国。1958年，立意返回中国服务。美国政府人士以美国国籍相诱，想使他留在美国，但他不肯，乃离美赴北京。不期到北京后，大失所望，乃写信给周恩来，要求离境，周恩来准了他。他一抵香港，即与美国方面联络回美，但美方透露给国民党政府，于是，国民党教育部...
3	001.关于李远哲忘恩负义的讨论.txt	43	国际上生化学者所称誉	求是报按：此信所指的“王企祥教授夫人”，即是唱京戏名家徐露女士。徐露女士与王企祥教授自从被学界败类逼出清华大学后，为了生活，移居沙特阿拉伯，由王企祥屈身教一化学以为糊口，后来计划返台，请之于吴大猷。吴大猷身居学术界龙头地位，明知王企祥“基础训练及能力皆优”，且为“国际上生化学者所称誉”；明知王企祥被学界败类所迫害“而不能容一有成就之人”，但吴大猷自己，为何不...
3	001.关于李远哲忘恩负义的讨论.txt	43	而不能容一有成就之人	求是报按：此信所指的“王企祥教授夫人”，即是唱京戏名家徐露女士。徐露女士与王企祥教授自从被学界败类逼出清华大学后，为了生活，移居沙特阿拉伯，由王企祥屈身教一化学以为糊口，后来计划返台，请之于吴大猷。吴大猷身居学术界龙头地位，明知王企祥“基础训练及能力皆优”，且为“国际上生化学者所称誉”；明知王企祥被学界败类所迫害“而不能容一有成就之人”，但吴大猷自己，为何不...
3	001.关于李远哲忘恩负义的讨论.txt	45	为中华民国学术研究最高机关	吴大猷自从做了中央研究院院长以来，年复一年都张牙舞爪的写文章感慨于科学研究的不彰。但是，按照《中央研究院组织法》第一条明定，该院“为中华民国学术研究最高机关”，按第二条明定，“中央研究院之任务”在“从事科学研究”。可见科学研究不彰，罪在该院，不在别人。但吴大猷主持台湾科学研究三十年，不知自省，却老怪别人。如今此信曝光，证明见贤而不能用、妨碍科学研究者，正是他...
3	001.关于李远哲忘恩负义的讨论.txt	79	两位蒋总统是世界级的伟人	从以上王企祥的文字中，我们恍然于国民党统治下学界的黑暗，竟已如此严重！据我调查，王企祥拒绝蒋彦士要他说“两位蒋总统是世界级的伟人”，是本案的重要关键。而王企祥的学术成就与正直性格遭到不学有术的刘兆玄、沈君山等人的嫉忌，以至希旨承风，去之而后快，也是本案发生的根本原因。
4	001.关于李远哲忘恩负义的讨论.txt	97	天外有天	弟一直同情王博士的处境，许多跟他做过研究的学生们、同事们，也常觉得当年清华大学解聘王博士，也许做得有些过分，弟于1962年出国留学后很少跟王博士联系，也不清楚后来他被解聘的原因。从很多方面看来，也许他不是一位最理想的教授，但在清华原子科学研究所设立的早期，他确是有些贡献的。我于1961年到1962年整整一年的时间与几位同学跟他做结晶构造的研究工作，也就是我们...
5	001.关于李远哲忘恩负义的讨论.txt	135	诛奸谀于既死，发潜德之幽光	我虽是学史学的，但比你们科学家还科学。我承认自己有时在感情上有好恶，但好恶之起，乃根据事实而来，在事实方面，尊重证据、雅好求证。我这种态度，由我对蒋介石就可以看出。在感情上，我痛恨蒋介石；但这种痛恨，发为白纸黑字，却是尊重证据、雅好求证的。虽然在感情上，我是要鞭尸的伍子胥；但在行文上，我却有历史家的谨严，全凭证据来“诛奸谀于既死，发潜德之幽光”，——我是沙尔...
