file	line	context
《李敖新刊》目录.txt	9	006.大学生岂可请愿！
《李敖新刊》目录.txt	26	023.关于《我被迫离开台湾大学的经过》
《李敖新刊》总序.txt	9	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁为表予心？”他死后，绝没想到“表”他“心”的，竟是他的头号政敌！武则天的度量，国民党没有也！所以局面是“无人信高洁，他来禁我书！”——国民党唐突中国文化，武则天不若也！
005.羊头化的遗教.txt	5	孙中山在三民主义自序中曾要求他的同志读者，“本此基础，触类引伸、匡补阙遗，更正条理”，可见他并没把他的著作当成圣经，所以，遗教被弹性处理，如与时俱进，并不算错。但是，如果弹性处理得过了头，并且冒出来的是面目全非的羊头，则遗教已被调包，换成了狗肉。狗肉并非不能卖，而是不可挂着羊头卖，挂羊头卖狗肉，则是一种牵强附会、一种欺骗，既对不住羊头，也对不住顾客。尤有进者，纵使挂了羊头卖了狗肉，不多事声张，也就人少计较了，绝不可以还年复一年的大张旗鼓自吹自擂，说自己如何如何在忠实遵行遗教、如何如何在卖羊肉，因为实质上既已偷天换日，再挂遗教招牌，就滑稽了。不幸的是，几十年来的政坛大戏，正是一幕滑稽剧。
005.羊头化的遗教.txt	7	《中华民国宪法》劈头就说“依据孙中山先生创立中华民国之遗教”，“制定本宪法”，但是搬出“本宪法”与遗教一对照，便发现抵触丛生。乍看起来，定章分节，全是遗教的外壳，从第三章国民大会，到第十一章地方制度，无一不“五权宪法”也；但实际上，从第三章国民大会起，就大干一票，只师遗教之词、而不师其意了。第二十五条先打了国民大会职权的折扣、第二十七条又剥夺了国民大会一大部分政权、第二十八条、第二十九条使国大代表六年开会一次，无从行使政权、参与中央政事。到了第四章总统，从第三十五条到第五十二条共有十八条，但是除了第四十四条总统得召集各院院长会商解决争执外，其他十七条，全部与遗教不相干。第五章至第九章五院出现了，在行政院部分，第五十五条：“行政院院长由总统提名，经立法院同意任命之。”但按“五权宪法”，任命五院院长之同意权，在国民大会，根本不在立法院或其他各院；第五十六条：“行政院副院长、各部会首长及不管部会之政务委员，由行政院院长提请总统任命之。”但按《建国大纲》，任命这些官吏之选举权，在国民大会，根本不在行政院院长或总统手中。第五十七条：“行政院依左列规定，对立法院负责。”则是内阁制了，根本不是五院制。在立法院部分，第六十二条、第六十五条、...
006.大学生岂可请愿！.txt	1	大学生岂可请愿！
006.大学生岂可请愿！.txt	5	二十多年过去了，余传韬没去搞反对党，却当了国立中央大学校长。他在中大校长任上，一干六年，可是最近却出了纰漏。报上说：“国立中央大学六名学生，昨日上午再度前往教育部，要求了解教育部续聘余传韬校长之理由，并对教育部成立中大‘沟通小组’未能有学生代表参加，表示异议。教育部主任秘书刘清田昨天答应请愿学生，未来‘沟通小组’可以考虑增列学生代表。”可见此一风波，尚在发展中。我在这里，没兴趣追究余传韬是否适于当中大校长，令我感到兴趣的，是大学生向教育部请愿的态度。
006.大学生岂可请愿！.txt	7	二十多年前，我在台大历史系做研究生时候，发生了陈骥、吴章铨陈情事件。陈骥、吴章铨向校方提出陈情，替历史系提出兴革意见，台大校长钱思亮、文学院院长沈刚伯，一怒之下，把陈吴二位记过，二人大呼负负，我戏呼这是“台大的陈胜吴广起义”。我跟朋友说：“你们看到我怎样对付台湾大学了吗？——我写文章公然攻击台湾大学，可是钱思亮、沈刚伯不敢动我一根毫毛！他们就是不敢对我这特大号的研究生有任何惩处，他们是专捡软柿子捏的，他们就是不敢惹我！陈骥、吴章铨的心血与方向是全浪费了、弄错了——他们想用陈情的方法去跟国民党打交道，这是枉费心机、是反要惹来一头雾水的笨事！对不可救药的统治者，只有打打打，是不能陈情的，因请愿而灰头土脸、而吃耳光，是可耻的！”
006.大学生岂可请愿！.txt	9	“台大的陈胜吴广起义”后二十年，台大学生毕竟有了一点点进步，一九八四年五月四日，八位台大学生跑到教育部请愿，提出兴革意见。事后他们说，他们这样做，“希望效法‘五四运动’的精神。”台大学生把他们的行动与五四牵连，用意至好。但是我总觉得，这些年轻人对“‘五四运动’的精神”，似乎了解得不够。“‘五四运动’的精神”是大学生反对鸟政府、打部长、揍官僚，使“顽劣之伪政府，……不敢撄其锋。”这种精神是博大的、勇敢的、剽悍的、动手的、不怕牺牲不怕退学不怕坐牢的、看不起鸟官鸟人鸟政府的。总括说来，是大学生出面毫不客气的反对鸟政府，绝非大学生出面客客气气的“向盗贼上条陈”、去请愿。所以，若想真正上追“‘五四运动’的精神”，必须大彻大悟今日的暖房里的温和行径，只是国民党教育下的迷你反射和粉拳绣腿而已，距离真的五四，还有五千四百里呢！
006.大学生岂可请愿！.txt	11	继台大学生跑到教育部后，如今中大学生也跑去请愿了，我感到这些大学生实在没气魄。我觉得，如果余传韬真要不得，他们至少该有当年清华学生“九年清华、三赶校长”的气魄。清华学生对校长不满意，前后将两任校长（张煜全、金邦正）列队欢送、迫出校外，使另一任校长（罗忠诒）根本到不了差。今天的中大学生不敢如此，只知向教育部请愿讨参加沟通名额，这是没出息的。如果我是余传韬，我要哈哈大笑一场。
