action	file	line	text	reason
remove	034.胡适论反省.txt	3	历史的反省自然使我们明了今日的失败都是因为过去的不努力，同时也可以使我们格外明了‘种瓜得瓜，种豆得豆’的因果铁律。	同段后续进入“恢复与兴盛”“拨乱反正”等国家政治史论语境，校对轮按政治相关语录删除。
add	008.有条件的回想.txt	3	我们该不要回头望，除非是要从过去错误中提取有用的教训，和为了从经验中获得益处（华盛顿）	明示华盛顿语，内容为回望经验的非政治人生格言。
add	013.感觉的生活与意志的生活.txt	3	普通的生活是感觉的生活（life of senses），是属于声色香味的生活，而不是意志的生活（life of Will）。意志的生活是另一种境界，只有特立独行的人才能过得了的。	整段引号内外部人生格言，且在语录类书中重出。
add	014.独醒与快乐.txt	3	For in much wisdom is much grief：and he that increaseth knowledge increaseth sorrow	《传道书》英文经典句，虽被李敖称为滥调，仍属外部文句。
add	039.斯宾诺沙的人生观.txt	9	这算什么，转眼成空。	明示林肯语，内容为非政治的得失观。
add	070.马尔腾论善用逆境.txt	3	有许多人非至穷途潦倒，就不会发现他自己的力量。灾祸与磨折，反足以助他发现‘自己’；困苦、阻碍，仿佛是将他的生命凿成‘美好’的铁锤与斧斤。唯有困难，才能使一个人变为坚强、变为无敌。	篇名和上下文均指向马尔腾逆境格言，首轮漏收。
add	070.马尔腾论善用逆境.txt	3	一个大无畏的人，愈为环境所困，反而愈加奋勇；不战栗、不巡逡，胸膛直挺，意志坚定；敢于对付任何困难、轻视任何厄运、嘲笑任何阻碍；因为忧患困苦不足以损他毫末，反足以加强了他的意志、力量与品格，而使他成为人上之人。……这真是世界最可敬佩、最可艳羡的一种人物。‘命运’不能阻挡这种人的前程！	同属马尔腾逆境格言，独立性强。
add	071.铁石心肠.txt	3	断之一字，原谓义所当行，却念有牵缠，事有掣碍，不得脱然爽洁，才痛煞煞下一个断字，如刀斩斧齐一般。总然只在大头脑处成一个是字，第二义都放下，况儿女情、利害念，哪顾得他。若待你百可意，千趁心，一些好事做不成。	吕坤语，首轮只收前一句，校对轮补齐同段外部修养语。
add	079.心胸.txt	3	外面的世界都沐浴在晨光里，落在蜘蛛网上的露珠在朝霞中闪烁着光辉。他不再回头看了，只急急地奔向前程，平静的田庄渐渐消失在他的背后，在他眼前，展开了一片伟大浩瀚的世界。	李敖明言翻译《茵梦湖》片段，属外国文学译句。
add	079.心胸.txt	7	合则留，不合则去	传统处世成句，独立性强。
add	079.心胸.txt	7	不降其志，不辱其身	《论语》语意，独立古典成句。
add	079.心胸.txt	7	不义而富且贵，于我若浮云	《论语》句，首轮漏收。
add	082.空想与想象.txt	3	空想是一种兽性的官能，想像是一种智能，两者是极不相同的。前者是被动的，后者却是主动及有创造性的。孩子、心灵脆弱的人及神经病者有许多空想。只有有头脑的人、心智坚强的人，才有丰富的想像力。	全段引号内外部心理学式格言，首轮漏收。
add	087.吴汉的精神.txt	3	坚持不屈的人从别人失败的地方开始他们的成功。	明示 Eygleston 语，独立修养格言。
add	094.梁启超论堕落形态.txt	3	吾比年来所见人士，夙相期许者，往往不及数稔，便尔堕落，其堕落之形态亦有两途：宦达于时，沉溺于声色货利，以此为天下之至乐而弃所学所志若敝屣者；潦倒不得志，则嗒然自丧，奄奄无复生人气，若已僵之蚕，旦夕待死者。	梁启超文中概括堕落形态的修养警语；不补加富尔政治史论段。
change	077.正视善，也正视恶.txt	3	某种舍弃是在于愿意正视自己的真相……丢开这种努力，是获取可靠与持久的幸福的必要条件。	首轮只收 Russell 段落前半，校对轮按原文完整引文扩展。
