id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LASS-001	李敖秘密书房	003.书房搜秘(1).txt	3	3	独与天地精神往来	古典名句	庄子语意	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-002	李敖秘密书房	006.书房搜秘(4).txt	5	5	书中自有颜如玉，书中自有黄金屋	劝学俗语	宋真宗《励学篇》俗传	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-003	李敖秘密书房	006.书房搜秘(4).txt	5	5	以其有辨也	古典名句	《荀子》语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-004	李敖秘密书房	007.李敖现宝.txt	19	19	开万古得未曾有之奇，洪荒留此山川，作遗民世界	联语	沈葆桢题郑成功祠联	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-005	李敖秘密书房	007.李敖现宝.txt	19	19	极一生无可如何之遇，缺憾还诸天地，是创格完人	联语	沈葆桢题郑成功祠联	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-006	李敖秘密书房	009.印第安式礼物.txt	5	5	是家豪逸生有种	集句联	苏轼诗句	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-007	李敖秘密书房	009.印第安式礼物.txt	5	5	老来忠义气横秋	集句联	黄庭坚诗句	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-008	李敖秘密书房	014.关于宗教的看法.txt	11	11	丘祷之久矣	古典名句	《论语·述而》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-009	李敖秘密书房	014.关于宗教的看法.txt	11	11	敬神如神在	古典名句	《论语》语意	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-010	李敖秘密书房	014.关于宗教的看法.txt	11	11	敬鬼神而远之	古典名句	《论语·雍也》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-011	李敖秘密书房	014.关于宗教的看法.txt	11	11	未知生，焉知死	古典名句	《论语·先进》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-012	李敖秘密书房	014.关于宗教的看法.txt	15	15	产男则相贺，产女则杀之	古文名句	《韩非子》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-013	李敖秘密书房	014.关于宗教的看法.txt	15	15	如果有上帝的话，上帝是个顽童	西方科学家格言	爱因斯坦语意	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-014	李敖秘密书房	014.关于宗教的看法.txt	21	21	我们是靠信心走路，不是靠眼睛走路	圣经文句	《新旧约全书》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-015	李敖秘密书房	014.关于宗教的看法.txt	21	21	我是基督教徒，我是天主教徒，我是回教徒，我是佛教徒，我是印度教徒	宗教格言	甘地语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-016	李敖秘密书房	016.官迷的台湾岛.txt	9	9	举国若狂欲语谁	诗句	梁启超诗句	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-017	李敖秘密书房	016.官迷的台湾岛.txt	9	9	凿井而饮，耕田而食，帝力于我何有哉？	古歌谣	《击壤歌》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-018	李敖秘密书房	017.浮云遮望眼.txt	17	17	不畏浮云遮望眼，自缘身在最高层	诗句	王安石《登飞来峰》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-019	李敖秘密书房	018.李敖缺德鬼.txt	11	11	鸣鼓而攻之	古典成语	《论语·先进》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-020	李敖秘密书房	018.李敖缺德鬼.txt	13	13	如果我是你丈夫，我就喝这杯毒药	西方幽默格言	丘吉尔语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-021	李敖秘密书房	019.上帝保佑司马光.txt	11	11	你也参加，布鲁塔斯	西方戏剧译句	莎士比亚《凯撒》梁实秋译意	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-022	李敖秘密书房	019.上帝保佑司马光.txt	11	11	还有你！布鲁塔斯！	西方戏剧译句	莎士比亚《凯撒》李敖译意	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-023	李敖秘密书房	023.你不知道的鲁迅(2).txt	15	15	爱情的代价是痛苦，爱情的方法是忍受痛苦	现代文人格言	胡适语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-024	李敖秘密书房	025.你不知道的胡适(1).txt	15	15	不是怕风吹雨打，不是羡烛照香熏	诗句	胡适改写范成大《瓶花诗》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-025	李敖秘密书房	025.你不知道的胡适(1).txt	15	15	只喜欢那折花的人，高兴和伊亲近	诗句	胡适改写范成大《瓶花诗》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-026	李敖秘密书房	025.你不知道的胡适(1).txt	15	15	花瓣儿纷纷落了，劳伊亲手收存	诗句	胡适改写范成大《瓶花诗》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-027	李敖秘密书房	025.你不知道的胡适(1).txt	15	15	当一封没有字的书信	诗句	胡适改写范成大《瓶花诗》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-028	李敖秘密书房	026.你不知道的胡适(2).txt	5	5	有意栽花花不发，无心插柳柳成荫	俗语	中国俗语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-029	李敖秘密书房	026.你不知道的胡适(2).txt	5	5	无心插柳，尚且成荫；有意栽花，当然要发	现代文人格言	胡适改写俗语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-030	李敖秘密书房	026.你不知道的胡适(2).txt	13	13	死生有命，富贵在天	古典名句	《论语·颜渊》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-031	李敖秘密书房	026.你不知道的胡适(2).txt	13	13	舜何人也，予何人也，有为者亦若是	古典名句	《孟子·滕文公上》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-032	李敖秘密书房	026.你不知道的胡适(2).txt	13	13	为者常成，行者常至	古典名句	《晏子春秋》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-033	李敖秘密书房	028.你不知道的胡适(4).txt	17	17	乍可刺你眼，不可隐我毛	文人题句	胡适题语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-034	李敖秘密书房	028.你不知道的胡适(4).txt	17	17	买米要买一斩白，连双要连好角色。十字街头背锁链，旁人取笑也抵得	民歌/山歌	桂林山歌	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-035	李敖秘密书房	032.你不知道的胡适(8).txt	5	5	种桑长江边，三年望当采。枝条始欲茂，忽值山河改。柯叶自摧折，根株浮沧海。本不植高原，今日复何悔！	诗	陶渊明《拟古九首》其九	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-036	李敖秘密书房	033.你不知道的胡适(9).txt	9	9	青山常在，绿水长流。他年相见，后会有期	赠别套语	查良鉴语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-037	李敖秘密书房	034.你不知道的胡适(10).txt	11	11	叫我如何不想她	歌词/歌名	刘半农词	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-038	李敖秘密书房	045.京华旧梦(5).txt	9	9	各抱地势，勾心斗角	赋句	杜牧《阿房宫赋》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-039	李敖秘密书房	054.真与伪.txt	15	15	鲁仲连强作之者，非体自然也	古文名句	魏安釐王评鲁仲连语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-040	李敖秘密书房	054.真与伪.txt	15	15	人皆作之，作之不止，乃成君子。作之不变，习与体成，体成则自然也	古文名句	孔子六世孙语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-041	李敖秘密书房	054.真与伪.txt	17	17	周公恐惧流言日，王莽谦躬下士时	诗句	白居易《放言》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-042	李敖秘密书房	054.真与伪.txt	17	17	设使当时身便死，一生真伪有谁知？	诗句	白居易《放言》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-043	李敖秘密书房	067.主播台上.txt	151	151	曲有误，周郎顾	古典典故	周瑜顾曲典故	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-044	李敖秘密书房	068.男人看女人.txt	23	23	天下亦知美之为美	古典名句	《老子》	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-045	李敖秘密书房	081.换一张脸.txt	3	3	上帝给女人一张脸，女人自己另外造了一张	西方谚语	外国谚语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-046	李敖秘密书房	085.看星星在说话.txt	265	265	我最喜欢一个人在研究的时候那种孤独的愉悦	西方科学家格言	爱因斯坦语意	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
LASS-047	李敖秘密书房	090.确立自己的方向.txt	65	65	小和尚念经有口无心	俗语	中国俗语	yes		首轮保守收入：节目文字稿与选战访谈噪声较密，仅取可独立成立的诗文、格言、成语俗语和经典文句。
