file	line	text	reason	context
《世论新语》自序.txt	11	诈尸	modern-political-news-context	梁启超虽然把文言文写活了，但文言文究竟是一种死文字，再活也是“诈尸”“赶尸”式的活法。到了文学革命出来，终由白话文代领风骚，自此中文正宗，自文言转为白话。白话文当行，大家都写白话文了。
《世论新语》自序.txt	11	赶尸	modern-political-news-context	梁启超虽然把文言文写活了，但文言文究竟是一种死文字，再活也是“诈尸”“赶尸”式的活法。到了文学革命出来，终由白话文代领风骚，自此中文正宗，自文言转为白话。白话文当行，大家都写白话文了。
001.新专栏——疯老虎出场.txt	5	遥知天上桂华孤，为问嫦娥更要无？月宫幸有闲田地，何不中央种两株？	modern-political-news-context	日前我们的老友黄三回来，吃饭时三人谈笑：当年沈常福马戏团，全团只有一只老虎，但是虎虎生风。如今老段的报纸，其实也只有李敖一只老虎，并且还是疯的。既然一山不容二虎，只好一虎化为两条，以《世论新语》与《李敖论坛》两个专栏，虎虎生“疯”。白居易《桂华曲》说：“遥知天上桂华孤，为问嫦娥更要无？月宫幸有闲田地，何不中央种两株？”如今老段不怕嫦娥被疯老虎吃到肚里，乾纲独断，我看也快疯啦！
002.高玉树与三面无耻.txt	3	踢到楼上去	modern-political-news-context	政治大家玩，有三边会谈、有三头马车、有三老五更、有三民主义……但有三面无耻者，却是闻所未闻。高玉树因不满国民党把他“踢到楼上去”（kickupstairs），特在楼上，玉树临风，招起红袖，向民进党的尤清抛起媚眼来。8月14日国民党《中央日报》以《高资政》为短评，认为高玉树对国民党“谰言报德”，反问他“当年以非国民党员之身，竟两度自‘乌鲁木齐’中获选为市长”，如何解释？其实，照国民党大特务的秘密刊本《蔡孟坚传真集》透露，这根本是国民党与高玉树间的一番秘密作业——国民党没原则的利用高玉树，高玉树也没原则的利用国民党；民进党没原则的利用高玉树，高玉树也没原则的利用民进党，三方面都是无耻的。其中高玉树排列组合于两党之间，左右逢源，无耻加番，以两面人做三面事，真无耻之尤矣！
002.高玉树与三面无耻.txt	3	谰言报德	modern-political-news-context	政治大家玩，有三边会谈、有三头马车、有三老五更、有三民主义……但有三面无耻者，却是闻所未闻。高玉树因不满国民党把他“踢到楼上去”（kickupstairs），特在楼上，玉树临风，招起红袖，向民进党的尤清抛起媚眼来。8月14日国民党《中央日报》以《高资政》为短评，认为高玉树对国民党“谰言报德”，反问他“当年以非国民党员之身，竟两度自‘乌鲁木齐’中获选为市长”，如何解释？其实，照国民党大特务的秘密刊本《蔡孟坚传真集》透露，这根本是国民党与高玉树间的一番秘密作业——国民党没原则的利用高玉树，高玉树也没原则的利用国民党；民进党没原则的利用高玉树，高玉树也没原则的利用民进党，三方面都是无耻的。其中高玉树排列组合于两党之间，左右逢源，无耻加番，以两面人做三面事，真无耻之尤矣！
002.高玉树与三面无耻.txt	3	当年以非国民党员之身，竟两度自‘乌鲁木齐’中获选为市长	modern-political-news-context	政治大家玩，有三边会谈、有三头马车、有三老五更、有三民主义……但有三面无耻者，却是闻所未闻。高玉树因不满国民党把他“踢到楼上去”（kickupstairs），特在楼上，玉树临风，招起红袖，向民进党的尤清抛起媚眼来。8月14日国民党《中央日报》以《高资政》为短评，认为高玉树对国民党“谰言报德”，反问他“当年以非国民党员之身，竟两度自‘乌鲁木齐’中获选为市长”，如何解释？其实，照国民党大特务的秘密刊本《蔡孟坚传真集》透露，这根本是国民党与高玉树间的一番秘密作业——国民党没原则的利用高玉树，高玉树也没原则的利用国民党；民进党没原则的利用高玉树，高玉树也没原则的利用民进党，三方面都是无耻的。其中高玉树排列组合于两党之间，左右逢源，无耻加番，以两面人做三面事，真无耻之尤矣！
002.高玉树与三面无耻.txt	9	三公	modern-political-news-context	总统府资政高玉树先生，于民国四十三年弃工程之专长而从政。以四十出头之盛年，膺任台北市首届民选市长。独树一帜，轰动一时，于前后两届市长任内，受重于当局对各项市政建设，市民还有些印象。因是，及后三十余年，历任内阁阁员，参与国家经建大计，亦中规中矩。去年，受聘为总统府资政，位列“三公”，中枢倚才之重，可谓极尽崇隆。讵高资政于日前为民进党人尤清“助阵”之演讲会上，竟自嘲为被“放进冰箱”。果尔，则目前近十位资政，无不是功在国家之大老耆宿，皆不觉资政职位之阴寒，独高资政之讽为“冷藏”，然则何以安置才算是“热门暖箱”？
002.高玉树与三面无耻.txt	9	助阵	modern-political-news-context	总统府资政高玉树先生，于民国四十三年弃工程之专长而从政。以四十出头之盛年，膺任台北市首届民选市长。独树一帜，轰动一时，于前后两届市长任内，受重于当局对各项市政建设，市民还有些印象。因是，及后三十余年，历任内阁阁员，参与国家经建大计，亦中规中矩。去年，受聘为总统府资政，位列“三公”，中枢倚才之重，可谓极尽崇隆。讵高资政于日前为民进党人尤清“助阵”之演讲会上，竟自嘲为被“放进冰箱”。果尔，则目前近十位资政，无不是功在国家之大老耆宿，皆不觉资政职位之阴寒，独高资政之讽为“冷藏”，然则何以安置才算是“热门暖箱”？
002.高玉树与三面无耻.txt	9	放进冰箱	modern-political-news-context	总统府资政高玉树先生，于民国四十三年弃工程之专长而从政。以四十出头之盛年，膺任台北市首届民选市长。独树一帜，轰动一时，于前后两届市长任内，受重于当局对各项市政建设，市民还有些印象。因是，及后三十余年，历任内阁阁员，参与国家经建大计，亦中规中矩。去年，受聘为总统府资政，位列“三公”，中枢倚才之重，可谓极尽崇隆。讵高资政于日前为民进党人尤清“助阵”之演讲会上，竟自嘲为被“放进冰箱”。果尔，则目前近十位资政，无不是功在国家之大老耆宿，皆不觉资政职位之阴寒，独高资政之讽为“冷藏”，然则何以安置才算是“热门暖箱”？
002.高玉树与三面无耻.txt	9	冷藏	modern-political-news-context	总统府资政高玉树先生，于民国四十三年弃工程之专长而从政。以四十出头之盛年，膺任台北市首届民选市长。独树一帜，轰动一时，于前后两届市长任内，受重于当局对各项市政建设，市民还有些印象。因是，及后三十余年，历任内阁阁员，参与国家经建大计，亦中规中矩。去年，受聘为总统府资政，位列“三公”，中枢倚才之重，可谓极尽崇隆。讵高资政于日前为民进党人尤清“助阵”之演讲会上，竟自嘲为被“放进冰箱”。果尔，则目前近十位资政，无不是功在国家之大老耆宿，皆不觉资政职位之阴寒，独高资政之讽为“冷藏”，然则何以安置才算是“热门暖箱”？
