id	source_file	line_start	line_end	category	risk	quote_text
LASHD-001	002.银纸包个臭皮蛋.txt	13	13	妙语		再金玉其外，也不过是银纸包个臭皮蛋耳！
LASHD-002	002.银纸包个臭皮蛋.txt	13	13	成语		行尸走肉
LASHD-003	002.银纸包个臭皮蛋.txt	11	11	格言		来路甚怪、人马甚杂
LASHD-004	003.直线前进对，周而复始错.txt	11	11	格言		一段漫长、漫长的道路
LASHD-005	003.直线前进对，周而复始错.txt	11	11	格言		人生每一段路仿佛都有终点，但在终点尽处，却是另一条路的起点。
LASHD-006	003.直线前进对，周而复始错.txt	11	11	诗文		山重水复疑无路
LASHD-007	003.直线前进对，周而复始错.txt	11	11	诗文		柳暗花明又一村
LASHD-008	003.直线前进对，周而复始错.txt	11	11	格言		终点就是起点
LASHD-009	003.直线前进对，周而复始错.txt	15	15	诗文		何处是归程，长亭更短亭
LASHD-010	003.直线前进对，周而复始错.txt	1	1	格言		直线前进对，周而复始错
LASHD-011	003.直线前进对，周而复始错.txt	15	15	格言		或者因为我认为还有若干不同的生活须待尝试，不能久过这一种生活。
LASHD-012	003.直线前进对，周而复始错.txt	15	15	格言		人生最后，必须有一种自我（不靠他人的）归宿，则是智慧的决定。
LASHD-013	004.来回带物法.txt	7	7	格言		最不以浮沉穷通待我的人
LASHD-014	004.来回带物法.txt	7	7	格言		罗斯福说丘吉尔的主意每天有一百个，但只有一个是好的，但那个好主意，就可以打胜仗。
LASHD-015	004.来回带物法.txt	7	7	成语		发人所未发
LASHD-016	004.来回带物法.txt	7	7	成语		举重若轻
LASHD-017	004.来回带物法.txt	9	9	妙语		来回带物法
LASHD-018	004.来回带物法.txt	11	11	妙语		电鳗法
LASHD-019	004.来回带物法.txt	11	11	妙语		使人发麻而就范法也
LASHD-020	004.来回带物法.txt	13	13	妙语		看来没法子把它搬上车了。
LASHD-021	004.来回带物法.txt	13	13	妙语		搬上车？
LASHD-022	004.来回带物法.txt	13	13	妙语		我是要搬下车呀！
LASHD-023	004.来回带物法.txt	13	13	格言		请名家帮忙，下场往往如此！
LASHD-024	006.“惭愧公荣文王”.txt	9	9	俗语		烧冷灶
LASHD-025	006.“惭愧公荣文王”.txt	11	11	成语		近墨者黑
LASHD-026	006.“惭愧公荣文王”.txt	11	11	妙语		惭愧公荣文王
LASHD-027	009.与朋友交，其写信乎？.txt	27	27	典故		与朋友交，而不信乎？
LASHD-028	009.与朋友交，其写信乎？.txt	27	27	妙语		而不写信了吗？
LASHD-029	009.与朋友交，其写信乎？.txt	27	27	典故		三省吾身
LASHD-030	009.与朋友交，其写信乎？.txt	33	33	俗语		不到黄河不死心
LASHD-031	009.与朋友交，其写信乎？.txt	33	33	妙语		到了黄河又如何
LASHD-032	009.与朋友交，其写信乎？.txt	33	33	典故		为长者折枝，可为也；挟泰山以超北海，不可为也。
LASHD-033	009.与朋友交，其写信乎？.txt	33	33	成语		不识时务
LASHD-034	010.天行有常.txt	1	1	典故		天行有常
LASHD-035	010.天行有常.txt	9	9	格言		在没有听众的大厅中演奏，音乐会更好！
LASHD-036	010.天行有常.txt	9	9	妙语		剧本非常成功，可是观众太糟了！
LASHD-037	010.天行有常.txt	11	11	典故		天行有常，不为尧存，不为桀亡。
LASHD-038	010.天行有常.txt	13	13	典故		天不为人之恶寒也辍冬，地不为人之恶辽远也辍广，君子不为小人之匈匈也辍行。
LASHD-039	010.天行有常.txt	13	13	典故		天有常道矣，地有常数矣，君子有常体矣。
LASHD-040	010.天行有常.txt	13	13	典故		君子道其常，而小人计其功。
LASHD-041	010.天行有常.txt	13	13	诗文		礼义之不愆，何恤人之言兮？
LASHD-042	010.天行有常.txt	15	15	格言		自己在道德上行为上站得住、没有错，又何必顾虑别人的议论、别人的七嘴八舌呢？
LASHD-043	010.天行有常.txt	15	15	格言		君子不因为小人的吵闹就改变自己的行动。
LASHD-044	010.天行有常.txt	17	17	典故		小人之匈匈
LASHD-045	010.天行有常.txt	17	17	典故		小人计其功
LASHD-046	010.天行有常.txt	17	17	妙语		永丰有常
LASHD-047	012.“财神爷”的悄悄话.txt	7	7	成语		只知其一，不知其二
LASHD-048	012.“财神爷”的悄悄话.txt	7	7	成语		神龙活现
LASHD-049	012.“财神爷”的悄悄话.txt	7	7	格言		“充阔”比“装穷”好混得多了！
LASHD-050	012.“财神爷”的悄悄话.txt	9	9	俗语		空头老倌
LASHD-051	012.“财神爷”的悄悄话.txt	11	11	格言		一则以喜、一则以无奈
LASHD-052	012.“财神爷”的悄悄话.txt	15	15	格言		只有自己站得起来，其他才有依附与意义、其他才不会破灭。
LASHD-053	012.“财神爷”的悄悄话.txt	15	15	格言		我不做持盈保泰的人，但也绝不做失败的人。
LASHD-054	014.“不提李敖之名”记趣.txt	1	1	妙语		不提李敖之名
LASHD-055	014.“不提李敖之名”记趣.txt	13	13	妙语		不提李敖之名
LASHD-056	014.“不提李敖之名”记趣.txt	13	13	妙语		不愿提法
LASHD-057	014.“不提李敖之名”记趣.txt	13	13	妙语		不敢提法
LASHD-058	014.“不提李敖之名”记趣.txt	15	15	妙语		乃在法律尊严前所不能不忍受之精神虐待。
LASHD-059	014.“不提李敖之名”记趣.txt	23	23	诗文		违君之教，不敢以此书问世，仍盼痛加纠绳
LASHD-060	014.“不提李敖之名”记趣.txt	23	23	格言		高级知识分子的伪善与胆怯
LASHD-061	014.“不提李敖之名”记趣.txt	31	31	格言		高级知识分子的伪善与胆怯
LASHD-062	014.“不提李敖之名”记趣.txt	33	33	格言		骨牌理论
LASHD-063	014.“不提李敖之名”记趣.txt	41	41	妙语		治病
LASHD-064	014.“不提李敖之名”记趣.txt	41	41	妙语		收尸
LASHD-065	014.“不提李敖之名”记趣.txt	47	47	成语		天无绝人之路
LASHD-066	014.“不提李敖之名”记趣.txt	47	47	格言		先闻，做人子的，一生只有两件大事。这是最后一件了。
LASHD-067	014.“不提李敖之名”记趣.txt	47	47	格言		北方人重义气，感人太深。
LASHD-068	014.“不提李敖之名”记趣.txt	47	47	格言		北方人见义勇为，拔“刀”相助
LASHD-069	014.“不提李敖之名”记趣.txt	49	49	格言		世道人心、学人风范
LASHD-070	019.律师·正义·缩.txt	9	9	典故		自反而不缩
LASHD-071	019.律师·正义·缩.txt	11	11	格言		当年林肯做律师时候，每在发现委任人错了的时候，即拒绝为不合正义的“我方”辩护
LASHD-072	019.律师·正义·缩.txt	11	11	格言		林肯终能成为伟人，良有以也。
LASHD-073	020.从肚皮到头皮.txt	11	11	妙语		都是文章。
LASHD-074	020.从肚皮到头皮.txt	11	11	妙语		满腹都是机智。
LASHD-075	020.从肚皮到头皮.txt	11	11	妙语		朝士一肚皮不合时宜。
LASHD-076	020.从肚皮到头皮.txt	11	11	妙语		人间祸福异路，光凭肚皮，即可知矣！
LASHD-077	020.从肚皮到头皮.txt	13	13	诗文		更休落魄贪杯酒，亦莫猖狂爱咏诗。今日捉将官里去，这回断送老头皮。
LASHD-078	020.从肚皮到头皮.txt	13	13	诗文		随着四婆裙子后，杖头挑去赛蚕官。
LASHD-079	020.从肚皮到头皮.txt	13	13	妙语		断送老头皮
LASHD-080	020.从肚皮到头皮.txt	19	19	诗文		烈士暮年，壮心不已
LASHD-081	023.“良友渐随千劫尽”.txt	1	1	诗文		良友渐随千劫尽
LASHD-082	023.“良友渐随千劫尽”.txt	7	7	典故		读圣贤书，所学何事
LASHD-083	023.“良友渐随千劫尽”.txt	19	19	典故		相忘于江湖
LASHD-084	029.树敌与择友.txt	1	1	格言		树敌与择友
LASHD-085	029.树敌与择友.txt	11	11	格言		如果“朋友”是这样伪善、胆怯、骑墙、闪躲，这种朋友，也真可有可无了
LASHD-086	029.树敌与择友.txt	13	13	格言		别人整天做公共关系讨好人，我却整天破坏公共关系批评人
LASHD-087	029.树敌与择友.txt	13	13	妙语		我的敌人不是一个个出现，而是一窝窝出现
LASHD-088	029.树敌与择友.txt	17	17	格言		世人都疏远了我，而仍在我身边的人，就是我真正的朋友。
LASHD-089	029.树敌与择友.txt	17	17	格言		我疏远了他们、他们仍挺身为真理而公然站在我身边的人，就是我真正的朋友。
LASHD-090	031.关于“记忆”的讨论.txt	7	7	诗文		浮云一别后，流水二十年。
LASHD-091	031.关于“记忆”的讨论.txt	7	7	诗文		天涯若比邻
LASHD-092	031.关于“记忆”的讨论.txt	7	7	妙语		比邻若天涯
LASHD-093	031.关于“记忆”的讨论.txt	17	17	俗语		黄鱼两吃
LASHD-094	031.关于“记忆”的讨论.txt	39	39	格言		人生百岁
LASHD-095	031.关于“记忆”的讨论.txt	39	39	格言		人生百廿岁
LASHD-096	031.关于“记忆”的讨论.txt	73	73	成语		记忆犹新
LASHD-097	031.关于“记忆”的讨论.txt	71	71	俗语		占了便宜又卖乖
LASHD-098	034.给李政一的一封信.txt	13	13	妙语		晴空乱流（clear-air turbulence）
LASHD-099	034.给李政一的一封信.txt	15	15	典故		愚人船
LASHD-100	034.给李政一的一封信.txt	15	15	诗文		我思化人本无着，偶然此地遗其骸。愚夫奇货据灵躅，兴废乃到空山来。
LASHD-101	034.给李政一的一封信.txt	17	17	成语		患难见真情
