file	line	quoteText	markers	political	previous	context	next
《李敖弄法集》小引.txt	1	李敖弄法集				《李敖弄法集》小引	
《李敖弄法集》小引.txt	3	韩非子	classics			《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。	
《李敖弄法集》小引.txt	3	儒以文乱法	classics			《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。	
《李敖弄法集》小引.txt	3	儒以文弄法	classics			《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。	
《李敖弄法集》小引.txt	3	史记	classics			《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。	
《李敖弄法集》小引.txt	3	吏士舞文弄法	classics			《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。	
《李敖弄法集》小引.txt	3	李敖弄法集	classics			《韩非子》说“儒以文乱法”，我却说“儒以文弄法”，盖法不可乱却可弄也。《史记》说“吏士舞文弄法”，弄法的古典意义，本指执法者而言，但今之执法者，已不弄法，他们悍然违法非法了，谁还要弄？结果呢，在法令上下工夫，肯弄它把它弄好的，反倒是守法者了。这本《李敖弄法集》，以春秋笔法逍遥法内、以知法犯法现身说法，可谓此道不二法门矣，欢迎大家效法。	
001.一个联合造成的冤狱.txt	1		poem			一个联合造成的冤狱	
001.一个联合造成的冤狱.txt	3	涉嫌叛乱	foreign	political-context		1971年3月19日夜里，台湾警备总司令部，在全天候软禁我十四个月以后，终于将我逮捕。我被押到保安处，然后出示拘票，说我“涉嫌叛乱”。一年以后开庭，判我十年；去年又改判，判我八年。我在庭上一直一言不发，法官问我为什么不说话，我说：“耶稣受审时，他也没说话。”	
001.一个联合造成的冤狱.txt	3	耶稣受审时，他也没说话。	foreign	political-context		1971年3月19日夜里，台湾警备总司令部，在全天候软禁我十四个月以后，终于将我逮捕。我被押到保安处，然后出示拘票，说我“涉嫌叛乱”。一年以后开庭，判我十年；去年又改判，判我八年。我在庭上一直一言不发，法官问我为什么不说话，我说：“耶稣受审时，他也没说话。”	
001.一个联合造成的冤狱.txt	7	文星				案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听凭处理，□□放弃一切抗诉”。他届时未还，...	
001.一个联合造成的冤狱.txt	7	文星				案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听凭处理，□□放弃一切抗诉”。他届时未还，...	
001.一个联合造成的冤狱.txt	7	文星				案中案是这样的：□□□轰动全台的□□□命案的男主角□□，在坐牢多年后出狱，为人所不齿，化名做土木业。一次向《文星》投稿，萧孟能与人为善，提拔他为《文星》□□，不久就发现《文星》业务秘密被他□□给其他同业，萧太太坚持开革他，我为息事宁人，遂叫他到编辑部来，算我私人雇他。《文星》被封后，他兜到一笔侨资，买到《文星》部分版权，虽赚了钱，可是因为弃发妻养情妇买汽车大肆挥霍，终告退票。于是他敛其骄气，到我家来，“向恩人悔过”，求我帮他把这批版权抵押给罗小如、马淑芬夫妇，押十万元，他亲笔立据，届时不还，版权即为罗小如所有，“听凭处理，□□放弃一切抗诉”。他届时未还，...	
