id	source_file	line_start	line_end	category	risk	quote_text
LASHJQ-001	012.胡茵梦的“天性”问题.txt	11	11	格言		说谎不是我的天性。
LASHJQ-002	012.胡茵梦的“天性”问题.txt	21	21	格言		于人无益，于己有损
LASHJQ-003	013.雪中送炭与雪中送肉.txt	13	13	格言		这次不算，好汉重来
LASHJQ-004	013.雪中送炭与雪中送肉.txt	15	15	成语		恩怨分明
LASHJQ-005	013.雪中送炭与雪中送肉.txt	23	23	典故		岁云暮矣
LASHJQ-006	013.雪中送炭与雪中送肉.txt	23	23	成语		何足道哉
LASHJQ-007	013.雪中送炭与雪中送肉.txt	23	23	成语		比比皆是
LASHJQ-008	013.雪中送炭与雪中送肉.txt	25	25	成语		雪中送炭
LASHJQ-009	013.雪中送炭与雪中送肉.txt	25	25	格言		雪中送肉
LASHJQ-010	013.雪中送炭与雪中送肉.txt	25	25	格言		一个人说要送炭给你时，不可轻信，要真正送了才算。
LASHJQ-011	013.雪中送炭与雪中送肉.txt	25	25	成语		大义灭亲
LASHJQ-012	013.雪中送炭与雪中送肉.txt	27	27	典故		士别三日，就要刮目相待
LASHJQ-013	013.雪中送炭与雪中送肉.txt	27	27	格言		士别三十年，有目也休刮也
LASHJQ-014	013.雪中送炭与雪中送肉.txt	27	27	格言		一个人怎么可以这样没有进步？
LASHJQ-015	016.二十年后的一次通信.txt	7	7	成语		纸短意长
LASHJQ-016	016.二十年后的一次通信.txt	23	23	典故		云林
LASHJQ-017	017.谁露了奶头？.txt	23	23	成语		雅俗共赏
LASHJQ-018	017.谁露了奶头？.txt	23	23	成语		皆大欢喜
LASHJQ-019	017.谁露了奶头？.txt	23	23	格言		临奶欢喜，不知有汉
LASHJQ-020	025.揪出伪君子.txt	11	11	格言		一个人要想高，想办法去高就是，老想踩住别人来垫高自己，那是要不得的行为。
LASHJQ-021	028.我决定管一次小事.txt	7	7	成语		自不待言
LASHJQ-022	028.我决定管一次小事.txt	11	11	格言		蒙混以欺旅客
LASHJQ-023	028.我决定管一次小事.txt	13	13	格言		形同猪仔
LASHJQ-024	028.我决定管一次小事.txt	17	17	成语		不近人情
LASHJQ-025	028.我决定管一次小事.txt	17	17	成语		鬼鬼祟祟
LASHJQ-026	028.我决定管一次小事.txt	17	17	格言		应该特为表出
LASHJQ-027	028.我决定管一次小事.txt	19	19	格言		大时代中的小事
LASHJQ-028	028.我决定管一次小事.txt	19	19	成语		忍气吞声
LASHJQ-029	028.我决定管一次小事.txt	19	19	俗语		打太极拳
LASHJQ-030	028.我决定管一次小事.txt	19	19	格言		我决定管一次小事
LASHJQ-031	029.苍蝇也没那么好拍的！.txt	17	17	成语		视而不见
LASHJQ-032	029.苍蝇也没那么好拍的！.txt	19	19	成语		落井下石
LASHJQ-033	029.苍蝇也没那么好拍的！.txt	19	19	格言		家徒一壁三面皆空
LASHJQ-034	029.苍蝇也没那么好拍的！.txt	19	19	成语		补苴罅漏
LASHJQ-035	029.苍蝇也没那么好拍的！.txt	27	27	成语		举一反三
LASHJQ-036	029.苍蝇也没那么好拍的！.txt	43	43	成语		高不可攀
LASHJQ-037	029.苍蝇也没那么好拍的！.txt	43	43	成语		无能为力
LASHJQ-038	029.苍蝇也没那么好拍的！.txt	57	57	俗语		只拍苍蝇，不打老虎
LASHJQ-039	031.“千秋评论”连出五十期了！.txt	5	5	格言		勤奋如此、有恒如此、锲而不舍如此、守此不去如此、江郎不才尽如此，真是古今中外第一人！
LASHJQ-040	031.“千秋评论”连出五十期了！.txt	9	11	诗文		一月又一月，千秋五十期。水平连年好，调门总不低。\n看花双手按，行文一脚踢。无尽灯长亮，五更做晨鸡。
LASHJQ-041	031.“千秋评论”连出五十期了！.txt	13	13	典故		有法门名无尽灯，汝等当学。
LASHJQ-042	031.“千秋评论”连出五十期了！.txt	13	13	典故		一灯燃百千灯，冥者皆明，明终不尽。
LASHJQ-043	031.“千秋评论”连出五十期了！.txt	13	13	典故		夫一菩萨开导百千众生，令发阿耨多罗三藐三菩提心，于其道意，亦不灭尽，随所说法，而自增益一切善法，是名无尽灯也。
LASHJQ-044	031.“千秋评论”连出五十期了！.txt	13	13	诗文		安西老守是禅僧，到处应然无尽灯。
LASHJQ-045	031.“千秋评论”连出五十期了！.txt	19	19	典故		众人皆醉而我独醒
LASHJQ-046	031.“千秋评论”连出五十期了！.txt	19	19	诗文		上穷碧落下黄泉
