id	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
LAQWQH-001	001.第一条多了什么？.txt	27	27	曲学阿世	传统成语	《汉书》以来的成语。	李敖用此语讥刺学者迎合世俗权势，保留为传统成语。	
LAQWQH-002	001.第一条多了什么？.txt	29	29	一针见血	传统成语	通行成语。	李敖用此语称赞社论点破症结，保留为概括性成语。	
LAQWQH-003	003.三民主义口头禅.txt	13	13	平生不学口头禅，脚踏实地性虚天	宋人诗句	宋王楙《野客丛书》所引临终诗。	李敖解释“口头禅”本义时引宋诗，周边政治论述未入表。	
LAQWQH-004	003.三民主义口头禅.txt	13	13	挂羊头卖狗肉	俗语成语	传统俗语。	李敖用此语批评名实不符，作为俗语成语保留。	
LAQWQH-005	008.“文化种猪”接种记.txt	5	5	高山仰止，景行行止	诗经名句	《诗经·小雅·车辖》。	李敖引《诗经》句说明对孔子的敬意，保留古典出处。	
LAQWQH-006	009.不回来与回不来.txt	21	21	并诣官曹，求代其命	史传引文	汉代代死故事相关史传文字。	李敖说明古代代位牺牲观念时引用史传语。	
LAQWQH-007	009.不回来与回不来.txt	73	73	曲学阿世	传统成语	《汉书》以来的成语。	李敖用此语批评知识分子迎合群众，保留成语本身。	
LAQWQH-008	010.政治挂帅不够帅.txt	19	19	美是上帝的礼物	西方哲学名言	文中称为亚里士多德之语。	李敖谈选美时引亚里士多德语，保留为美学格言。	
LAQWQH-009	010.政治挂帅不够帅.txt	27	27	学而优则仕	论语名句	《论语·子张》。	李敖讨论传统思想出路时引《论语》句，保留古典语源。	
LAQWQH-010	010.政治挂帅不够帅.txt	33	33	江山易改，本性难移	俗语成语	传统俗语。	李敖引俗语说明本性难改，周边政论不入表。	
LAQWQH-011	012.跋“侯德健给李敖的信”.txt	3	3	蛟龙得云雨，终非池中物	古典名句	三国典故化用。	李敖形容创作者出走寻求开阔天地，保留古典比喻。	
LAQWQH-012	012.跋“侯德健给李敖的信”.txt	33	33	归去来兮	古典辞赋名句	陶渊明《归去来兮辞》。	文中作为歌曲名出现，因明指陶渊明名句而收。	
LAQWQH-013	012.跋“侯德健给李敖的信”.txt	165	165	焚琴煮鹤	传统成语	传统雅事被毁的成语。	李敖以此比喻粗暴对待艺术，保留成语本身。	
LAQWQH-014	014.打倒冒牌的民族主义！.txt	9	9	职方氏辨其邦国都鄙，四夷、八蛮、七闽、九貉、五戎、六狄之人民。	古籍引文	《周礼》职方氏相关文字。	李敖讨论古代族类观念时引用古籍，保留出处句。	
LAQWQH-015	014.打倒冒牌的民族主义！.txt	9	9	南方蛮闽、从虫；北方狄、从犬；东方貉、从豸；西方羌、从羊，此异种也！	古籍训诂引文	古代字训式族类说法。	李敖列举古书短视说法，保留为古籍引文。	
LAQWQH-016	014.打倒冒牌的民族主义！.txt	11	11	吊民伐罪	古典成语	《孟子》等古籍常见说法。	李敖用以说明古代征伐话语，保留成语。	
LAQWQH-017	014.打倒冒牌的民族主义！.txt	23	23	略输文采	诗词名句	毛泽东《沁园春·雪》句。	文中引用诗词成句，不收其周边政治判断。	
