action	target	source_file	line_range	quote_or_candidate	reason
keep	LAZNRJ-001	001.十七天的校园生活.txt	121	乐之以验其懈、哀之以验其仁、苦之以验其志、远之以验其忠、近之以验其敬、烦之以验其能、富之以验其养、穷之以验其不受。	古代观人法，具有格言性
keep	LAZNRJ-002	001.十七天的校园生活.txt	123	十室之内，必有忠信；十步之内，必有芳草。	古典成句与俗谚合用
keep	LAZNRJ-003-LAZNRJ-007	001.十七天的校园生活.txt	125,177	《新灵肉之门》《战地春梦》台词	外部电影台词，非政治语境
keep	LAZNRJ-008	002.毕业以后，从军以前.txt	191	对过去事我不感兴趣，我的兴趣在未来。	贝尔语，人物格言
keep	LAZNRJ-009	003.四席小屋日记.txt	13-15	委蜕大难求净土，/伤心最是近高楼！	陈宝琛诗句，原文明注
add	LAZNRJ-010	003.四席小屋日记.txt	743	黄花鱼掉到黄粪缸里	校对轮补入民间俗语；虽为私人调侃，短语本身可独立检索
keep	LAZNRJ-011	003.四席小屋日记.txt	1637-1643	又聪明又懒的……又笨又勤快的，杀掉。	管理格言；来源为军官转述但非政论
keep	LAZNRJ-012	004.二十年前的一些断片.txt	11	不如意事常十之八九	传统俗谚
add	LAZNRJ-013	004.二十年前的一些断片.txt	121-125	My advice：/①Construction before bombardment；/②Don't marry.	校对轮补入席间赠言；标题明示赠言且具格言形式
keep	LAZNRJ-014	004.二十年前的一些断片.txt	335	李兄送鞋，陈弟送袜。千里鹅毛，俱为足下。	陈彦增题诗，原文明注
exclude	self_coauthored_poems	001.十七天的校园生活.txt;002.毕业以后，从军以前.txt	37-45;137-145;169-177;227-235	校园合写诗、给曾才诗、与景诗、张立纲上当诗	李敖自作或友人私人即兴诗，非外部引用
exclude	unclear_quoted_sentence	001.十七天的校园生活.txt	189	神识超迈，飘然而来，忽然而去，不屑于雕章琢句，亦不劳劳于镂心刻骨。	全书仅见作李敖描述胡适气象，无明确外部出处
exclude	self_maxim	002.毕业以后，从军以前.txt	337	没有情绪的人，才是真正幸福的人！	无归因，日记中更像李敖自我警句
exclude	parody	003.四席小屋日记.txt	567-571	已谙姨食性，/还要尝小姨！	化用王建诗而成私人黄色玩笑，不取作外部诗句
exclude	abacus_joke	003.四席小屋日记.txt	489	勿以三下五去二，当八上三去五进一	借珠算口诀作私人消遣，整体非外部格言
exclude	private_joke_poem	003.四席小屋日记.txt	1777-1825	有“便”来找李敖……李敖有些不胜	友人长篇戏诗高度依附私人场景，暂不收入
exclude	modern_political_context	003.四席小屋日记.txt;004.二十年前的一些断片.txt	1663;39;1047	詹森卷袖语、反共/言论自由等政论段	现代政治人物或政治语境材料，排除
