kind	score	file	line	id	text	reason	hint	context
possible_missing_candidate	7	001.高等教育的一面怪现状.txt	63		女学生一律坐前排，男学生全都坐后面。	strong-literary-signal;political-institutional-context	same line has records; review for multi-quote omission	有的老教授，一上课就宣布：“女学生一律坐前排，男学生全都坐后面。”这种决定，并不是什么lady first，而是饱眼福方便。方便的结果，女学生的分数一律八十分以上，男学生呢，一律八十分以下！还有的老教授，写情诗，追女职员，秀笺题字，画里真真，极尽太虚幻境之能事；还有的老教授，庭院花发，邀请班上全部女学生移玉舍下，共来赏花，男学生呢？当然一个也不请……除了这类...
possible_missing_candidate	8	001.高等教育的一面怪现状.txt	91		沈郎之才，技仅此耳	political-institutional-context	review as possible addition	我这篇文章由统计图表开始，算来算去，竟从制度算到人事上面，最后涉及到人事的头儿沈刚伯，这是很痛心的事。我只好静候浅人们骂我“人身攻击”。我要干脆说明我实在分不清“对事不对人”的玄理。就沈刚伯和文学院的情况而言，“人”与“事”根本是分不开的，其人存则政不举，任何稍知文学院情况的人，都可以看到这个学院在沈刚伯十四年来的阴沉领导下，已经腐败到什么地步。文学院的松懈...
possible_missing_candidate	5	002.师道与是非.txt	171		此非吾‘师’也！何其声之似我也！	strong-literary-signal;political-institutional-context	same line has records; review for multi-quote omission	二、关于学生批评老师的态度问题，这和教育制度有很大的关系。古代的学生不参加“恶性补习”，也不参加“联合招生”，他们有“选师”“择师”的权利，所以他们会表演“杖策骑驴”、“担囊负笈”的故事，也会表演“程门立雪”、“立庙藏衣”的礼节；做老师的，很像幼稚园的老师，一切课程都包办，从来没有什么faculty，所以学生有任何不满，径行表现“不悦”可也，并不需要诉诸舆论...
possible_missing_candidate	5	003.论“占着茅坑不拉屎””.txt	43		大学教授待遇菲薄论	strong-literary-signal;political-institutional-context	review as possible addition	五十多天来，关於高等教育怪现状的讨论，似乎已慢慢转化成一个重点，这个重点就是所谓“大学教授待遇菲薄论”。因为“待遇菲薄”，所以不能专心做学问、不能研究、不能发表论文、不能退休、不能新陈代谢、不能这个、不能那个……总之，一切都没法子，一切都得维持现状——拖！
possible_missing_candidate	6	003.论“占着茅坑不拉屎””.txt	69		养老院或救济院的一面怪现状	strong-literary-signal	review as possible addition	乍看起来，洪炎秋先生这两点辩解好像合情合理，其实全是犯了逻辑上“不相干的结论”（irrelevant conclusion）。我所以说他犯了这个毛病，因为他的两点理由，完全是针对“养老院”或“救济院”的理由，并不是对大学里“学院”的理由。如果我们讨论的范畴是“养老院或救济院的一面怪现状”，那么洪炎秋先生的两点辩解，可以说是很好的挡箭牌。可是我要不客气的指出：...
possible_missing_candidate	7	003.论“占着茅坑不拉屎””.txt	139		重新做人的人有福了，因为伟大的‘嘉新讲座’六千元，早晚会掉在他的头顶上。	strong-literary-signal;political-institutional-context	review as possible addition	所以，我们相信沈刚伯先生在教书和办公以外、在向于右任老头儿写肉麻寿序以外、在武侠小说惊鸿一剑以外、在读徐复观先生的联盟信和慰问信以外，一定还有余力写paper，写p-a-p-e-r。就因为他有这种把握，所以不爱钱的他，才抢先接受了“嘉新讲座”的每月六千元的津贴，为穷途潦倒的台大文学院，带来了无限的喜气、财气和光芒。所以说，台大文学院中的老不长进的教授，应该经...
possible_missing_candidate	8	004.关于高等教育怪现状的讨论.txt	69		既愿做肥料，何以不在做肥料之先，做轰轰烈烈的烈士呢！	political-institutional-context	review as possible addition	作为一个学生，我深知道教授们的痛苦。写书，谈何容易，资料在哪里？何况要兼差谋生？睁开眼睛看社会……“感触良多”（借用一位教授写给学生信里的一句话）。所以今天极多在台湾有成就的老学人们，只好借看武侠小说、下棋……来麻醉自己的知觉了。现在洪炎秋教授却敲了一下自觉的醒钟，叫大家下决心准备做肥料。因此，我趁着广大反响就要发生之前，插嘴说一句话：“既愿做肥料，何以不在...
possible_missing_candidate	8	004.关于高等教育怪现状的讨论.txt	77		来，坐啦！	strong-literary-signal;political-institutional-context	review as possible addition	把大学教授的生活情形提出来讨论，是有益的一件事。至于态度与措词，那是另一个问题。这件事由青年人提出，由老年人答复，如果心平气和的谈谈，可能有助于现状的改善。我是一个中年人，老早向青年摇手说“拜拜”，而老年又在不远的前面招手说：“来，坐啦！”而且手里似乎也没有一根具象的棒子，因之自己像是看台上的一个观众。看到田径场上的接力比赛竟为交接棒子的问题发生争论，不禁发...
possible_missing_candidate	8	004.关于高等教育怪现状的讨论.txt	101		博学的人们，谁能把老一辈所留给我们的知识财富算笔细帐？	candidate	same line has records; review for multi-quote omission	对以上王文所指的问题，提出我的看法以后，我想对老一辈所留给后辈的知识略表浅见。我很同意王洪钧先生的看法：“博学的人们，谁能把老一辈所留给我们的知识财富算笔细帐？”这笔细账确实很难算。纵使能抛却主观的异同和情感的爱憎；单就时间的因素而言，也很难一时估定这笔财富价值的高低。欧洲的文艺复兴，就是因不同的时间，重行估定古人的思想价值。梁任公曾谓清代的汉学，即是中国的...
possible_missing_candidate	8	004.关于高等教育怪现状的讨论.txt	157		真正的名流，要拿出真才实学来才行！	candidate	same line has records; review for multi-quote omission	靠武力发迹的人，绝不可迷信武力。您是念历史的人，一定了解得最透彻。同样的道理，可以转换成为：靠骂人成名的人，不可以长久倚赖骂人作为欲遂所愿的“新终南捷径”。否则，势将遭遇到迷信武力同样的失败命运。套一句您自己的话：“真正的名流，要拿出真才实学来才行！”
possible_missing_candidate	8	004.关于高等教育怪现状的讨论.txt	169		双眼圆睁、垂涎三尺、又羡又妒的嘴脸	political-institutional-context	same line has records; review for multi-quote omission	“有的还趁休假之便，不多多研究，反倒做起洋基金会的执行秘书来，每月多赚台币一万元，乖乖！”这几句话活生生地勾画出一副“双眼圆睁、垂涎三尺、又羡又妒的嘴脸”来。其实，人家乐意牺牲假期，去找兼差，并未有误职守：“吹皱一池春水，干卿底事？”您又何必多管别人闲事？再说，您怎知人家没有从事研究呢？
possible_missing_candidate	7	004.关于高等教育怪现状的讨论.txt	169		有的还趁休假之便，不多多研究，反倒做起洋基金会的执行秘书来，每月多赚台币一万元，乖乖！	political-institutional-context	same line has records; review for multi-quote omission	“有的还趁休假之便，不多多研究，反倒做起洋基金会的执行秘书来，每月多赚台币一万元，乖乖！”这几句话活生生地勾画出一副“双眼圆睁、垂涎三尺、又羡又妒的嘴脸”来。其实，人家乐意牺牲假期，去找兼差，并未有误职守：“吹皱一池春水，干卿底事？”您又何必多管别人闲事？再说，您怎知人家没有从事研究呢？
possible_missing_candidate	5	004.关于高等教育怪现状的讨论.txt	247		国家经济状况的不良，使教员学生都陷于衣食不足的境地，还讲什么教育！	strong-literary-signal	same line has records; review for multi-quote omission	什么是教育的危机？这个问题，似乎人人都能回答，但所回答的恐怕都不相同。最普通的一个回答似乎是：“国家经济状况的不良，使教员学生都陷于衣食不足的境地，还讲什么教育！”而我以为经济的关系固然是阻碍教育进步的大原因，却不是唯一的原因，并且不是最大的原因。就事实而讲，现在国立大学中的学生，十分之七以上是有公费的。这种公费生自己所负担的，不过是衣服和书籍等费。一个人要...
possible_missing_candidate	8	004.关于高等教育怪现状的讨论.txt	255		来日无多，怕难如愿	candidate	review as possible addition	毛子水这些话都大体不差。那时是民国三十七年，国民生计比现在还苦，毛子水犹说经济原因不是阻碍教育进步最大的原因，那么十五六年后的今日台湾，教育腐败的原因又是什么呢？所以毛子水责备我批评高等教育的话，我实在不知道他在搞什么？十五六年了，毛子水没有在写《论所谓“教育的危机”》以后，提供任何改制良方，到头来竟自承“没有什么成就”，并且“来日无多，怕难如愿”，他还好意...
