file	line	covered_ids	context
001.现代化的爱情——一个导论.txt	5		现代化的爱情在哪儿？这一代的中国人知道的并不多，他们虽然也风闻什么自由恋爱，也爱得死去活来，但是，他们的想法太陈旧了、做法太古典了，在现代化的链锁上，他们的爱情生活可说是最落伍的一环。有多少次，我忍不住叹气说：“太多的中国人不懂得爱情！”
001.现代化的爱情——一个导论.txt	7		在中国历史上，简直找不到几个可以歌颂的爱情故事，尽管二十五史堂堂皇皇，圣贤豪杰，皇亲国舅一大堆，可是见到的竟是些你杀我砍他下毒药。
001.现代化的爱情——一个导论.txt	21	LACTZB-003	清朝有一个朱彝尊，算是一颗彗星，他居然有了爱情的故事，并把这故事写成了《风怀诗》。不但如此，他还要把这诗收进他的《曝书亭集》。他的朋友一看到，就急了，劝他注重清议，别把这不三不四的诗放进去，可是朱彝尊说：“吾宁不食两庑豚，不删风怀二百韵！”
002.女人三论.txt	7	LACTZB-006	但是历史的包袱毕竟是一个大阻力，几千年男尊女卑的传统，女诫女训妇道妇容的桎梏，使我们这些“世界上最美的女性”（胡适语）多少还不能完全苏醒过来、活泼起来，她们多少还有点“小气”的作风，比如说：
003.李敖先生谈女人（语录）.txt	7		我的名誉：我的名誉被两种人所破坏：一种是邮政总监；一种是情敌。所谓情敌，解释是广义的：当一个人，发现他的太太跟他同床却跟我同梦，或者发现他的女儿不说“爸爸说”而说“李敖说”，甚至发现他的妈妈、姨母、婶子或表妹，都带着李敖的著作上毛房的时候，他便开始在我的名誉上做手脚了。（2月17日）
004.灵感零捉.txt	21		对极正派和极右派的政党而言，“入党”是一种迷信的宗教仪式，所以入党云云，应该比照“信教”，改为“信党”。
005.论知识人的动向.txt	15		这种持论也难免落“皮相”之讥，因为你的毛病在错认“理想之实现”的程度和“达到目的”的程度，到什么程度才算“实现”、才算“达到”，实在很难说，耶稣死时不是一败涂地么？可是——正如一篇文字所说的——
005.论知识人的动向.txt	19		你能说耶稣的“做法”有问题么？耶稣当年若像老景这样“稳健”，整天“斟酌情势”，刽子手们也不会赌他的外衣了！
005.论知识人的动向.txt	25	LACTZB-017	本着这点可怜的持身观点，我忍不住骂你们两位不脱“乡愿”之气，你们在血气方刚之年就垂垂“稳健”起来了，就带着老成持重的口吻主张“多少融合一些”（老马）和“何必曰‘绝’”（老景）了！你们也居然浇我凉水、扯我后腿了！
007.日记八则.txt	31		三、四郎歌（1966年2月17日）
007.日记八则.txt	47		“无政府主义之说，乃发生于最黑暗之专制国；在欧洲往日之俄国、以国（敖按：指意大利）、西班牙等，其人民多受政府之暴虐无道，故忿而为此过激之论；但今日各国陆续行宪政之制，而此等过激之论，亦渐消灭矣。乃有少年之辈，矜奇立异，奉为神圣，不过一知半解，实无所谓也。对付之法，最好与他辩论明白。指明在今日世界国家之界限，既不可破，则政府为代国家执行法律，以限制恶人而保卫良善，为不可少。故无政府主义实不能行于今日，而使之化为平和，或可为吾党之助，较胜于用他种手段也！”
007.日记八则.txt	49		这是民国六七年间孙中山在上海写给某君的信，这该是一个多么重要的文件！凡是做为孙中山真正信徒的人，都该仔细反省反省你是否体味了这段容忍异己的“总理遗教”？对“实无所谓”“矜奇立异”的“少年之辈”，你是否采取了“与他辩论明白”的好手段？你是否采取了不耐烦不容忍的，“他种手段”？你是否“使之化为平和，或可为吾党之助”？你还是乱扣帽子，逼他激越走险，因而又增加了你们眼中的一个“敌人”的数目？……想想罢！我们本该是朋友的人们！孙中山在看着你！
008.王世杰“蒙混舞弊”的铁证.txt	11		五、王世杰的轿车，原为前院长胡适私人财产（胡适不愿用公家为他设备的轿车）。胡适死后，由中央研究院收购。当时是一辆蓝色新轿车，可是王世杰还不满意，他要奢侈浪费一番。半年后，由中央研究院再花新台币一万五千元，重新喷成黑色。到了五十四年，王世杰再以新台币二十三万购进豪华Buiok一辆，更神气了。
008.王世杰“蒙混舞弊”的铁证.txt	15		七、仁爱路私宅的装修美化还没完呢！王世杰又将中央研究院内胡适纪念馆与考古馆间的草皮挖走，用公家所配的坐车，分批运到仁爱路私宅铺用。
008.王世杰“蒙混舞弊”的铁证.txt	22		十、中央研究院长特支费每月新台币五千元，实报实销。过去朱家骅、胡适任院长时代，都予退回不用。王世杰却将此款全入私囊，有时买东西（如铁柜、如变压器），变为私人财产。
008.王世杰“蒙混舞弊”的铁证.txt	24		十一、中央研究院物理研究所建所舞弊案，其中“款竟别用”等事，已由立法委员乔一凡提出质询。王世杰谎报与清华大学合办云云，已查无此事。现在此案尚未水落石出。
008.王世杰“蒙混舞弊”的铁证.txt	26		十二、暑期所谓学人归国讲学，已变成用国家公帑，安抚或讨好权贵的手段，并且也变成了所谓学人的省亲费和观光费。例如乔一凡在立法院攻击王世杰，王世杰就把乔一凡的女儿乔龙文当做学人请回来，乔一凡也就不再骂他。乔龙文乃一基督教教混子，哪里是什么学人！
008.王世杰“蒙混舞弊”的铁证.txt	28		十三、署期所谓学人归国讲学，竟在旅费上拿回扣百分之三点五！此事经远东旅行社潘光宇写信给中央研究院总干事袁贻瑾揭发，我已握有影印本，现公布于后：
008.王世杰“蒙混舞弊”的铁证.txt	36		十四、暑期所谓学人归国讲学，结余经费竟被当权者朋分！我握有秘密文件一纸，现公布于后：
008.王世杰“蒙混舞弊”的铁证.txt	54		十六、阮维周任总干事时代，改变胡适墓地工程，所剩款项竟拿回自己所住地方添盖了房子！
