id	present	political_hits	duplicate_count	quote_text	source_file	line_start	line_end
LAFYKTW-001	yes		1	时穷节乃见	001.放别人水与放自己水.txt	19	19
LAFYKTW-002	yes		1	一个人的食物是另一个人的毒药。	003.他们的食物是我们的毒药.txt	3	3
LAFYKTW-003	yes		1	放之四海而皆准、俟诸百世而不惑	005.与虎谋皮的先决条件.txt	35	35
LAFYKTW-004	yes		1	薄天子而不为	005.与虎谋皮的先决条件.txt	45	45
LAFYKTW-005	yes		1	成则为王败则为寇	005.与虎谋皮的先决条件.txt	45	45
LAFYKTW-006	yes		1	不敢言而敢怒	005.与虎谋皮的先决条件.txt	53	53
LAFYKTW-007	yes		1	独夫之心，日益骄固	005.与虎谋皮的先决条件.txt	53	53
LAFYKTW-008	yes		1	狭巷短兵相接处，杀人如草不闻声。	005.与虎谋皮的先决条件.txt	57	57
LAFYKTW-009	yes		1	“文”前作剧莫相笑，我死诸君思此狂。	006.从国民党式强奸到党外主流派式强奸.txt	147	149
LAFYKTW-010	yes		1	郭良蕙啊！这件事有两个错误：第一个错误是他们不该开除你；第二个错误是你不该加入。	007.你们可以不怕他.txt	7	7
LAFYKTW-011	yes		1	楚有养狙以为生者，楚人谓之狙公。旦日，必部分众狙于庭，使老狙率以之山中，求草木之实，赋什一以自奉。或不给，则加鞭箠焉。群狙皆畏苦之，弗敢远也。一日，有小狙谓众狙曰：“山之果，公所树与？”曰：“否也，天生也。”曰：“非公不得而取与？”曰：“否也，皆得而取也。”曰：“然则吾何假于彼而为之役乎？”言未既，众狙皆寤。其夕，相与伺狙公之寝，破栅毁柙，取其积，相携而入于林中，不复归。狙公卒馁而死。	007.你们可以不怕他.txt	25	25
LAFYKTW-012	yes		1	盗亦有道	010.所谓“君子协定”.txt	37	37
LAFYKTW-013	yes		1	看似寻常最奇崛，成如容易却艰辛。	013.《开枪·斗牛·蛋》自序.txt	9	11
LAFYKTW-014	yes		1	旁观者清	014.国民党大胜？还是党外大胜？.txt	107	107
LAFYKTW-015	yes		1	尔之爱我也，不如彼！君子之爱人也，以德；细人之爱人也，以姑息。吾何求哉！吾得正而毙焉，斯已矣！	016.“蓬莱岛案”的讨论.txt	145	145
LAFYKTW-016	yes		1	华而睆！大夫之箦与！	016.“蓬莱岛案”的讨论.txt	145	145
LAFYKTW-017	yes		1	然！斯季孙之赐也。我未之能易也。元！起易箦！	016.“蓬莱岛案”的讨论.txt	145	145
LAFYKTW-018	yes		1	止于至善	017.“蓬莱岛案”的再讨论.txt	37	37
LAFYKTW-019	yes		1	欲加之罪，何患无辞	020.由“拿破仑同志”想起.txt	19	19
LAFYKTW-020	yes		1	揭飞碗	023.“揭飞碗”的报酬.txt	29	29
LAFYKTW-021	yes		1	我包了！	023.“揭飞碗”的报酬.txt	29	29
LAFYKTW-022	yes		1	伯仁，以百口累卿！	024.别忘了自己的立场！.txt	11	11
LAFYKTW-023	yes		1	我不杀伯仁，伯仁因我而死	024.别忘了自己的立场！.txt	11	11
LAFYKTW-024	yes		1	吾虽不杀伯仁，伯仁由我而死。幽冥之中，负此良友！	024.别忘了自己的立场！.txt	11	11
