id	file	line_start	line_end	chapter	category	quote_text	source_or_origin	summary	notes
LACMHD-001	002.论所有的宝全压.txt	5	5	论所有的宝全压	经典成句	一言而可以兴邦	《论语》	李敖引《论语》说明言论责任之重大。	
LACMHD-002	002.论所有的宝全压.txt	5	5	论所有的宝全压	经典成句	一言而可以丧邦	《论语》	李敖引《论语》说明言论失当也可能造成长远危害。	
LACMHD-003	002.论所有的宝全压.txt	7	7	论所有的宝全压	立言文句	吾侪少数摇笔弄舌之人，自抒己见，殊不足以冒舆论之名。	梁启超《政治之基础与言论家之指针》	梁启超说明个人意见不应冒充舆论。	
LACMHD-004	002.论所有的宝全压.txt	7	7	论所有的宝全压	立言文句	真足称为舆论者，大都不正当不适应。	梁启超《政治之基础与言论家之指针》	梁启超警惕所谓舆论未必正当适应。	
LACMHD-005	002.论所有的宝全压.txt	7	7	论所有的宝全压	立言文句	吾侪所抒区区之己见，其果为正为适与否，亦良不敢自信。	梁启超《政治之基础与言论家之指针》	梁启超以自省态度谈立言责任。	
LACMHD-006	002.论所有的宝全压.txt	67	67	论所有的宝全压	经典成句	和而不流	孔子相关成句	李敖借孔夫子所谓和而不流形容若即若离之态。	
LACMHD-007	004.傅斯年论豪门资本.txt	21	21	傅斯年论豪门资本	古文名句	为政不于常，道善则得之，不善则失之矣。	《尚书》相关文句	傅斯年引书言说明为政得失系于道善与否。	
LACMHD-008	004.傅斯年论豪门资本.txt	23	23	傅斯年论豪门资本	古文成句	火炎昆岗，玉石俱焚	《尚书》相关成句	傅斯年借古语形容祸乱波及良善。	
LACMHD-009	004.傅斯年论豪门资本.txt	27	27	傅斯年论豪门资本	寿联文句	十年生聚佐中兴	孔祥熙寿联	傅斯年引用寿联片语反衬时人寄望。	
LACMHD-010	004.傅斯年论豪门资本.txt	27	27	傅斯年论豪门资本	古文成句	饥者易为食，渴者易为饮	传统成句	傅斯年用古语解释民众因厌旧而易寄望新人。	
LACMHD-011	004.傅斯年论豪门资本.txt	31	31	傅斯年论豪门资本	古典成语	君子可欺以其方	传统成语	傅斯年以此自省曾按原则信任财政政策。	
LACMHD-012	004.傅斯年论豪门资本.txt	33	33	傅斯年论豪门资本	古文成句	栽者培之，倾者覆之	传统成句	傅斯年以成句说明应扶持可存续的工业。	
LACMHD-013	004.傅斯年论豪门资本.txt	35	35	傅斯年论豪门资本	韩愈文句	大凡物不得其平则鸣	韩愈《送孟东野序》	傅斯年化用韩愈文说明不平则鸣。	
LACMHD-014	004.傅斯年论豪门资本.txt	35	35	傅斯年论豪门资本	古文名句	以直道使人，虽劳不怨	传统古文成句	傅斯年以古语说明清正用人则人虽劳而不怨。	
LACMHD-015	004.傅斯年论豪门资本.txt	75	75	傅斯年论豪门资本	俗话	大鱼吃小鱼，小鱼吃虾米，虾米吃滋泥	民间俗话	傅斯年借俗话比喻资本层层吞噬。	
LACMHD-016	004.傅斯年论豪门资本.txt	99	99	傅斯年论豪门资本	古人语	化家为国	古人语	傅斯年引用古人所谓化家为国。	
LACMHD-017	005.谁删减了《吴铁城回忆录》？.txt	7	7	谁删减了《吴铁城回忆录》？	传统成语	豹死留皮	传统成语	李敖借成语说明吴铁城晚年写回忆录的用意。	
LACMHD-018	005.谁删减了《吴铁城回忆录》？.txt	7	7	谁删减了《吴铁城回忆录》？	传统成语	一字不苟	传统成语	吴铁城后人跋中形容回忆录写作谨严。	
LACMHD-019	005.谁删减了《吴铁城回忆录》？.txt	71	71	谁删减了《吴铁城回忆录》？	史学成语	春秋论断	春秋笔法传统	吴铁城佚文中称选举批评为春秋论断。	
LACMHD-020	006.廖耀湘殉国了吗？.txt	13	13	廖耀湘殉国了吗？	兵法名句	夫未战而庙算胜者，得算多也，未战而庙算不胜者，得算少也，多算胜，少算不胜	《孙子兵法》	杜聿明引《孙子兵法》说明胜败取决于庙算多少。	
LACMHD-021	007.你淮海，我徐蚌.txt	7	7	你淮海，我徐蚌	文天祥名句	孔曰成仁，孟曰取义，惟其义尽，所以仁至；读圣贤书，所学何事，而今而后，庶几无愧。	文天祥《衣带赞》	刘峙回忆中引用文天祥成仁取义之语。	
LACMHD-022	008.将军白发征夫泪.txt	1	1	将军白发征夫泪	宋词名句	将军白发征夫泪	范仲淹《渔家傲·秋思》	李敖以宋词句作篇名。	
LACMHD-023	008.将军白发征夫泪.txt	3	3	将军白发征夫泪	古典成语	雪泥鸿爪	苏轼诗文成句	李敖用成语形容杜聿明零星回忆。	
LACMHD-024	008.将军白发征夫泪.txt	9	9	将军白发征夫泪	经典成句	独善其身	《孟子》相关成句	冯亦鲁记杜聿明不忍危难中独自离去。	
LACMHD-025	009.黄维一直未屈服？.txt	11	11	黄维一直未屈服？	传统成语	妙笔生花	传统成语	李敖用成语评《联合报》记者说法之虚美。	
LACMHD-026	009.黄维一直未屈服？.txt	11	11	黄维一直未屈服？	传统成语	洗面革心	传统成语	李敖用成语形容黄维晚年转变。	
LACMHD-027	010.王仲廉人死书活.txt	21	21	王仲廉人死书活	传统成语	刻骨难忘	传统成语	王仲廉回忆借棺葬父，称至今刻骨难忘。	
