decision	id	source_file	line_range	category	risk_in_quote	quote_text	reason
keep	LAXDX-001	002.好事近.txt	3-17	李敖词	no	哈哈笑声里，\n六十八岁来到，\n看你白头少年，\n一点都不老。\n寿星说话不妨多，\n喝酒可要少，\n不然太太晓得，\n那可不得了！	贺胡适六十八岁生日的小词。
keep	LAXDX-002	002.好事近.txt	27-27	现代文人诗论	no	凡能做打油诗的，才可以做好诗。	胡适评李敖生日词时谈打油诗与好诗。
keep	LAXDX-003	003.师生之间——致姚从吾的信.txt	9-11	古文句	no	绳墨之侧，不拒曲木；\n师儒之席，不拒曲士。	借曲木、曲士说明老师不拒学生。
keep	LAXDX-004	003.师生之间——致姚从吾的信.txt	17-17	英文师道格言	no	A teacher affects eternity; he can never tell where his influence stops.	以教师影响无尽表达谢师之意。
keep	LAXDX-005	005.碧潭归隐答CS.txt	15-15	李敖人生格言	no	the capacity to endure a more or less monotonous life才能真正得到happiness.	把忍受单调生活的能力视为快乐条件。
keep	LAXDX-006	005.碧潭归隐答CS.txt	23-25	陶渊明诗句	no	“本不植高原。\n今日复何悔？”	借陶诗说明不悔自己的生活选择。
keep	LAXDX-007	005.碧潭归隐答CS.txt	27-27	李敖人生格言	no	人生百年耳，心之所善，情之所甘，无为或无不为，皆何伤乎？	以百年人生说明顺从心之所善所甘。
keep	LAXDX-008	006.给胡适的一封信.txt	63-77	李敖改写词	no	很大的问题，\n需要长期办到。\n圣人立言救世，\n只嫌钞票少。\n一生梦想大光明，\n七十不算老。\n全集编年印出，\n那样比较好。	以小词劝胡适编年出版全集。
keep	LAXDX-009	006.给胡适的一封信.txt	85-87	胡适诗句	no	不嫌孤寂不嫌寒，\n也不添盏灯儿做伴？	胡适在刘海粟画上题写的寒梅灯儿句。
keep	LAXDX-010	009.回YS.txt	11-11	胡适治学语	no	现在一班少年人跟着我们向故纸堆去乱钻，这是最可悲叹的现状，我们希望他们及早回头，多学一点自然科学的知识与技术：那条路是活路；这条故纸路是死路。	胡适劝青年从故纸堆转向自然科学知识技术。
keep	LAXDX-011	016.回宗勋.txt	23-23	现代文人语	no	文章忌刻薄	读者来信中引用的文章戒刻薄语。
keep	LAXDX-012	018.斥佞佛参禅.txt	13-19	佛教诗偈	no	讲道容易体道难，\n杂念不除总是闲，\n世事尘劳常罣碍，\n深山静坐也徒然！	李敖抄录《费闲歌》劝友人下山。
keep	LAXDX-013	019.回林枕客论我们来治治医生.txt	13-13	圣经俗语	no	Physician，heal thyself.（医生，你治治自己吧！）	耶稣所引医生治己的俗话。
keep	LAXDX-014	023.给孙陵信论《大风雪》解禁.txt	15-17	现代诗句	no	我亦夷门屠狗者，\n狂愁如海少人知。	李敖记得孙陵所引于右任诗中的两句。
keep	LAXDX-015	027.收“毒品”谢东方望.txt	9-9	现代文人语	no	绅士不抽烟	信中转述歌德反对烟草的说法。
keep	LAXDX-016	029.论好人做事致牛若望副主教.txt	13-13	俗语	no	伸头一刀，缩头也挨一刀	以俗语说明做事退缩未必能避祸。
keep	LAXDX-017	022.给傅乐成的两封信.txt	27-27	李敖感恩格言	no	人们在感到蜡烛的光明的时候，应该感谢那在黑暗里手持蜡烛的人。	用蜡烛比喻推动教育改善者。
keep	LAXDX-018	038.复监察院黄宝实委员.txt	9-9	成语	no	嫉恶如仇	用于称赞黄宝实嫉恶。
keep	LAXDX-019	038.复监察院黄宝实委员.txt	11-11	古典成语	no	干父之蛊	李敖请黄宝实看《中国文学史》序中所用典语。
keep	LAXDX-020	039.搜罗侦探小说等寄陈绍鹏.txt	27-27	李敖写作格言	no	写作之计划，不可不“全套”也！	以全套计划说明写作生涯安排。
keep	LAXDX-021	046.答小朋友宏智.txt	11-19	宋诗	no	蜀地名花擅古今，\n一枝气可压千林。\n讥弹更到无香处，\n常恨人言太刻深！\n〔《海棠》〕	李敖抄陆游四句小诗答谢慰问。
keep	LAXDX-022	058.谢赠酒寄周弃子.txt	7-7	独酌无相亲	no	五加皮尚未打开，缘以“独酌无相亲”，不忍孤负杜康也！前些日子一女中二女中的一些小毛丫头也合送我清酒一瓶，今犹尘封，亦以不愿独饮“闷头酒”故也！	李白《月下独酌》
keep	LAXDX-023	058.谢赠酒寄周弃子.txt	13-27	现代诗	no	世论悠悠但见猜，\n腐心六凿待谁开；\n君能厚我异凡辈，\n时复逢人称此才。\n碁局渐枯空打劫，\n诗篇难好况多灾，\n秋来日下登临盛，\n恨不相携数百哀。	李敖重抄周弃子旧作并以卓如自况。
keep	LAXDX-024	058.谢赠酒寄周弃子.txt	29-29	旧诗句	no	国人欲知公归处，暮雨潇潇白下门	由周弃子诗中白下一典联想到的旧诗。
