action	reason	id	source_file	line_start	line_end	present	political_hits	quote_text
add	校对补入非政治诗文格言条目	LAJJGYJ-011	006.蒋经国的另一个爸爸.txt	19	19	yes		为配王氏女合葬之，且为之立嗣
add	校对补入非政治诗文格言条目	LAJJGYJ-017	006.蒋经国的另一个爸爸.txt	37	37	yes		大宗无子，不可以绝
add	校对补入非政治诗文格言条目	LAJJGYJ-019	006.蒋经国的另一个爸爸.txt	37	37	yes		小宗无后，祖不绝；大宗无后，祖绝矣！
add	校对补入非政治诗文格言条目	LAJJGYJ-040	015.蒋专员的“五有”和“十多”（曹云霞）.txt	25	25	yes		一筹莫展
add	校对补入非政治诗文格言条目	LAJJGYJ-039	015.蒋专员的“五有”和“十多”（曹云霞）.txt	25	25	yes		顺水推舟
add	校对补入非政治诗文格言条目	LAJJGYJ-044	018.吴国桢口中的蒋氏父子（江南）.txt	21	21	yes		情词恳切，应予照准。
add	校对补入非政治诗文格言条目	LAJJGYJ-054	018.吴国桢口中的蒋氏父子（江南）.txt	431	431	yes		一语中的
add	校对补入非政治诗文格言条目	LAJJGYJ-058	019.蒋氏父子家庭生活（江南）.txt	185	185	yes		冷落异常，触景伤怀
add	校对补入非政治诗文格言条目	LAJJGYJ-059	020.顾正秋、蒋经国、任显群的“三角习题”（先锋时代）.txt	15	15	yes		不羁之才
add	校对补入非政治诗文格言条目	LAJJGYJ-063	020.顾正秋、蒋经国、任显群的“三角习题”（先锋时代）.txt	59	59	yes		叹为观止
