score	file	line	text	context
3	《闽变研究与文星讼案》目录.txt	34	伟大的列宁和斯大林先生	三、他笔下的“伟大的列宁和斯大林先生”
3	《闽变研究与文星讼案》目录.txt	36	所表现之风度是如此和易而合理	五、赞扬斯大林“所表现之风度是如此和易而合理”
8	《闽变研究与文星讼案》目录.txt	37	中国共产党，与苏联实无实际关系	六、宣传“中国共产党，与苏联实无实际关系”
3	《闽变研究与文星讼案》目录.txt	40	联合战线	九、又鼓吹与共党讲“联合战线”了！
3	《闽变研究与文星讼案》目录.txt	47	应以妨害信用罪论处	四、关于“应以妨害信用罪论处”部分
5	《闽变研究与文星讼案》目录.txt	54	中共无罪，俄帝其罪	十一、关于“中共无罪，俄帝其罪”部分
3	《闽变研究与文星讼案》目录.txt	55	东亚和平的两大保障	十二、关于“东亚和平的两大保障”部分
3	《闽变研究与文星讼案》目录.txt	59	又讲联合战线	十六、关于“又讲联合战线”部分
3	《闽变研究与文星讼案》目录.txt	61	在英国与共党有过接触	十八、关于“在英国与共党有过接触”部分
4	001.胡秋原的真面目（李敖）.txt	23	将有关之事说清楚	胡秋原一方面为扩大私怨重返议坛，一方面摇动笔杆大做文章，他在九月十九号的《世界评论》上写了一篇所谓《维护辩论原则学界尊严》，要用他的笔“将有关之事说清楚”。我细读之下，发现胡秋原不但将有关之事没说清楚，并且使读者越发糊涂起来。
3	001.胡秋原的真面目（李敖）.txt	29	联合战线	胡秋原最可笑的是暴露了他过去与共产党讲“联合战线”的行径，却又曲解这一段重要的史实，他想一手遮尽天下耳目，却没想到这种手法根本骗不倒人，这不能不说是他的流年不利了！
4	001.胡秋原的真面目（李敖）.txt	33	开始编《唯物史观艺术论》④，日至深夜	胡秋原在青年时代是一个标准的马克思主义者。据他说，马克思主义曾跟他有“十二年之蜜月”①，他曾“想以马克思主义解释西洋文学思想变迁”②，曾“企图根据马克思主义解释文学”③，也曾“开始编《唯物史观艺术论》④，日至深夜”⑤，并“由马克思主义的观点，研究救国的方案。”⑥
4	001.胡秋原的真面目（李敖）.txt	33	由马克思主义的观点，研究救国的方案。	胡秋原在青年时代是一个标准的马克思主义者。据他说，马克思主义曾跟他有“十二年之蜜月”①，他曾“想以马克思主义解释西洋文学思想变迁”②，曾“企图根据马克思主义解释文学”③，也曾“开始编《唯物史观艺术论》④，日至深夜”⑤，并“由马克思主义的观点，研究救国的方案。”⑥
3	001.胡秋原的真面目（李敖）.txt	33	想以马克思主义解释西洋文学思想变迁	胡秋原在青年时代是一个标准的马克思主义者。据他说，马克思主义曾跟他有“十二年之蜜月”①，他曾“想以马克思主义解释西洋文学思想变迁”②，曾“企图根据马克思主义解释文学”③，也曾“开始编《唯物史观艺术论》④，日至深夜”⑤，并“由马克思主义的观点，研究救国的方案。”⑥
3	001.胡秋原的真面目（李敖）.txt	33	企图根据马克思主义解释文学	胡秋原在青年时代是一个标准的马克思主义者。据他说，马克思主义曾跟他有“十二年之蜜月”①，他曾“想以马克思主义解释西洋文学思想变迁”②，曾“企图根据马克思主义解释文学”③，也曾“开始编《唯物史观艺术论》④，日至深夜”⑤，并“由马克思主义的观点，研究救国的方案。”⑥
3	001.胡秋原的真面目（李敖）.txt	35	当时日本在马克思主义高潮中	民国十八年他正在日本早稻田大学政治经济学部，因为“当时日本在马克思主义高潮中”，所以他“十分着迷”⑦。回国以后，他跟一些左派文人合流，成为陈铭枢卵翼下“神州国光社”的健将。当时陈铭枢掏腰包，让这些左派文人开书店、办杂志，——最有名的是《读书杂志》。其中重要的左派文人有王礼锡、胡秋原、梅龚彬、周一志、彭芳草、刘叔牟等人。王礼锡是头子，胡秋原有时也代理总编辑。但...
7	001.胡秋原的真面目（李敖）.txt	37	每个真正马克思主义者，应当注意马克思主义的赝品。	当时在上海的租界里，蛰居着不少所谓“亭子间英雄”。他们是一群不得志的急进分子，大多是左倾分子的流派，其中有托洛斯基派、有社会民主主义者，……五花八门，整天挤在一起，骂来骂去。他们之间的最大争执无非是说别人是冒牌的马克斯主义者，只有他们自己圈里的人才是道地的原装货。例如在当时左派的刊物《读书杂志》二卷一期⑨中，有一篇胡秋原的《钱杏邨理论之清算与民族文学理论之批...
