id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	duplicate_text	political_hits	notes
LAXAND-001	笑敖年代	001.20060618笑敖年代.txt	13	13	一闪一闪亮晶晶，满天都是小星星	儿歌句	传统儿歌《小星星》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-002	笑敖年代	002.20060723笑敖年代.txt	205	205	虚与委蛇	成语	《庄子》成语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-003	笑敖年代	002.20060723笑敖年代.txt	213	213	松伯不凋于岁寒	题字/训诂例句	蒋经国题字，源文作“松伯”	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-004	笑敖年代	002.20060723笑敖年代.txt	213	213	伤人乎，不问马	论语文句	《论语·乡党》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-005	笑敖年代	002.20060723笑敖年代.txt	213	213	防风氏后至	国语文句	《国语·鲁语》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-006	笑敖年代	002.20060723笑敖年代.txt	213	213	松柏后凋于岁寒	论语名句	《论语·子罕》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-007	笑敖年代	002.20060723笑敖年代.txt	213	213	伤人乎，后问马	论语训诂改读	《论语·乡党》李敖改读	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-008	笑敖年代	002.20060723笑敖年代.txt	213	213	仁民爱物	古典成语	《孟子》语意	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-009	笑敖年代	003.20060730笑敖年代.txt	97	97	当家方知柴米贵	传统俗语	中国俗语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-010	笑敖年代	004.20060806笑敖年代.txt	117	117	读《论语》以前就这样子，读过《论语》以后还是这样，就等于说你没有受到影响。	宋儒读书格言	朱熹语意	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-011	笑敖年代	004.20060806笑敖年代.txt	157	157	不爱那么多，\n只爱一点点；\n别人的爱情像海深，\n我的爱情浅。\n不爱那么多，\n只爱一点点；\n别人的爱情像天长，\n我的爱情短。\n不爱那么多，\n只爱一点点；\n别人眉来又眼去，\n我只偷看你一眼。	李敖诗/歌词	李敖《只爱一点点》	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
LAXAND-012	笑敖年代	004.20060806笑敖年代.txt	165	165	乌龟看绿豆，王八看绿豆	传统俗语	中国俗语	yes			首轮保守收入：本书选战、政论和新闻口语密集，仅取句子本体可独立成立的诗文、古文名句、成语俗谚、歌词、儿歌和非政治读书法格言。
