id	decision	quote_text	category	source_or_origin	source_file	line_start	line_end	summary	notes
LAMJYJ-001	keep	丈夫亦爱怜其少子	传统文句	中文传统文句	《民进党研究》自序.txt	7	7	李敖以传统文句写长者对后辈仍有爱怜之情。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-002	keep	贤者识其大者，不贤者识其小者	古话格言	中文古话	《民进党研究》自序.txt	9	9	李敖引用古话，说明贤与不贤在识大识小上的差别。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-003	keep	我燃烧才有用。	外国文人格言	英国文豪卡莱尔藏书票题辞	002.党外人士的一个毛病.txt	3	3	李敖引用卡莱尔题辞，写自我燃烧才产生光和热。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-004	keep	如果你受不了热，就滚出厨房。	外国谚语	美国谚语，文中归于杜鲁门	002.党外人士的一个毛病.txt	13	13	李敖引用厨房怕热的俗谚，说明从事一行须能承受压力。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-005	keep	乡愿，德之贼也。	古典格言	孔子语，见《论语》相关章句	003.党外与浑蛋.txt	81	81	李敖引用孔子语，说明乡愿会败坏德性与是非。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-006	keep	不能假装对颜色不偏不倚	外国格言	丘吉尔语	003.党外与浑蛋.txt	81	81	李敖引用丘吉尔谈颜色的句子，写面对混淆时不可假装中立。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-007	keep	唯器与名，不可以假人。	古典文句	《左传》所引孔子语	005.谁窃盗了党外的“名器”？.txt	5	5	李敖引用《左传》古语，说明名分与器物不可随便授人。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-008	keep	渴不饮盗泉水。	古话格言	中文古话	008.蚱蜢必读.txt	5	5	李敖引用古话，说明人即使困渴也要守原则。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-009	keep	羊祜岂鸩人者！	历史典故文句	羊祜、陆抗相关典故	008.蚱蜢必读.txt	5	5	李敖引用晋人典故，写光明磊落者不以毒害人。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-010	keep	一片冰心在玉壶	古典诗句	王昌龄《芙蓉楼送辛渐》诗句	010.“政治艺术”大走调.txt	41	41	李敖引用王昌龄诗句，作为清白心迹的典故。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-011	keep	Bos locutus est.	拉丁谚语	拉丁谚语，文中解释为 The ox has spoken.	011.答复费希平先生的答复.txt	7	7	李敖引用拉丁谚语，用来反转对牛弹琴式的嘲讽。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-012	keep	嗜好毕同星命异，大郎尤贵二郎清	古典诗句	龚定盦诗句	016.如此公政，何以服众？.txt	25	25	李敖化用龚定盦诗句，对同嗜而异命作反讽。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-013	keep	西南君长以什数，夜郎最大。	古典史文	《史记·西南夷列传》	030.台湾的“夜郎症”.txt	5	5	李敖引用《史记》说明夜郎旧国的地位。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-014	keep	滇王与汉使者言曰：‘汉孰与我大？’及夜郎侯亦然。以道不通故，各自以为一州主，不知汉广大。	古典史文	《史记·西南夷列传》	030.台湾的“夜郎症”.txt	5	5	李敖引用《史记》夜郎自大的出处，说明闭塞会造成井蛙之见。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-015	keep	现在的世界太不成话，儿子打老子。	现代文学文句	鲁迅《阿Q正传》	033.民进党与“黑名单”.txt	9	9	李敖引用阿Q心理活动，说明精神胜利式自我安慰。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-016	keep	而现在是他的儿子了，便自己也渐渐的得意起来。	现代文学文句	鲁迅《阿Q正传》	033.民进党与“黑名单”.txt	9	9	李敖引用阿Q自我转念的文字，呈现精神胜利法。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-017	keep	我总算被儿子打了，现在的世界真不像样。	现代文学文句	鲁迅《阿Q正传》	033.民进党与“黑名单”.txt	9	9	李敖引用阿Q再度自我安慰的句子，保存鲁迅讽刺文字。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-018	keep	不好说！不好说！活活的羞杀人！那玉帝不会用人，他见老孙这般模样，封我做个什么‘弼马温’，原来是与他养马，未入流品之类。我初到时不知，只在御马监中顽耍。及今日问我同僚，始知是这等卑贱。老孙心中大脑，推倒席面，不受官衔，因此走下来了。	古典小说文句	《西游记》孙悟空弼马温典故	034.台湾人的官迷.txt	5	5	李敖引用孙悟空不受低微官衔的段落，反衬官衔迷恋。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-019	keep	为善若升，为恶若崩。	古话格言	中文古话	035.民进党的堕落.txt	19	19	李敖引用古话，说明学好难而学坏快。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-020	keep	他不愿偷取胜利，他要公开又公平的打，使对方输了也心服	外国历史轶语	阿贝拉会战中亚历山大相关轶语	056.民进党的政治道德问题.txt	11	11	李敖转述亚历山大不愿夜袭取胜的轶语，说明公开公平的胜利观。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-021	keep	……故跖之徒，问于跖曰：‘盗亦有道乎？’跖曰：‘何适而无有道邪？夫妄意室中之藏，圣也；人先，勇也；出后，义也；知可否，知也；分均，仁也。五者不备而能成大盗者，天下未之有也。’	古典文句	《庄子·胠箧篇》	058.民进党的行规问题.txt	11	11	李敖引用《庄子》盗亦有道故事，说明连盗贼也有其规矩。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-022	keep	名无固宜，约之以命。约定俗成谓之宜，异于约则谓之不宜。	古典文句	《荀子·正名篇》	059.民进党的规则问题.txt	5	5	李敖引用《荀子》解释约定俗成与名称规范。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
LAMJYJ-023	keep	亚伦为圣所，和会幕，并坛，献完了赎罪祭，就要把那只活着的公山羊奉上。两手按在羊头上，承认以色列人诸般的罪孽，过犯，就是他们一切的罪愆，把这罪都归在羊的头上，借着所派之人的手，送到旷野去。要把这羊放在旷野，这羊要担当他们一切的罪孽，带到无人之地。	宗教典籍文句	《旧约·利未记》第十六章	060.从替罪羊到替罪狗.txt	3	3	李敖引用《利未记》解释替罪羊典故的宗教来源。	首轮保守收入：《民进党研究》政治语境极密，现代政党攻防、民主/革命/选举论断、政治人物政见语录和口号不收；只取句子本体可独立成立的古典诗文、文学典故、宗教典籍、成语俗谚和少量非政治外国格言。
