id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LALYKTW-001	keep-initial	历史题字	归骨于田横之岛	傅斯年题字	《冷眼看台湾》自序.txt	3	3	李敖引傅斯年题字，借田横典故写归宿与孤高。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-002	keep-initial	歇后语	小和尚念经——有口无心	中文歇后语	《冷眼看台湾》自序.txt	5	5	李敖摘用歇后语，写表面周旋而内心不系。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-003	keep-initial	古典诗句	此心安处即为乡	苏轼相关诗句	《冷眼看台湾》自序.txt	7	7	李敖引古人诗境，说明安顿身心高于拘泥故乡。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-004	keep-initial	古典诗句	江湖寥落尔安归	中文诗句	《冷眼看台湾》自序.txt	7	7	李敖引诗句，写大陆与台湾之外的寥落心境。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-005	keep-initial	古典诗句	埋骨何须桑梓地，人间何处不青山	中文诗句	《冷眼看台湾》自序.txt	7	7	李敖引古诗句，写不必拘泥桑梓的旷达。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-006	keep-initial	古典诗句	却恐他乡胜故乡	古人诗句	《冷眼看台湾》自序.txt	7	7	李敖引古人诗境，说明乡愁观念也可被提升。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-007	keep-initial	古典格言	贤者避世，其次避地	古人语	001.最坏的外省人，最浑的台湾人.txt	9	9	李敖引古人语，说明乱世中避世与避地的层次。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-008	keep-initial	古典诗句	山平水远苍茫外，地辟天开指顾中	中文诗句	005.怀念郭国基先生.txt	95	95	李敖引诗性成句，写眼界辽阔与气象开张。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-009	keep-initial	古典格言	天行有常，不为尧存，不为桀亡。	荀子相关成句	005.怀念郭国基先生.txt	95	95	李敖引古话，强调常道不因贤暴而改。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-010	keep-initial	古典诗句	不畏浮云遮望眼，自缘身在最高层。	王安石诗句	006.向高牧师高牧师娘致敬.txt	3	3	李敖引诗句，说明从高层面看待道德实践。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-011	keep-initial	古文成句	藏匿不报，罪及三族	楚汉季布相关典故	006.向高牧师高牧师娘致敬.txt	9	9	李敖引古代法禁成句，铺陈侠义收容的传统背景。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-012	keep-initial	古典诗句	好将轻侠藏亡命	中文诗句	006.向高牧师高牧师娘致敬.txt	9	9	李敖引诗句，写侠义收容亡命之人。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-013	keep-initial	古文成句	竟为收容	岑晊相关典故	006.向高牧师高牧师娘致敬.txt	9	9	李敖摘用古文成句，写冒险收容亡命者的义气。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-014	keep-initial	成语典故	望门投止	张俭典故	006.向高牧师高牧师娘致敬.txt	9	9	李敖摘用张俭典故，写走投无路而求庇护。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-015	keep-initial	外国诗句	You shall see the difference now that we are back again!（如今我们回来了，你们看便不同了！）	荷马诗句，经纽曼摘抄	006.向高牧师高牧师娘致敬.txt	21	21	李敖转引纽曼摘抄的荷马诗句，写精神归来后的不同。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-016	keep-initial	俗语格言	内行看门道，外行看热闹	中文俗话	008.用他们规则，出他们洋相.txt	77	77	李敖引俗话，区分看表象与看关键。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-017	keep-initial	佛教轶事语录	老僧为百万生灵，何惜如来一戒！	破山和尚相关故事	010.真和尚与真净土.txt	9	9	李敖引破山和尚语，写为救生民而破戒的大悲精神。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-018	keep-initial	仿古格言	我欲和尚，斯和尚至矣	李敖化用《论语》句式	010.真和尚与真净土.txt	11	11	李敖仿古成句，强调精神资格高于形式承认。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-019	keep-initial	谚语	一个和尚挑水吃，两个和尚抬水吃，三个和尚没水吃	中国谚语	010.真和尚与真净土.txt	15	15	李敖引谚语，写人数增加反致推诿。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-020	keep-initial	古典诗句	委蜕大难求净土，伤心最是近高楼。	陈宝琛诗	010.真和尚与真净土.txt	51	51	李敖引陈宝琛诗，反写牢狱与净土、高楼的意味。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-021	keep-initial	古籍引文	汉、魏皆禁汉人不得出家	《高僧传》佛图澄传中王度奏语	011.施性忠才是真和尚.txt	25	25	李敖引古籍奏语，反证民间已有汉人出家事实。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
LALYKTW-022	keep-initial	古籍引文	沙门摄摩腾、竺法兰东还	《隋书》经籍志	011.施性忠才是真和尚.txt	25	25	李敖引史书文字，说明佛教初传中国。	首轮从严筛选：《冷眼看台湾》为高政治密度书，只保留可脱离具体政党、选举、诉讼攻防而独立检索的诗文、古文、宗教寓言、文学例句和普通格言；现代政治口号、党派攻防、人名攻防、法律文书和意识形态语录不收。
