file	line	context
《李敖议坛哀思录》目录.txt	13	011.王闿运的身影
《李敖议坛哀思录》目录.txt	48	046.周公何辜啊！
001《李敖议坛哀思录》小引一.txt	3	58年来，我坐看打着国民党旗号的一批坏人，在祸国殃民以后，退居海隅，窃中国一岛以自娱。随后，又坐看这批坏人，孵出打着民进党旗号的一批混人，在有样学样以后，退居边陲，恃中国一岛以自毁。我生也雄奇，志不在一岛，只缘阴错阳差，不幸与彼辈同土，自不免于周旋、纠缠与作弄；爱国情殷，亦不免于救溺、热讽与冷嘲。大体说来，对雄奇之人，未免浪费。如今我同孔子之年，72岁，圣之时者，也来日无多，深觉余生更当别有怀抱，往日情缘冤孽，终期于尽。因以最少时间，随意草成野史自传，聊刺群小，以彰我大。大圣到此一游，不亦快哉；大圣竟到此一游，不亦哀哉。哀思之录，亦今之“春秋”也，知我者，其唯孔子乎？
002.《李敖议坛哀思录》小引二.txt	3	汗牛也、充栋也、上网也、下载也，古今自传多矣，但最好的，出自两位老太太：一位是赵元任太太杨步伟，一位是胡适太太江冬秀。老太太式自传的最大好处，在她随意唠叨。惟其随意，故少弄假；惟其唠叨，故无遗珠。李敖者，行文固大手笔也，以大手笔效老妪书，发为自传，其可读性，自不待言。或有以随意唠叨苛评此书者，是不知大手笔者也。大手笔一改戏路，不大手笔而老妪比，此中必有真意在，虽未忘言，亦何必辩；不露真意，此中必有蹊跷在，直在其中，亦何必辩。故行云流水，成此奇书。能解老妪，方足以读自传，知我者，其唯老太太乎？
003.一网成擒，笑话伺候.txt	3	林肯总统开国务会议时，总是先说个笑话，使大家放轻松。李敖写书也如此。以什么“哀思录”为书名的书，总不能先哭哭啼啼。谈到笑话，一定涉及人，虽然立法院里我因交友不慎而所交非人者多，但也有足资醒世解颐者，除分别写出散见此书者外，先就一网成擒者一打，抽样如下：
003.一网成擒，笑话伺候.txt	19	八、林益世。陈文茜跟我说，她“做立委时，坐在最后一排，常常收到林益世送吃的东西”。如今我也坐在最后一排，林益世没送吃的来，反倒吃了我，他送了喜帖。我乃秀才人情纸半张，题诗如下：
004.以玩笑出之.txt	5	我在这小岛上，用股票术语，陷入一种盘，一种“落单”的盘，我“干青云而直上”，高得没有跟得上的良师畏友了，也没有什么同志、什么门徒，陷入严重的“落单”。落了单，标准的反应是行吟泽畔、是怀才不遇、是横眉冷对、是独喝闷酒与胃溃疡。可是我却全没这些。相反的，我一片欢喜，一点也不负面或消极。我的最大本领是自得其乐，并且常常乐不可支。草山（阳明山）上有一幢老旧大厦，五楼边间有我的书房，我常常“落单”其中，几天几夜足不出户，庄子所谓“独与天地精神往来”，正此之谓，但比庄子那时代的，更知天高地厚。我的书房不大，二三十坪，但高3.6米，有夹层其中，书桌4张，此上彼下，舞厅小姐“转枱子”，我也“转枱子”，台子一转，我隔世矣。我的大门可真考究，是英国唐宁街（Downing Street）式的，全无文丐街（Grub Street）的穷酸。那道门反锁起来，浑然有响，气派非凡。书房中典雅琳琅，挂有沈尹默写的韩昌黎诗，中有一句是“宫门一锁不复启，虽有九陌无尘埃”，扣除悲情，正是写照。那里，才真正是我的世界。从那大门出来的我，不是完整的我，只是玩世的我，任何救世、愤世、警世、醒...
004.以玩笑出之.txt	7	正因为我老资格如此，所以在立法院，我的基调是“倚老卖老”的，老子眼里哪有别人，别人只是一笑耳。八大山人动辄“涉事”，我一“涉事”，就不免“以玩笑出之”，为什么玩笑？因为：一、不值得；二、要长命百岁。殷海光死于49岁，蒋介石死于89岁，你反对你的敌人，你的敌人比你多活了40岁，反对个屁呀，李敖才没那么笨呢！此书伊始，先申立场如上。
005.为何起了怪书名？.txt	3	10年前，1997年，我出版了《李敖回忆录》，写我62岁以前的自己；一年半后，又出版了《李敖快意恩仇录》，意犹未尽，再来点睛。如今“十年辛苦不寻常”，我72岁了，已是孔夫子逝者如斯之年，72岁以前，可谓“同孔子之年”；72岁以后，可谓“超孔子之年”，二人行，必有寿星，如今我活过孔子，已属必然，瞻之在前，忽焉在后，吾知勉夫，乃就十年来的自己，先就议坛部分写出，续成回忆。
005.为何起了怪书名？.txt	7	或问用“哀思录”做自己书名，不忌讳吗？答案是毫不忌讳。我不信怪力乱神、不信吉日凶日、不信星座星象、不信姓名笔画、不信塔罗塔不罗……当年我鬼月买房，人或有言，我说鬼都怕我。我怕什么？我的思想多么新，相对的，别人看来很新很年轻，其实思想极旧极腐朽，往往21世纪的人，却是11世纪、1世纪乃至公元前1世纪的头脑，妖妄迷信，不可胜数，我漂亮的前妻就是其中之一。她的大脑跟她的脸蛋全不相配，可叹哉。
006.我把自己变小了！.txt	13	在参选海报里，我印上一张牛顿（Isaac Newton）的像，而附之以妙文曰：
007.绝无仅有的选举方式.txt	3	虽然参选立委，说起来也不无理由，但是逍遥在外的我，还得靠有人催促，才起歹念。催促的人是陈境圳，我在东吴大学教书时的旁听生，经他提议，我就玩起来了。本无所谓竞选，也无所谓团队，我拿出10万元交给陈文茜的漂亮秘书Vicky（李姿仪），就这样启动了。在王祥基的办公室，由祥基指挥主持。他是我的哥们儿，是我在凤凰卫视《李敖有话说》的制作人，一起折腾的还有阙聪华、张书铭（我的老友成阳印刷厂张坤山之子兼小老板），还有“清客”赖岳忠——我的“御用”摄影师。台北市警察局怕出事，依法派来小常（常修治）、小蔡（蔡志煌）两位保护我。小常是2000年我选所谓总统时的旧识，见我没有交通工具，开来一辆奔驰轿车，车牌“5566”，就是美国球王迈克尔·乔丹（Michael Jordan）到台湾使用的那辆，我不愿资本家对我这么好，就谢绝了。交通工具，我都坐出租车。偶尔坐王祥基的，亦奔驰也。开票那天，陈文茜约我上飞碟电台节目，路上祥基表演飞车特技，一边开车，一边电话不停，听开票情况。我在旁边看书，好像不关我的事，Vicky他们后来告密，说王祥基有时听此起彼落的电话，双手不握方向盘呢。...
008.从参选到上台.txt	15	2005年3月20日《联合报》上，有李文仪谈话，说“李敖是我的偶像”云云。我的感想是：Jennifer（李文仪）是迷人的女人，可惜总是交错了男朋友。
011.王闿运的身影.txt	1	王闿运的身影
011.王闿运的身影.txt	3	去立法院，有一个有趣的身影时而冒出，就是清末民初的那位大儒王闿运。他是前清第一遗老，他在日记里评定清朝是儿戏亡国，改朝换代之际他已经八十开外了，但可不是普通的八十开外，他的来头大得很。他年轻时曾劝曾国藩反朝廷，又写《湘军志》惹得大家要杀他；他文采冠天下，国学大师章太炎眼高于顶，却称赞王闿运文章得其雅。袁世凯当中华民国第一任总统，请他做国史馆馆长，他笑傲就之。榜门一联曰：
011.王闿运的身影.txt	9	他在1916年（中华民国五年）死去，死后，他的学生杨度挽联说他以“圣人”之才，“逍遥通世法”，我到伪政府的立法院，王闿运的身影每每笑傲而出。此公倚老卖老，目无余子，哪有什么中华民国、什么民国总统那类狗东西，但他既然时来错遇，也就“逍遥通世法”以作弄之。基调是“逍遥”，是“通”达。这一基调，在我身上大神附体起来，构成我在伪政府立法院的基调，平上去入、起承转合、得心应手、从吾所好，或好戏连台、或歹戏拖棚，全都随我高兴，玩世之情，不可掩也。大观“李委员”动态，必须闿运运之，方得圣解，否则只是浅人识见，不足以知圣人也。
012.吾从其讽.txt	27	以上十点先知的心理准备，我早知之甚详。唯一要加说明的是孔子口中的女子，在男女平等时代，应从宽解释，孔子是离过婚的人，他大概痛恨他前妻，他前妻也值得一恨，故有是言。孔子圣之时者也，他口中的女人，一定是前妻式的女人，施明德必有同感也。
013.我拒绝向孙中山宣誓.txt	5	宣誓应于就职任所或上级机关制定之地点公开行之，由宣誓人肃立向国旗及国父遗像，举右手向上伸直，手掌放开，五指并拢，掌心向前，宣读誓词。
013.我拒绝向孙中山宣誓.txt	9	1904年3月9日（清光绪三十年）有一项条件——“檀香山出生证”，是孙中山签字并宣誓过的，其中说：“本人孙逸仙，先经宣誓后，兹作证称：凭我所知和所信，我乃于1870年11月24日在柯湖岛衣华（Ewa）镇之位问奴（Waimanu）地方诞生。我是一名医生，现在茂宜（Maui）岛的姑剌（Kula）地方行医，我家居住在姑剌。我父亲孙达成于1874年前往中国，约八年后在那里逝世。本人作此誓词，旨在证明我的身份；并提供我出生于夏威夷的进一步证据，所附照片为本人最近肖像。”
