id	decision	reason
LABBZ-026	removed	Garbo personal remark; too modern/person-specific for poem-proverb-song scope.
LABBZ-044	removed	Fragmentary overlap; the stronger Confucius quote "乘桴浮于海" is retained.
LABBZ-046	removed	Generic modern phrasing; not a cited poem, proverb, aphorism, or lyric.
LABBZ-071	removed	Duplicate long prose paragraph from Darkness at Noon; the core aphoristic line is retained.
LABBZ-119	removed	Holmes legal/Sherman Act quotation; outside the tightened literary aphorism/song scope.
LABBZ-120	removed	Holmes legal/Sherman Act quotation; outside the tightened literary aphorism/song scope.
LABBZ-131	removed	Henry II/Becket historical-political utterance; outside this round's scope.
LABBZ-132	removed	Henry II/Becket historical-political utterance; outside this round's scope.
LABBZ-133	removed	Becket last-words historical quotation; outside this round's scope.
LABBZ-134	removed	Becket last-words historical quotation; outside this round's scope.
LABBZ-135	added	Disraeli aphorism Chinese mistranslation is explicitly quoted before Li Ao corrects it with the English original.
