file	line	text	reason	context
《李敖新刊》总序.txt	7	四大寇	modern-political-news-context	后来国民党如愿以偿了，岂特印书的本领，简直什么本领都有了。不过本领施出之日，也就是毛病发作之时。毛病发作下，它开始干涉别人印书。孙中山的老友、“四大寇”之一尢烈，就是不得印书的一位，害得他七十老翁，只能自行油印自己的反动文字，难以流传；孙中山的另一老友、在饿饭时救助他的曹亚伯，也是不得印书的一位，他出版了《武昌革命真史》，却被查禁，每本书都给切去一角，无法流传。国民党对他们革命前辈都如此无情，李敖又算老几呀？
《李敖新刊》总序.txt	9	亡命	modern-political-news-context	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁为表予心？”他死后，绝没想到“表”他“心”的，竟是他的头号政敌！武则天的度量，国民党没有也！所以局面是“无人信高洁，他来禁我书！”——国民党唐突中国文化，武则天不若也！
《李敖新刊》总序.txt	9	伏诛	modern-political-news-context	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁为表予心？”他死后，绝没想到“表”他“心”的，竟是他的头号政敌！武则天的度量，国民党没有也！所以局面是“无人信高洁，他来禁我书！”——国民党唐突中国文化，武则天不若也！
《李敖新刊》总序.txt	9	盛传于世。	modern-political-news-context	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁为表予心？”他死后，绝没想到“表”他“心”的，竟是他的头号政敌！武则天的度量，国民党没有也！所以局面是“无人信高洁，他来禁我书！”——国民党唐突中国文化，武则天不若也！
《李敖新刊》总序.txt	9	无人信高洁，谁为表予心？	modern-political-news-context	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁为表予心？”他死后，绝没想到“表”他“心”的，竟是他的头号政敌！武则天的度量，国民党没有也！所以局面是“无人信高洁，他来禁我书！”——国民党唐突中国文化，武则天不若也！
《李敖新刊》总序.txt	9	无人信高洁，他来禁我书！	modern-political-news-context	我从在台湾出书以来，在我名下被禁的书，高达九十六种之多，国民党钳制言论自由，有如此破世界纪录的成绩，真令中外侧目。或说这种对异己的不容忍，是国民党师承中国文化使然。其实中国文化也不尽如此。骆宾王生前是骂武则天的，但在《新唐书》说他“亡命”后、《旧唐书》说他“伏诛”后，武则天却找人寻访他的作品，找到了十卷，“盛传于世。”骆宾王《在狱咏蝉》诗说：“无人信高洁，谁为表予心？”他死后，绝没想到“表”他“心”的，竟是他的头号政敌！武则天的度量，国民党没有也！所以局面是“无人信高洁，他来禁我书！”——国民党唐突中国文化，武则天不若也！
《李敖新刊》总序.txt	11	门前清，不求人	modern-political-news-context	正因为国民党在禁书上如此紧迫盯人，所以历来为我印书者，多不得善终，一一阵亡以去。久而久之，深觉愧对诸友。最后决定师法国民党总理之叮咛，干脆有书自己印，于是成立了李敖出版社，发愤“门前清，不求人”起来。
001.明星政治与政治明星.txt	3	革命妇女	modern-political-news-context	6月17日外电说，美国老牌明星简·方达（Jane Fonda）在电视访问中，表示对当年越战时期，她妨害美国军人的行为道歉。她说她特别要道歉的就是1972年的河内之行，当时她在敌国首都攻击美国在越战中的行为，她后悔说了许多引人争议的话，包括自称是“革命妇女”。她说她当时发表那些声明，是因为“我不愿意别人把我看成是小明星”。
001.明星政治与政治明星.txt	3	我不愿意别人把我看成是小明星	modern-political-news-context	6月17日外电说，美国老牌明星简·方达（Jane Fonda）在电视访问中，表示对当年越战时期，她妨害美国军人的行为道歉。她说她特别要道歉的就是1972年的河内之行，当时她在敌国首都攻击美国在越战中的行为，她后悔说了许多引人争议的话，包括自称是“革命妇女”。她说她当时发表那些声明，是因为“我不愿意别人把我看成是小明星”。
001.明星政治与政治明星.txt	11	盲人骑瞎马，夜半临深池	modern-political-news-context	简·方达的例子，使我有一个结论，就是：在专业化的时代里，政治其实也是一种专业、一种专家才能玩的复杂职业。没有专业训练的人，贸然发表政见，摇旗呐喊也好、游行示威也罢，其实都可能造成“盲人骑瞎马，夜半临深池”的危险。简·方达演电影是她的专业，她演电影是专家，如同尼克松搞政治是专家，越战该不该打，是尼克松深思熟虑的专业，不是一知半解的简·方达的专业。尼克松若不好好在华盛顿做美国总统，却跑到好莱坞代简·方达演戏或指导简·方达演戏，简·方达一定笑他外行；反过来说，简·方达不好好演戏，却跑来指导越战，尼克松会不窃笑乎？
001.明星政治与政治明星.txt	13	我不愿意别人把我看成是小明星	modern-political-news-context	简·方达的捞过了界，乱搞政治，基本真相，是做政治秀耳，“我不愿意别人把我看成是小明星”，一语道破明星政治的心态，归根究底，这是新女性的噱头而已，本不值识者一笑。不过，在台湾自诩为专业搞政治的人，不论所隶何党，他们的专业程度，也至为可疑，他们普遍的水平，都是很差很差的。赵少康公然把18世纪的罗兰夫人（Madame Roland）错成20世纪的罗曼罗兰（Romain RoIland）夫人来说话；黄余绣鸾公然把雅尔塔会议和波茨坦会议当成有中华民国代表来发言；张俊雄公然把两万零七百平方公里的以色列说成比台湾小好几倍来炫耀！……我们整天见他们做政治明星的秀，却不见他们做政治家的事，这些无知妄作，是很可虑的蔓延。
002.台湾的妓女传统.txt	9	私娼百分之八十以上是养女，而这些养女非但是被迫卖身，更可怜的大都是些未成年的少女，小的只有十二、三岁。……	modern-political-news-context	台湾在经过日本人半世纪的统治后，人口方面，两性比例虽逐渐减低，而接近男女约等；但是，养女恶俗的流风，却有得消受。国民党接手后，1952年有养女十三万，但到六年后的1958年，就滚到十九万！九年后，1967年5月8日的第一党报《中央日报》上，公然承认“私娼百分之八十以上是养女，而这些养女非但是被迫卖身，更可怜的大都是些未成年的少女，小的只有十二、三岁。……”可见台湾投回祖国怀抱后二十年，养女犹在嫖客怀抱中！国民党师承了日本人的娼妓政策，从民间妓院到军中乐园，无一不以日本为师且青出于蓝之，以致台湾今天淫业之盛，不但外销日本，且为日本观光客的温床。常言说事事“日本第一”，但在这方面，日本人差得远哪！
002.台湾的妓女传统.txt	9	日本第一	modern-political-news-context	台湾在经过日本人半世纪的统治后，人口方面，两性比例虽逐渐减低，而接近男女约等；但是，养女恶俗的流风，却有得消受。国民党接手后，1952年有养女十三万，但到六年后的1958年，就滚到十九万！九年后，1967年5月8日的第一党报《中央日报》上，公然承认“私娼百分之八十以上是养女，而这些养女非但是被迫卖身，更可怜的大都是些未成年的少女，小的只有十二、三岁。……”可见台湾投回祖国怀抱后二十年，养女犹在嫖客怀抱中！国民党师承了日本人的娼妓政策，从民间妓院到军中乐园，无一不以日本为师且青出于蓝之，以致台湾今天淫业之盛，不但外销日本，且为日本观光客的温床。常言说事事“日本第一”，但在这方面，日本人差得远哪！
003.房事里的乾坤.txt	3	你看我能走得了吗？	modern-political-news-context	报载行政院副秘书长吴祺芳，有转任台湾证券交易所董事长之说，记者跑去问他，他反问：“你看我能走得了吗？”为什么有此一反问，因为吴祺芳自孙运璿内阁起就干副秘书长，一干七年，由于他对行政业务的熟悉，也得到俞国华内阁的倚仗，他要“继续帮忙”的可能性丝毫未减，副秘书长可还有得干哩！
003.房事里的乾坤.txt	3	继续帮忙	modern-political-news-context	报载行政院副秘书长吴祺芳，有转任台湾证券交易所董事长之说，记者跑去问他，他反问：“你看我能走得了吗？”为什么有此一反问，因为吴祺芳自孙运璿内阁起就干副秘书长，一干七年，由于他对行政业务的熟悉，也得到俞国华内阁的倚仗，他要“继续帮忙”的可能性丝毫未减，副秘书长可还有得干哩！
003.房事里的乾坤.txt	9	以国内年来房地产不景气，另觅新押租人不易为由，一再拖延，致无法提前解约退还押金。由于一时无法提前收回二百五十万元押金，乃派本院吴副秘书长祺芳住入并看管。	modern-political-news-context	为了便于查出这种文章，也为了考验一下党外立委的斤两，我在一九八四年托江鹏坚代向行政院质询。行政院以七十三总一四七五七号函覆表示，叶公超死后，业主方面“以国内年来房地产不景气，另觅新押租人不易为由，一再拖延，致无法提前解约退还押金。由于一时无法提前收回二百五十万元押金，乃派本院吴副秘书长祺芳住入并看管。”云云。对行政院这种答复，两个月后，江鹏坚提出三点质疑：第一是究竟是为谁租用房屋的问题——“行政院不仅不终止契约，竟还主动续约二年，本席无法了解行政院再续约，究竟是为谁租用房屋。”第二是业主不还钱为什么不依法实行抵押权予以拍卖房屋的问题——“行政院既在该不动产上设定抵押权，……不返还押租金，行政院可以依法实行抵押权，收回押金应无困难。”第三是为什么派“副秘书长”“住入看管”的问题——“该屋系管理上轨道之大厦，是否有必要派人看管？纵使有此必要，是否有派‘副秘书长’级的大员去‘住入看管’之理由？”
