score	file	line	text	same_line_export_ids	context
8	001.“缇萦救父”表示了什么？.txt	131	不要了，给你了	LAWC2-048,LAWC2-049	现代法理中有所谓“私权”中的“人身权”，包括“人格权”和“身份权”，人格权有专属性，例如生命权、身体权、自由权、名誉权、姓名权、肖像权等，都和权利人密不可分，不能让与、不能继承、不能送、不能“不要了，给你了”。项羽虽然把脑袋送给老朋友马童而说“吾为若德！”（我做个人情给你吧！）阮小五、阮小七虽然为智多星吴用赴汤蹈火而说“这腔热血只要卖与识货的！”但是，这些都...
8	009.过早的答案.txt	37	不靠赵孟贵者，赵孟不能贱之	LAWC2-125	事实上，李敖本人可能并不勇敢，可是人们常常把他逼成勇士；李敖本人可能并不出名，可是人们常常把他造成名士；李敖本人可能并不壮烈，可是人们常常把他“杀”成烈士。这个“过错”，该由谁来负，谁该明白。习惯了“赵孟之所贵，赵孟亦能贱之”训练的人，他们不太会懂得“不靠赵孟贵者，赵孟不能贱之”的道理。“赵孟”若要“贱”他，所得到损失的，不该单是他自己，“赵孟”本人，恐怕也...
8	009.过早的答案.txt	171	飞蛾投火，或是另一个方式不得善终		有一次遇到一位朋友，他告诉我《文星》杂志提到《谈古论今》，当时我有点“受宠若惊”，查看之后原来是“今之祢衡”在痛骂他的老师们——沈刚伯、李济、钱思亮等人，引用了我的两句话，后来他又在《关于高等教育怪现状的讨论》一文中说：“乔龄的《人才之叹》一文，也值得我们一看……”接着把那篇全文转载，而且编入他的《教育与脸谱》这一本册子内，我原先只知道本市某日报海外版转载我...
8	009.过早的答案.txt	193	士林一致悼念他、尊重他		《胡适评传》是何人所作，对胡氏“轻薄”、“鄙笑”、“讽刺”到如此程度，我因未读过，无从知道，这不是我所要讨论的。但对中央日报主笔所主张的“盖棺论定”，则绝对不敢苟同。因为在一个人死的时候，有一次盛大的追悼会，即认为“士林一致悼念他、尊重他”，以少数人视为全体，未免太武断。若以这种方法判断人的贤愚，则在台湾死去的人，开过追悼会，有数千人，甚至万人出席，就认其是...
8	011.论没有“流血的自由”.txt	25	伟大、和蔼、聪明、可爱的斯大林		斯大林最“精采”的杀人表演，是一九三六年开始的三幕“大公审”活剧。在活剧演出时，被告的态度，使全世界的心理学家和法律专家都感到大惑不解。原来名列被告的被整肃的老革命党们，他们在法庭上，竟纷纷“直认罪状不讳”，他们不但不为自己做无辜的辩护，反倒帮忙检察官找最恶毒、最丢脸的形容词朝自己脸上贴；同时他们的律师，也不替他们做无辜的辩护，也一反律师之道，纷纷帮助检察官...
8	012.牛肉面老板的七封信.txt	55	费解，黑内幕请告一二		你“抗议”我“告别文坛”，并说“费解，黑内幕请告一二”。我要套一句老头子的口气，笑你“真是年轻人”！因为你只要稍微“老”一点，你就会“会心”的了解一切，你就不难想象我今日的处境和遭遇，而恍悟李敖为什么要“告别”，要“无‘言’见江东父老”了！
8	012.牛肉面老板的七封信.txt	113	向无看别人书信、日记的恶习，且唯恐阁下的情书、日记不堪入目		限时信收到，你说不全部预约我的书，为了你“向无看别人书信、日记的恶习，且唯恐阁下的情书、日记不堪入目”云云，这十足表示你的观念不够“新”，如果你对我的“判决”不服气，买一套看看便知道。前五本的预约时间已过，你如买一套十本，我还是算你两百元吧！
8	013.刻薄的批评与正直的建议.txt	13	文人竟不知自爱，不能宽大为怀，多具容忍的气度		还有，关于你对我和徐复观打官司的“批评”（“正直的建议”），我也要说你仍然是中了传统中“戒讼观念”的毒。你该知道一个进步的社会，必须有赖于法治、有赖于大家对法律的信任。中国过去太偏重人治和礼治，所以搅得乱七八糟，毫无客观可循的是非与体统，也毫不实际。你信中所谓的“文人竟不知自爱，不能宽大为怀，多具容忍的气度”三点，在一个有现代法治观念的人面前，都是“碰不到头...
7	009.过早的答案.txt	171	乔龄的《人才之叹》一文，也值得我们一看……		有一次遇到一位朋友，他告诉我《文星》杂志提到《谈古论今》，当时我有点“受宠若惊”，查看之后原来是“今之祢衡”在痛骂他的老师们——沈刚伯、李济、钱思亮等人，引用了我的两句话，后来他又在《关于高等教育怪现状的讨论》一文中说：“乔龄的《人才之叹》一文，也值得我们一看……”接着把那篇全文转载，而且编入他的《教育与脸谱》这一本册子内，我原先只知道本市某日报海外版转载我...
7	011.论没有“流血的自由”.txt	29	不管我怎样被判决，判决总是公正的。不要向后看，只向前进，和人民一起追随斯大林！		我想对我的孩子说几句话，——我没有别的法子跟他们通话。我有两个孩子：一个是空军驾驶员，一个是少年先锋队队员，也许我现在的一只脚已经踩在坟里了，但我要对他们说：“不管我怎样被判决，判决总是公正的。不要向后看，只向前进，和人民一起追随斯大林！”
