file	line	quoteText	markers	political	previous	context	next
《第一流人的境界》题辞.txt	1	第一流人的境界				《第一流人的境界》题辞	
《第一流人的境界》题辞.txt	5		poem	political-context		李敖影音E书QQ群（578505007）：不自由的自由（wjm_tcy）与djwuwuwu联合制作！	
001.狮子的道路.txt	3	伊索寓言	proverb			《伊索寓言》里有一篇《狮子、周彼得和象》。说狮子常常向天神周彼得（Jupiter）诉苦，说我长得大、力气大，斗争起来也劲道十足；又有尖牙利爪，又为百兽之王，可是竟怕公鸡叫，多没面子啊！周彼得说,我已经把我自己有的一切特点都给了你，而你的胆量，除了怕公鸡叫这一点外，其他也都没问题。你还埋怨什么啊！可是狮子想不通，总是为它的怕公鸡叫而痛不欲生。这时它碰到一头大象，看到大象老是扇耳朵，很奇怪。它问大象为什么要这样，大象说，你可看到那蚊子吗？它们钻进我耳朵，我就死定了！狮子恍然大悟，说好啦！这么大的一头野兽，居然怕这么小的一只蚊子，我还诉什么苦呢？我的处境至少比大象好得多啊，比较之下，公鸡总比蚊子大啊...	
001.狮子的道路.txt	3	狮子、周彼得和象	proverb			《伊索寓言》里有一篇《狮子、周彼得和象》。说狮子常常向天神周彼得（Jupiter）诉苦，说我长得大、力气大，斗争起来也劲道十足；又有尖牙利爪，又为百兽之王，可是竟怕公鸡叫，多没面子啊！周彼得说,我已经把我自己有的一切特点都给了你，而你的胆量，除了怕公鸡叫这一点外，其他也都没问题。你还埋怨什么啊！可是狮子想不通，总是为它的怕公鸡叫而痛不欲生。这时它碰到一头大象，看到大象老是扇耳朵，很奇怪。它问大象为什么要这样，大象说，你可看到那蚊子吗？它们钻进我耳朵，我就死定了！狮子恍然大悟，说好啦！这么大的一头野兽，居然怕这么小的一只蚊子，我还诉什么苦呢？我的处境至少比大象好得多啊，比较之下，公鸡总比蚊子大啊...	
001.狮子的道路.txt	5	强迫观念				人生的很多例子，其实很象这狮子，自己的条件都优秀，可是老是为一些美中不足自寻烦恼，弄得惶惶不可终日。在这种情况发生的时候，叫他别怕公鸡叫是没用的，因为他会有“强迫观念”，愈不怕公鸡叫就公鸡愈叫。这时候，他应该面对大象，从“痛苦比较学”中发明一种理论，把自己骗倒。他要听听大象诉说委屈，看到大象的愁眉苦脸，就会发现自己的愁云惨雾，其实是何足道哉的，——关怀别人，忘了自己，听大象诉委屈而忘了自己的委屈，这才是狮子的道路。	
001.狮子的道路.txt	5	痛苦比较学				人生的很多例子，其实很象这狮子，自己的条件都优秀，可是老是为一些美中不足自寻烦恼，弄得惶惶不可终日。在这种情况发生的时候，叫他别怕公鸡叫是没用的，因为他会有“强迫观念”，愈不怕公鸡叫就公鸡愈叫。这时候，他应该面对大象，从“痛苦比较学”中发明一种理论，把自己骗倒。他要听听大象诉说委屈，看到大象的愁眉苦脸，就会发现自己的愁云惨雾，其实是何足道哉的，——关怀别人，忘了自己，听大象诉委屈而忘了自己的委屈，这才是狮子的道路。	
001.狮子的道路.txt	9		poem	political-context		李敖影音E书QQ群（578505007）：不自由的自由（wjm_tcy）与djwuwuwu联合制作！	
002.第一流人的境界.txt	7		foreign			林肯说他没工夫答辩，生命用来扯这些，他将无暇做重要的事。	
002.第一流人的境界.txt	9	卒然临之而不惊，无故加之而不怒				第一流的人会忍辱、会含冤、会受谤、会遭非常之变，不动于色，会“卒然临之而不惊，无故加之而不怒”，因为他志趣高迈，“所挟持者甚大，而其志甚远也。”	
002.第一流人的境界.txt	9	所挟持者甚大，而其志甚远也。				第一流的人会忍辱、会含冤、会受谤、会遭非常之变，不动于色，会“卒然临之而不惊，无故加之而不怒”，因为他志趣高迈，“所挟持者甚大，而其志甚远也。”	
002.第一流人的境界.txt	11	无关的事项				第一流的人认定 Life is too short to be little .(人生短得不够扯鸡毛蒜皮），他必须忍住不为小事所缠。他有很快分辨出什么是“无关的事项”（irrelevancy)的能力，然后立刻砍掉它。	
002.第一流人的境界.txt	17		poem	political-context		李敖影音E书QQ群（578505007）：不自由的自由（wjm_tcy）与djwuwuwu联合制作！	
