id	decision	category	quote_text	source_or_origin	source_file	line_start	line_end	summary	notes
LAOS228-001	keep-proofread	中文成语	以德报怨	传统成语	001.俞国华找不到二二八的有关文件吗？.txt	9	9	李敖引录报载说法中的以德报怨，保存成语本体；同段政治判断不收。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-002	keep-proofread	中文成语	以人废言	传统成语	001.俞国华找不到二二八的有关文件吗？.txt	29	29	李敖使用以人废言，说明不因说话者身份而废弃其言，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-003	keep-proofread	中文成语	瞒天过海	传统成语	001.俞国华找不到二二八的有关文件吗？.txt	33	33	李敖使用瞒天过海，写隐瞒材料、掩盖事实的做法，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-004	keep-proofread	中文成语	欲盖弥彰	传统成语	001.俞国华找不到二二八的有关文件吗？.txt	35	35	李敖使用欲盖弥彰，写越遮掩越显露的效果，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-005	keep-proofread	中文成语	口口声声	传统成语	002.二二八的立碑问题.txt	7	7	李敖使用口口声声，形容反复声称某种立场，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-006	keep-proofread	中文成语	特立独行	传统成语	003.《二二八研究》前言.txt	7	7	李敖以特立独行自指历史家的独立姿态，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-007	keep-proofread	中文成语	天方夜谭	传统成语	003.《二二八研究》前言.txt	7	7	李敖使用天方夜谭，形容说法荒诞不可信，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-008	keep-proofread	中文俗语	头疼医头、脚疼医脚	中文俗语	003.《二二八研究》前言.txt	7	7	李敖使用头疼医头、脚疼医脚，形容只作局部补救而不治根本。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-009	keep-proofread	中文成语	顺水人情	传统成语	003.《二二八研究》前言.txt	9	9	李敖使用顺水人情，形容顺势接受送上门的便利，保存成语本体。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。
LAOS228-010	add-proofread	中文成语	金针度人	传统成语	003.《二二八研究》前言.txt	15	15	李敖用金针度人写把方法与要领传给读者。	首轮保守收入：《另一面的二二八》为二二八事件史料、道歉/立碑/陈仪与外省人被害文献密集文本；现代政论、党派/族群/国族/政府机关/报告书、人物攻防、政治口号不收；只取句子本体可独立检索的古典成句、俗谚、民间诗文、外文格言和少量非政治诗文。 校对轮补入。
