decision	id	book	chapter	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
keep	LASSA-001	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	47	47	有音乐的地方就是圣地	音乐格言	托斯卡尼尼语	写陶艺与艺术敬业精神时引用指挥家托斯卡尼尼的话。	
keep	LASSA-002	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	139	139	中道崩殂	古文成句	诸葛亮《出师表》成句	回忆早年同行女友离散时使用的古典成句。	
keep	LASSA-003	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	139	139	劳燕分飞	传统成语	传统离别成语	同一段写红颜知己离散时使用的成语。	
keep	LASSA-004	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	141	141	虽千万人，吾往矣	孟子名句	《孟子·公孙丑上》	以阿登纳处境比况孤身抗压时引用孟子大丈夫气概。	
keep	LASSA-005	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	145	145	从不曾想到我是给关起来了，高墙实在等于浪费材料……他们根本不知道如何对付我……他们总以为我唯一目的是想站到墙外面。每在我沉思的时候，看守那种紧张样子，真教人好笑。他们哪里知道才一转身，我就毫无阻挡的跟着出去了……。	外国文学引文	梭罗《湖滨散记》相关语	谈身处限制而精神自由时转引梭罗坐牢语。	
keep	LASSA-006	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	151	151	我认识人愈多，我愈喜欢狗。	外国名言	巴斯噶语，文中又称戴高乐也欣赏	写隐居山上、厌倦人际时引用的外国名言。	
keep	LASSA-007	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	151	151	形如槁木、心如死灰	庄子成句	《庄子》相关成句	说明隐居不是消极灰心时反面引用古典成句。	
keep	LASSA-008	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	153	153	得志与民由之，不得志独行其道	孟子名句	《孟子·滕文公下》	借戴高乐山居精神引出大丈夫独行其道。	
keep	LASSA-009	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	157	157	深夜黠鼠忽登床	古诗句	王阳明狱中诗句	解释阳明山之名时引用王阳明受难诗句。	
keep	LASSA-010	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	159	159	真金不怕火炼	传统俗语	传统俗语	谈入狱会考验亲友时引用火炼真金俗语。	
keep	LASSA-011	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	161	161	百尺竿头站脚，千层浪里翻身	禅宗成句	禅门语	写乱世自处时引用的禅门气魄成句。	
keep	LASSA-012	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	161	161	我本乘兴而来，兴尽而返，何必见戴？	世说名句	王徽之访戴逵故事	写闭门谢客时借王徽之雪夜访戴的名句。	
keep	LASSA-013	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	715	715	He that is not handsome at 20，nor storng at 30，nor rich at 40，nor wise at 50，will never be handsome，strong，rich or wise．二十而不美、三十而不壮、四十而不富、五十而不智	英文谚语	西方人生阶段谚语	叶葇谈三十五岁男人气派时引用英文谚语并译为中文。	
keep	LASSA-014	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	817	817	死生有命，富贵在天	论语成句	《论语·颜渊》	讨论宿命观时引用孔门成句。	
keep	LASSA-015	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	817	817	不立乎岩墙之下	孟子名句	《孟子·尽心上》	讨论造命与避险时引用孟子语。	
keep	LASSA-016	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	817	817	舜何人也？予何人也？有为者亦若是。	孟子名句	《孟子·滕文公上》	讨论命可改造时引用孟子励志语。	
keep	LASSA-017	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	821	821	牵一发动全身	传统成语	传统成语	解释缘分并非宿命时使用的成语。	
keep	LASSA-018	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	821	821	一着错满盘输	传统俗语	棋局俗语	说明人生条件组合与成败时引用俗语。	
keep	LASSA-019	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	821	821	遇合有缘	传统成语	传统缘分成语	解释际遇巧合时保留缘分成语。	
keep	LASSA-020	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	821	821	因缘际会	佛教成语	佛教因缘语	解释际遇巧合时使用的佛教成语。	
keep	LASSA-021	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	857	857	他爱英国，但不爱英国人	外国诗人语	拜伦语意	讨论对同胞的感情时转述拜伦名言。	
keep	LASSA-022	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	861	861	博施济众	论语成句	《论语·雍也》语意	讨论广度之爱与怜悯时引用儒家成句。	
keep	LASSA-023	上山·上山·爱	第一部——三十年前	002.第一部——三十年前.txt	921	921	三十辐，共一毂，当其无，有车之用；埏埴以为器，当其无，有器之用；凿户牖以为室，当其无，有室之用。	老子引文	《老子》第十一章	从陶器与空无谈哲学时引用老子原文。	
