source_file	line	risky	text
001.19850412《民主天地周刊》专访李敖.txt	1	risk	19850412《民主天地周刊》专访李敖
001.19850412《民主天地周刊》专访李敖.txt	13	low	■这不太适合，我太老了，五十岁了不适合谈这个。你想想看，以琼瑶为例，我觉得她的年龄也已经不适合写爱情小说了。琼瑶在家里跟她先生平鑫涛讲话，她喊他“涛涛”，她跟他说“涛涛，我很忧郁”。你们不觉得她的年龄不适合讲这种话了吗？
001.19850412《民主天地周刊》专访李敖.txt	19	low	谈到中正纪念堂，于斌的生日在四月，但是“民族救星”死了以后，于斌就说他四月不想过生日了，可是从此以后我的四月生日我就特别想过了。
001.19850412《民主天地周刊》专访李敖.txt	21	risk	好了，琼瑶、三毛、陈香梅这三个女人谈过了。至于自己的女人，我都写在我的自传、年表里面。所有的女人里面，除了胡茵梦以外都很愉快。这次我与萧孟能的官司出庭（和陈启礼开庭同一天），胡茵梦还跟我聊天，她说“李敖，你看你老了”，我说“真的，我跟你一样老了”。林青霞比胡茵梦小一岁，胡茵梦三十三岁。林青霞的问题也很麻烦，她有婚姻恐惧症，不敢结婚，她们那一行的不管怎么样，最后都会离婚，所以大家对婚姻很难以适应。因为她们靠掌声活，她们之中，有些人后来嫁作商人妇，当少奶奶，算是最好的归宿。但是有的人不能成功，最后还是闹自杀、闹情变，丁皓、林黛都自杀了。男明星也是这样。洪波卧轨自杀，最惨的是白云。白云红的时候，全中国照相馆的橱窗都有他的照片，来到台湾后慢慢潦倒，后来在日月潭自杀。胡茵梦写了一篇“问白云”，就是纪念他，写得蛮好的。干明星、干政治这一行，都会碰到“转型”难以适应的困难。这次苏大炮（苏秋镇）出场康宁祥的回国茶会就很痛苦，他不想出场，但不出场又没有讲话的机会。
001.19850412《民主天地周刊》专访李敖.txt	23	risk	老康这次的茶会，就像湖北人讲的“牵骆驼”。湖北人卖草药，牵了一匹骆驼。湖北人没见过骆驼，看到卖草药的叫它坐就坐，叫它站就站，叫它跪就跪，很惊讶，对这人能把这么大的动物驯服感到很佩服，连带对他卖的药也信了。这次老康“牵骆驼”，牵的是戴国煇。他自己一个人开茶会，太冒险了，没有人来怎么办？就与戴国煇演讲会，合并举行，戴国煇变成老康的骆驼。老康这次并不能证明他没放水，只是在拖人下水。事实上，当初还是他带头和周慕文接洽，说他放水，一点也没冤枉他。还有一次，中山堂聚餐，大家宣布要求废除临时条款，后来孙运璇在立法院说要充实临时条款，老康立刻附议，不要废除要充实了；这是他自己一个人放水。连续这样，两年后翻这个案，没什么好辩的。
001.19850412《民主天地周刊》专访李敖.txt	41	low	这是我和你们最后一次会谈，以后看不到我了，因为外面市场反应，他们不要买《千秋》《万岁》了，读者说李敖文章的精华都在你们这边。我说过，我做总监，就好像俞大维做国防部长，目的是要给副部长接班。郑南榕正式挂名是迟早的问题。我认为他现在出场很好。
001.19850412《民主天地周刊》专访李敖.txt	43	risk	你们的杂志本身有危机。你们刊江南的蒋经国传，不是你们的功劳，只能说决定用是你们的功劳。新闻炒得那么厉害，是江南的命以及传播媒体的功劳。如果你们认为是你们的功劳就错了。可是那件事以后，容易使你们自我膨胀。还有你们的内部人事老是不太稳定，好像苏联的政治局。所以，我一直鼓励郑南榕办第二本杂志，证明他可以培养出写作班底来。我不适合办杂志。我的脾气比郑南榕还坏，我是独裁者个性，只好对自己独裁。
001.19850412《民主天地周刊》专访李敖.txt	49	risk	这次费希平骂我，说我没有民主气度，只是因为李敖恨国民党而已。可是费希平有吗？他也没有，他也有独裁者的气质。就以“四条二”事件来说，老康拒绝记者采访，因为记者采访对老康不利，所以老康主张清场。可是费希平认为记者进来采访对他有利，他就不要清场。公政会易名登记的讨论，开大会时他就要清场，不让记者进场，因为记者进来对他不利。根本没有民主气度，都是胡扯。
001.19850412《民主天地周刊》专访李敖.txt	53	risk	■从记者的进出就可以看出他们的性格。华盛顿是很有名的独裁者，可是他却为美国的民主奠下基础。这就要看你手法的高下，能不能约束自己。华盛顿的伟大，就是他能做皇帝而不做，“薄天子而不为”，为美国奠下民主政治的基石。
001.19850412《民主天地周刊》专访李敖.txt	55	low	□“万岁”还要不要办？
