action	target	decision	reason
add	002.《古今图书集成》研究.txt:247	铜铸字，工费而不便久藏。	补收沈括《梦溪笔谈》印刷史格言，非政治语录。
add	002.《古今图书集成》研究.txt:263	恐书先印，序是后加	补收蒋复璁版本考据语，属于书志判断。
add	002.《古今图书集成》研究.txt:481	当兹四海困穷之时，能以千元购书者，究有几人？	补收陆费逵出版感叹，语境是书价与重印，不作政治语录。
add	002.《古今图书集成》研究.txt:513	摭拾群书、以类相从	补收类书方法语。
add	002.《古今图书集成》研究.txt:513	兔园册子	补收古人讥称类书的术语。
add	003.介绍世界最大的百科全书.txt:47	只会死编书，而不会活用书	补收李敖治学方法格言，强调索引活用。
add	004.中国历史演义总说.txt:177	南朝四百八十寺	补收杜牧诗句化用。
add	004.中国历史演义总说.txt:189	休休有容	补收古典成语，形容度量。
add	004.中国历史演义总说.txt:189	汪汪叔度	补收古典成语，形容度量。
delete	002.《古今图书集成》研究.txt:425	有霄壌之别矣！	片段过短，离开比较上下文后检索价值偏弱。
delete	004.中国历史演义总说.txt:161	力防其所疑，而祸发于所不疑	偏李敖政治史论断，校对轮按“不要政治语录”从严删除。
keep	004.中国历史演义总说.txt:289	梁启超《自题〈新中国未来记〉》第一首	保留为完整诗文引用，并在 notes 中标明虽有政治小说背景但非政治语录。
keep	004.中国历史演义总说.txt:291	梁启超《自题〈新中国未来记〉》第二首	保留为完整诗文引用，并在 notes 中标明虽有政治小说背景但非政治语录。
