id	source_file	line_start	line_end	quote_text	source_line
LASHZJ-0001	001.致管区警察头子书.txt	19	19	知过能改	〔跋〕1982年11月28日，管区转告说信今天收到，纯属误会，李先生多心了。请李先生把身份证留在大厦柜台即可，他们即来补为校正无误云云。这一答复，证明了这个岛上的公务员并非不会改正他们的错误，当他们知过能改的时候，我们应该夸奖他们。
LASHZJ-0002	002.讨老婆的一个新害处.txt	119	119	成事不足，败事有余	《殷海光全集》势必无法出版，经□□这样一闹，风风雨雨有谁敢负这个责任？这是殷门弟子的最大耻辱，海光师尸骨未寒，而弟子内讧以坏事。这也是弟的无能，无能调和你们与李敖之间的冲突，无能控制□□这位“成事不足，败事有余”的浑人。
LASHZJ-0003	002.讨老婆的一个新害处.txt	123	123	旁观者清	我说□□是“一混球”，实是保留之言；我只有以他的笨来原谅他的小心眼。“旁观者清”，韦先生说得好：“□□只是争宠争名而已。”你们尽管去争“掌门人”之位，我这个“小师弟”不敢窥此高位，只是我要求做到殷门的清白，以免坏我师一世英名。
LASHZJ-0004	002.讨老婆的一个新害处.txt	143	143	伟大的人只有一个主调……如何重建自己，开拓思想的园地，其他的都只是陪衬而已	你说：“我很坦白的告诉你，我之所以邀李敖出来主持其事，实是大部分在台的殷门弟子之请，如胡基峻、叶新云、林正弘、王中一、黄三、王小明，甚至于韦政通，及张灝的太太廖融融。”你这话恐怕不符事实吧！你邀李敖出来，是受韦政通之请吗？是受叶新云之请吗？是受林正弘之请吗？如果我一一的去对质，恐怕你要吃不消。老弟，我实在是很爱护你的，那天我之激动骂你，完全出于真意，希望你全力地用心做学问，殷师生前讲过一句话：“伟大的人只有一个主调……如何重建自己，开拓思想的园地，其他的都只是陪衬而已”，希望我们牢记这话，共同勉励。
LASHZJ-0005	002.讨老婆的一个新害处.txt	249	249	思想家千万不能讨老婆。	虚一兄，看了上面这十一封信，我想你对殷海光生前死后的一些现象必然了然于心。设想殷海光一死，殷太太若能照我的“乾纲独断”方式纪念殷海光，殷海光又何至于被窄化、神化、小化得一至于此？看了这些文件，我想你必然同意我所说的：“思想家千万不能讨老婆。”不但不能讨老婆，并且一定得把一些可能把他春蚕化的学生们严加防范，免得死后吐血又吐丝。殷海光的生前死后，使我的确见识了不少人间嘴脸与假面，我一生痛恨愚昧和伪善，并对愚昧和伪善六亲不认的加以攻击，殷海光的事也是其一。如今心血来潮，拉杂提出给老兄看，不知老兄怪我意气太盛否？
LASHZJ-0006	004.假戏真做与假戏假做.txt	9	9	这种生活比想象中糟得多，糟得很多。	她说：“这种生活比想象中糟得多，糟得很多。”这位47岁的奥斯卡影后在接受美国国家广播公司电视网的访问时说：“没有自由，整天待在一间房里，你无法跟任何人说话，简直是太可怕了，这是不可能的！”索菲亚罗兰说：“我绝不会再回牢里，不、不，即使我杀了人，我也绝不回去。”
LASHZJ-0007	004.假戏真做与假戏假做.txt	9	9	我绝不会再回牢里，不、不，即使我杀了人，我也绝不回去。	她说：“这种生活比想象中糟得多，糟得很多。”这位47岁的奥斯卡影后在接受美国国家广播公司电视网的访问时说：“没有自由，整天待在一间房里，你无法跟任何人说话，简直是太可怕了，这是不可能的！”索菲亚罗兰说：“我绝不会再回牢里，不、不，即使我杀了人，我也绝不回去。”
LASHZJ-0008	004.假戏真做与假戏假做.txt	15	15	那儿就像是个地狱！	“而且夜里睡不着时，你会听到里面其他女孩的叫喊声，你知道，她们在割腕自杀。那儿就像是个地狱！”
LASHZJ-0009	004.假戏真做与假戏假做.txt	19	19	人生如戏	在我们这种历劫万重的人看来，索菲亚罗兰坐这种牢，从刑期上看，是不足道的；从待遇上看，是上上待遇的。但她们这种娇生惯养的明星人物，却完全不能适应。明星人物只是“人生如戏”，她们只能做戏、演假戏，假戏真做，演得神龙活现；但是，一旦她们面对了真实的人生，她们本人，却变得一片脆弱与虚假，她们平日被社会的奉承与捧场，已经使她们退化了面对真实人生的能力，而变得骄纵、变得不知人间甘苦、变得不知人我之间的基本道德关系与对等关系。结果呢，她们最后变得已不是一个真的人，只是一个会演真的人的画皮而已。
LASHZJ-0010	004.假戏真做与假戏假做.txt	19	19	假戏真做	在我们这种历劫万重的人看来，索菲亚罗兰坐这种牢，从刑期上看，是不足道的；从待遇上看，是上上待遇的。但她们这种娇生惯养的明星人物，却完全不能适应。明星人物只是“人生如戏”，她们只能做戏、演假戏，假戏真做，演得神龙活现；但是，一旦她们面对了真实的人生，她们本人，却变得一片脆弱与虚假，她们平日被社会的奉承与捧场，已经使她们退化了面对真实人生的能力，而变得骄纵、变得不知人间甘苦、变得不知人我之间的基本道德关系与对等关系。结果呢，她们最后变得已不是一个真的人，只是一个会演真的人的画皮而已。
