id	present	political_hits	duplicate_count	quote_text	source_file	line_start	line_end
LAGWSRNK-001	yes		1	你早做声，我不至此。	005.陶百川的无耻.txt	11	11
LAGWSRNK-002	yes		1	只知二五不知一十	005.陶百川的无耻.txt	11	11
LAGWSRNK-003	yes		1	浩劫终身千古恨，忍将往事忆双亲，牺牲九死诚哀怨，割舍三胎饰太平。流水无情施辣手，落花不幸扫余青。万行泪洒伤心处，重见成郞薄倖人	006.成舍我诱奸怨妇打胎三次.txt	11	11
LAGWSRNK-004	yes		1	记取闺中梦尚新，蓓蕾温室更情亲，无端遭遇虎狼汉，赢得残躯寂寞心	006.成舍我诱奸怨妇打胎三次.txt	11	11
LAGWSRNK-005	yes		1	好汉做事好汉当	007.徐复观是好汉吗？.txt	19	19
LAGWSRNK-006	yes		1	匹夫之勇	007.徐复观是好汉吗？.txt	23	23
LAGWSRNK-007	yes		1	一朝之忿	007.徐复观是好汉吗？.txt	23	23
LAGWSRNK-008	yes		1	以武犯禁	007.徐复观是好汉吗？.txt	23	23
LAGWSRNK-009	yes		1	身外之物	008.无耻的蒋彦士为姘头的妈做干儿子.txt	7	7
LAGWSRNK-010	yes		1	莒人灭鄫。	008.无耻的蒋彦士为姘头的妈做干儿子.txt	11	11
LAGWSRNK-011	yes		1	神不歆非类，民不祀非族。	008.无耻的蒋彦士为姘头的妈做干儿子.txt	11	11
LAGWSRNK-012	yes		1	阳若有继，而阴已绝矣！	008.无耻的蒋彦士为姘头的妈做干儿子.txt	11	11
LAGWSRNK-013	yes		1	以无嗣为讳	008.无耻的蒋彦士为姘头的妈做干儿子.txt	13	13
LAGWSRNK-014	yes		1	称无子而养人子者，自谓同族之亲，岂施于异姓？今世行之甚众，是谓逆人伦昭穆之序，违经典绍继之义也。	008.无耻的蒋彦士为姘头的妈做干儿子.txt	17	17
LAGWSRNK-015	yes		1	逆人伦昭穆之序，违经典绍继之义	008.无耻的蒋彦士为姘头的妈做干儿子.txt	19	19
LAGWSRNK-016	yes		1	安之若素	008.无耻的蒋彦士为姘头的妈做干儿子.txt	21	21
LAGWSRNK-017	yes		1	千古一绝	008.无耻的蒋彦士为姘头的妈做干儿子.txt	21	21
LAGWSRNK-018	yes		1	阳奉阴违	008.无耻的蒋彦士为姘头的妈做干儿子.txt	21	21
LAGWSRNK-019	yes		1	长袖善舞	016.王又曾涉嫌诈财物案.txt	11	11
LAGWSRNK-020	yes		1	有钱能使鬼推磨	022.李济、许倬云怎样拿钱不办事.txt	5	5
LAGWSRNK-021	yes		1	投诉无门	022.李济、许倬云怎样拿钱不办事.txt	63	63
LAGWSRNK-022	yes		1	强为我著书	025.吴大猷假公济私的一面.txt	55	55
LAGWSRNK-023	yes		1	义正词严	025.吴大猷假公济私的一面.txt	69	69
LAGWSRNK-024	yes		1	公孙子，务正学以言，无曲学以阿世。	027.从丘宏达考试作弊看国民党学人品格.txt	37	37
LAGWSRNK-025	yes		1	曲学阿世	027.从丘宏达考试作弊看国民党学人品格.txt	37	37
LAGWSRNK-026	yes		1	不三不四	028.从林毓生捏造文证看国民党学人品格.txt	7	7
LAGWSRNK-027	yes		1	如醉如梦，疑幻疑真	029.国民党别乱捧苏雪林啦！.txt	9	9
LAGWSRNK-028	yes		1	诚玷辱士林之衣冠败类，二十四史儒林传所无之奸恶小人	029.国民党别乱捧苏雪林啦！.txt	11	11
LAGWSRNK-029	yes		1	夫子自道	030.余光中该烧哪只手？.txt	35	35
LAGWSRNK-030	yes		1	他右手写诗，左手写散文，忙得像和太阳系的老酋长在赛马。	030.余光中该烧哪只手？.txt	63	63
LAGWSRNK-031	yes		1	旧女婿为新女婿，大姨夫做小姨夫。	034.怎可告姨妈？.txt	7	7
LAGWSRNK-032	yes		1	虚与委蛇	034.怎可告姨妈？.txt	7	7
LAGWSRNK-033	yes		1	斯文扫地	034.怎可告姨妈？.txt	15	15
LAGWSRNK-034	yes		1	其人思虑周祥，文笔圆到。余任内重要公文皆出其手，时人多称道之，每谓余以出洋学生而公事熟悉如此，诚属难能可贵。实皆毕先生之功也。	036.傅正的正负.txt	47	47
LAGWSRNK-035	yes		1	余在〔滨江关道〕任二十六个月。……经办事务烦而且重，前任后任无一终局者。余以出洋学生久任此职得无陨越者，得力于毕先生者甚大。	036.傅正的正负.txt	47	47
LAGWSRNK-036	yes		1	胜人者有力，自胜者强。	037.我看林正杰还是先打倒自己吧！.txt	13	13
