action	target	source_file	line_range	quote_or_candidate	reason
add	LASHXJ-057	001.写在居浩然《十论》的前面.txt	7-7	破釜沉舟	
add	LASHXJ-058	001.写在居浩然《十论》的前面.txt	27-27	克己为人	
add	LASHXJ-059	001.写在居浩然《十论》的前面.txt	45-45	创业维艰	
add	LASHXJ-060	001.写在居浩然《十论》的前面.txt	65-65	生花妙舌	
add	LASHXJ-061	001.写在居浩然《十论》的前面.txt	73-73	夙夜匪懈	
add	LASHXJ-062	004.介绍《紫禁城的黄昏》.txt	5-5	好学不倦	
add	LASHXJ-063	004.介绍《紫禁城的黄昏》.txt	45-45	置死生于度外	
add	LASHXJ-064	008.推荐《李宗仁回忆录》.txt	27-27	聊备鸿爪	
add	LASHXJ-065	008.推荐《李宗仁回忆录》.txt	27-27	发愤之作	
add	LASHXJ-066	008.推荐《李宗仁回忆录》.txt	51-51	言人人殊	
add	LASHXJ-067	008.推荐《李宗仁回忆录》.txt	67-67	覆巢之下，终无完卵	
add	LASHXJ-068	008.推荐《李宗仁回忆录》.txt	87-87	天降大任	
add	LASHXJ-069	009.我看《汪精卫传》.txt	9-9	义愤毕竟不能推进科学。	
add	LASHXJ-070	009.我看《汪精卫传》.txt	11-11	伊尹五就汤、五就桀，正在安人而已。	
add	LASHXJ-071	009.我看《汪精卫传》.txt	11-11	其能屈身以安人，如诸佛菩萨之行。	
add	LASHXJ-072	011.新印《厚黑教主传》述源.txt	3-3	年轻时看书看不懂，我认为脑筋有毛病。现在看书看不懂，我认为书有毛病。	
add	LASHXJ-073	011.新印《厚黑教主传》述源.txt	7-7	发中国人所未发	
add	LASHXJ-074	013.《新官场现形记》序.txt	5-5	有东方朔的谐谑、有淳于髡的滑稽	
add	LASHXJ-075	019.汪荣祖《章太炎研究》序.txt	9-9	成一家言	
add	LASHXJ-076	019.汪荣祖《章太炎研究》序.txt	17-17	众口铄金	
exclude	modern-political-quote	001.写在居浩然《十论》的前面.txt	11-11	武汉为南北关键，一旦动摇，则四方瓦解。	现代革命史序文引语，未收
exclude	modern-political-poem	012.新版《政海秘辛》缘起.txt	3-3	毛泽东《蝶恋花》全文	革命悼亡词，未收
exclude	classical-political-governance	008.推荐《李宗仁回忆录》.txt	65-65	国家之败，由官邪也。	古典治理语录，政治指向过强，未收
exclude	modern-political-history	008.推荐《李宗仁回忆录》.txt	43-69	国共、北伐、政权、派系等历史判断	现代政治史判断，未收
exclude	modern-political-material	014.介绍《国共斗争的见闻》.txt	7-11	人物信札、自白与党派史叙述	现代党派史语境过重，未收
exclude	modern-legal-editorial	020.安全局机密文件——《历年办理匪案汇编》序.txt	101-117	《自由中国》军法社论	现代军法与权利社论，未收
