file	line	context
《李远哲的真面目》引言.txt	43	李敖影音E书QQ群578505007：不自由的自由（wjm_tcy）与“Jeff Ao”联合制作！
001.关于李远哲忘恩负义的讨论.txt	9	王企祥，江苏青浦人，1929年生于天津，1949年以清华大学一年级身份留美，得加州理工学院博士。在美成绩优异，但热爱祖国。1958年，立意返回中国服务。美国政府人士以美国国籍相诱，想使他留在美国，但他不肯，乃离美赴北京。不期到北京后，大失所望，乃写信给周恩来，要求离境，周恩来准了他。他一抵香港，即与美国方面联络回美，但美方透露给国民党政府，于是，国民党教育部次长李熙谋匆匆自台湾赶到香港，请他吃饭，邀他到台湾“看一看”。他答应了。不料一抵松山机场，即被国民党政府扩大宣传，封以“反共义士”，并不准他出境。王企祥无法，只好长居台湾。先在中央研究院、继在交通大学、最后在清华大学落脚。他在清华大学教化学，与名伶徐露结婚。
001.关于李远哲忘恩负义的讨论.txt	65	1988年4月，再在加州理工见修梅克尔，问他关于弗里曼的信的事，他只说这是西曼斯基干的，他当时失业（It was Szymanski, he didn't have a job.）。他之后就不再提了，最后又说，台湾应当让我能退休。是年七月来台湾自由之家，无人理。八月一美国人住自由之家，自承是CIA。我给他看弗里曼的信，他说，一看即知是伪造的，应该找一位在学术界与我关系密切且有地位者写一信给弗里曼，问问他有没有做。此人说西方有地位的科学家不会做这种事，这时我才明了此信为有人付钱给西曼斯基伪造的。在我查看西曼斯基资料时，才知西曼斯基与刘兆玄曾共同发表文章数篇，刘兆玄是西曼斯基与沈君山之间的唯一联系。我当时即告知李远哲在台湾的朋友，原分所所长张昭鼎知此事，并附上所有文件，要李远哲为此事说话。并且也直接寄给李一份。当时是9月，可是一直到来年2月，李才写信给弗里曼，而在这之前沈君山已去过澳洲。
001.关于李远哲忘恩负义的讨论.txt	75	我现在已把一些资料给我在澳洲做澳洲移民部长顾问的弟弟，找律师与澳洲联邦警察（澳洲的FBI），对弗里曼进行调查；也请加拿大的骑警对西曼斯基进行调查，这问题是一个人在自己国内做坏事，外国大概无法管，可是一个人有了政府的高位，用国库的钱到美国（李卓皓）、加拿大（西曼斯基）、澳洲（弗里曼）大送贿赂，引他们做假文件、做伪证等犯罪行为，是国际上所不容的，台湾司调单位应把清大王企祥案的文件调出来，对沈君山、刘兆玄、徐贤修等人进行调查，毛高文与这些人的关系，假若不是共谋，将是意外。假若让外国先查清楚，我们的国家与人民如何可以得人尊敬。这是一个国家尊严的问题，这也是美国一直对此事很关切的原因，因为这是国际犯罪！希望在目前台湾已开放的社会与已有进步的司调单位，能把此案弄清楚，还我在清大的教职与实验室。
001.关于李远哲忘恩负义的讨论.txt	97	弟一直同情王博士的处境，许多跟他做过研究的学生们、同事们，也常觉得当年清华大学解聘王博士，也许做得有些过分，弟于1962年出国留学后很少跟王博士联系，也不清楚后来他被解聘的原因。从很多方面看来，也许他不是一位最理想的教授，但在清华原子科学研究所设立的早期，他确是有些贡献的。我于1961年到1962年整整一年的时间与几位同学跟他做结晶构造的研究工作，也就是我们念完硕士学位，服役预备军官的一年。那时在台湾，很少在美国一流大学得博士学位的人，我们常常经过王博士对他在加州理工学院的见闻，看到学术上更高的一层，也了解到科学上“天外有天”的一回事。他是台湾第一个从事X光绕射结晶构造的人，算是这方面工作的先驱者，也训练了不少这方面的人才。
001.关于李远哲忘恩负义的讨论.txt	147	我得知王企祥的遭遇后，愤愤不平，但王企祥却宽宏大量，不愿深究，但是面露索寞之色，却很明显。因此我在未知会他的情况下，于3月24日求是报上公开揭出此事，我写道：
001.关于李远哲忘恩负义的讨论.txt	157	收到你的信后，为了就“有人”所谓的“只是被其他人否决了他的提议”这一漂亮说法有以查证，我特别给王企祥写了信，他也回了信。现把两信附在下面：
001.关于李远哲忘恩负义的讨论.txt	193	（二）像李远哲这样已有国际地位的科学家，就是写信给苏联总统、英国首相，都应收到亲笔签名的回函，他同刘兆玄与张昭鼎玩的把戏是世界奇闻，一年半没有回信，也是对国际科学界给他的诺贝尔奖的侮辱。我想你李敖写了这样一封信人家不理，你一定会剥了他的皮，除非你是像吴稚晖一样没有人格，自己写自己的假信，也就是像梁肃戎一样“敷衍两句”。
001.关于李远哲忘恩负义的讨论.txt	241	李先生你自称“比科学家还科学”，此上的简单道理你应该懂的，也不必去巧辩、强词夺理。二十几年来，我常听到朋友赞美李敖的胆识和义气，但是我这次初次读到你的文章，我失望至极。你这次“扒粪”实在搞得自己满脸是屎。
001.关于李远哲忘恩负义的讨论.txt	303	李先生你自称“比科学家还科学”，此上的简单道理你应该懂的，也不必去巧辩、强词夺理。二十几年来，我常听到朋友赞美李敖的胆识和义气，但是我这次初次读到你的文章，我失望至极。你这次“扒粪”实在搞得自己满脸是屎。
001.关于李远哲忘恩负义的讨论.txt	309	李敖影音E书QQ群578505007：不自由的自由（wjm_tcy）与“Jeff Ao”联合制作！
002.帮李远哲复习一课.txt	7	答：这句话大概并不是很对。我小时候刚好是二次大战的尾声，联军常常轰炸，我们常必须要跑到山上去。小学我读的是日本学校，我不会讲闽南语，所以后来转入公立学校，常受到同学的欺侮，这些事都让我印象深刻。
002.帮李远哲复习一课.txt	13	问：我这个疑问是因为你一直很乐观，悲观的人大概不会没有挫折，有挫折才悲观，我是这样的联想。
002.帮李远哲复习一课.txt	25	答：是的，这点很多年轻人恐怕不大能了解。我们这一代是生长在战乱时代，我们看到战争、看到联军的轰炸，我们也看到战后台湾回归祖国整个社会的变化，所以那时的年轻人对很多社会的变化，从日本的军国主义到学习三民主义自由、平等的观念。当时我记得在街上大家都唱《义勇军进行曲》，这些变化让我们印象很深刻，而且更深刻的在台湾回归祖国的怀抱之后，给我们第一个印象是，中国是东亚的病夫、是让人瞧不起的。所以也许你可以说是强烈的爱国主义吧！希望中国能变得富强。
002.帮李远哲复习一课.txt	39	现在，我全文附刊我所收藏的《蓝色的毛毯》在下面。这篇文章登在1948年1月16日的《开明少年》第三十一期上，由上海开明书店出版。原题《苏联泰伊克的传说》，“小俞译述”。
