id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	duplicate_text	political_hits	notes
LAYMTX-001	李敖语妙天下	001.2009-01-01：为什么重返萤光幕？.txt	11	11	任何好人有时候都想杀人放火，任何坏人有时候都会杀人放火。	李敖格言	李敖语录	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-002	李敖语妙天下	001.2009-01-01：为什么重返萤光幕？.txt	13	13	不让别人看到你，比减肥更重要；不让你看到镜子，比祈祷更重要。	李敖格言	李敖《胖子福音》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-003	李敖语妙天下	001.2009-01-01：为什么重返萤光幕？.txt	17	17	不信青春唤不回，不容青史尽成灰。低回海上酬功宴，万里江山酒一杯。	近代诗	于右任诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-004	李敖语妙天下	001.2009-01-01：为什么重返萤光幕？.txt	17	17	不信青春能唤回，不容青史尽成灰。老眼平生空四海，于有声处听惊雷	李敖改诗	李敖改于右任、鲁迅诗句	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-005	李敖语妙天下	001.2009-01-01：为什么重返萤光幕？.txt	17	17	万家墨面没蒿莱，敢有歌吟动地哀。心事浩茫连广宇，于无声处听惊雷。	现代诗	鲁迅诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-006	李敖语妙天下	001.2009-01-01：为什么重返萤光幕？.txt	17	17	万家粉墨去复来，鬼哭狼嚎动地哀。心事浩茫连广宇，于有声处听惊雷。	李敖改诗	李敖改鲁迅诗	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-007	李敖语妙天下	002.2009-01-02：连战及陈长文欠台湾人一个道歉！.txt	7	7	李敖捧自己（捧他自己）已非猖狂，而是艺术。	现代文句	陈文茜评李敖	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-008	李敖语妙天下	002.2009-01-02：连战及陈长文欠台湾人一个道歉！.txt	7	7	每当别人赞美我的时候我就扭捏不安，为什么不安呢？因为别人赞美地不够。	外国格言译文	萧伯纳语意	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-009	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	5	5	衣带渐宽终不悔，为伊消得人憔悴。	宋词	柳永词	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-010	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	7	7	老当益壮	成语	传统成语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-011	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	7	7	三十六计走为上计	俗语/兵法成语	三十六计俗语	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-012	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	9	9	马谡拒荐失街亭，武侯弹琴退仲达	小说回目	《三国演义》第九十五回回目	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
LAYMTX-013	李敖语妙天下	003.2009-01-05：我也说一回三国.txt	11	11	笑容可掬，焚香操琴	小说文句	《三国演义》	yes			首轮保守收入：本书节目稿中现代选举、党派、两岸、军政新闻判断密集，仅收句子本体可独立成立的诗文、古文、成语俗谚、歌词和非政治格言。
