action	reason	id	source_file	line_start	line_end	present	political_hits	quote_text
add	校对补入	LAJJS6-005	003.孙中山蒋介石与道统.txt	13	13	yes		觝排异端，攘斥佛老
add	校对补入	LAJJS6-008	003.孙中山蒋介石与道统.txt	21	21	yes		孔子之外，古今百家，随其浅深，无得免者
add	校对补入	LAJJS6-014	006.蒋介石与“中华民国”亡国.txt	15	15	yes		百事要看得浑些。
add	校对补入	LAJJS6-018	012.蒋介石与“人人得而诛之”.txt	25	25	yes		沛公至军，立诛杀曹无伤
add	校对补入	LAJJS6-019	012.蒋介石与“人人得而诛之”.txt	25	25	yes		其君无日不讨国人而训之。
add	校对补入	LAJJS6-020	012.蒋介石与“人人得而诛之”.txt	25	25	yes		以敝邑褊小，介于大国，诛求无时。
add	校对补入	LAJJS6-025	016.蒋介石与《文星》.txt	279	279	yes		虚膺其名，滥竽遗讥
add	校对补入	LAJJS6-026	016.蒋介石与《文星》.txt	285	285	yes		直谅多闻之友
add	校对补入	LAJJS6-029	020.童轩荪笔下的蒋介石.txt	15	15	yes		念书太多，我们不可及
add	校对补入	LAJJS6-032	020.童轩荪笔下的蒋介石.txt	123	123	yes		冠盖云集，备极哀荣
add	校对补入	LAJJS6-033	020.童轩荪笔下的蒋介石.txt	139	139	yes		陈蕃之榻
