id	source_file	line_start	line_end	category	quote_text	source_or_origin	summary	notes
LALDJJG-001	《论定蒋经国》前言（李敖）.txt	7	7	孟子名句	富贵不能淫、贫贱不能移、威武不能屈	《孟子·滕文公下》	李敖引用孟子关于大丈夫不可被富贵、贫贱、威武动摇的名句。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收孟子名句本体；不收李敖鞭尸、国民党和民进党政治攻防语境。
LALDJJG-002	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	15	15	宋诗句	六帝园林堕劫灰，独余静谷葬崔嵬，行人指点云间鹤，唤得齐梁一梦回。	宋人题灵谷寺诗	李敖引用宋人题灵谷寺诗，写六朝兴亡与齐梁旧梦。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收题寺诗句本体；不收陈布雷、南京和蒋介石政治比附语境。
LALDJJG-003	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	15	15	佛教传说文句	贫僧塔坏，陛下社稷随坏。	志公答梁武帝语	李敖引志公回答梁武帝的预言式文句，说明塔坏与社稷相连。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收古代佛教传说文句；不收蒋氏父子亡国比附语境。
LALDJJG-004	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	17	17	帝王诏令句	一介有能，片言可用，朕亲加听览	陈后主诏令	李敖引陈后主诏令，说明一人一言若可用也会亲自听览。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收古代诏令句本体；不收陈后主与蒋氏父子的现代政治比较。
LALDJJG-005	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	古代帝王语	国君死社稷，朕将安往？	崇祯语	李敖引崇祯拒绝南逃、称国君应死社稷的语句。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收古代帝王语本体；不收蒋氏父子亡国评议语境。
LALDJJG-006	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	典故成语	好似门神	崇祯私语典故	李敖引崇祯称王洽好似门神，取一年一换、任用不久之意。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 校对轮增补：只收典故短语本体；不收明亡与蒋氏父子政治比附语境。
LALDJJG-007	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	史传文句	因失江山，无面目见祖宗于天上，不敢终于正寝	崇祯遗言相关记载	李敖引崇祯亡国时无面目见祖宗、不敢终于正寝的文句。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收古史文句；不收蒋介石亡国评价语境。
LALDJJG-008	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	19	19	史传文句	自去冠冕，以发覆面	崇祯殉国记载	李敖引崇祯去冠覆面的殉国记载。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收古史文句；不收现代政治人物比附语境。
LALDJJG-009	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	25	25	俗语典故	扶不起的阿斗	刘禅典故	李敖用扶不起的阿斗形容后主刘禅难以成器的俗语典故。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 校对轮增补：只收三国俗语典故本体；不收蒋经国、邓小平和国共派系比较语境。
LALDJJG-010	001.蒋介石不如崇祯、蒋经国不如阿斗（李敖）.txt	29	29	成语	乐不思蜀	刘禅典故	李敖用成语指刘禅不再思念蜀地。	保守收入：《论定蒋经国》以蒋经国死后论定、蒋家父子、国民党党政军、青年军、赣南统治、金圆券、台湾政治和江南案为主体；现代党派、政权、领袖、总统、军政、战争、革命、国家民族、外交、统独、宪政、人权、意识形态、暗杀、接班与反蒋/拥蒋语录不收，只保留可脱离具体政治攻防独立检索的古典诗文、礼制文句、成语、俗语、题联、文学引文、家训和非政治格言。 只收成语典故本体；不收蒋经国台湾人谈话和统独攻防语境。
