id	book	source_file	line_start	line_end	quote_text	category	source_or_origin	found_in_source	political_hits	notes
LADGD-001	李敖大哥大	001.张学良是末代民族英雄.txt	3	9	快看李敖大哥大，打开天窗说亮话。\n狗男狗女我全骂，好人喜欢坏人怕。\n酸甜以后又苦辣，摆平以后又上下。\n只有真理没八卦，快看李敖大哥大。	节目片头歌	《李敖大哥大》片头歌	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-002	李敖大哥大	001.张学良是末代民族英雄.txt	11	11	人过了60岁以后，谁比谁先走，谁比谁先死，就不知道了	现代文人格言	梁实秋语	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-003	李敖大哥大	001.张学良是末代民族英雄.txt	25	25	赵四风流朱五狂，翩翩蝴蝶正当行。温柔乡是英雄冢，哪管东师入沈阳。	近代诗句	马君武诗句	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-004	李敖大哥大	002.张学良与赵四小姐的爱情故事.txt	29	29	此度见花枝，白头誓不归	古典词句	古人词句	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-005	李敖大哥大	003.罗福助错在那里？.txt	19	19	call a spade spade	英文俗语	英语俗语	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-006	李敖大哥大	003.罗福助错在那里？.txt	19	19	觚不觚，觚哉？觚哉？	论语名句	《论语·雍也》	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-007	李敖大哥大	004.批评陈水扁.txt	59	59	飞来山上千寻塔，闻说鸡鸣见日升。不畏浮云遮望眼，自缘身在最高层。	宋诗	王安石《登飞来峰》	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-008	李敖大哥大	004.批评陈水扁.txt	65	65	绕岸车鸣水欲干，鱼儿相逐尚相欢。无人挈入沧江去，汝死哪知世界宽？	宋诗	王安石《鱼儿》	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-009	李敖大哥大	004.批评陈水扁.txt	79	79	一根鸡巴往里戳	小说文句	《红楼梦》俗语文句	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
LADGD-010	李敖大哥大	006.反对党为了反对而反对是对的.txt	55	55	以德报怨，何以报德？	论语名句	《论语·宪问》	yes		首轮保守收入：本书节目政治评论密度极高，仅取可独立成立的诗文、古文名句、成语俗谚、小说文句和非政治格言；重复片头只收首见。
