id	source_file	line_start	line_end	category	risk_in_quote	quote_text
LAZLJBB-001	001.猫狗谚.txt	7	7	英文谚语		rain cats and dogs
LAZLJBB-002	001.猫狗谚.txt	9	9	英文谚语		Every dog has his day
LAZLJBB-003	001.猫狗谚.txt	15	15	英文谚语		A cat has nine lives
LAZLJBB-004	001.猫狗谚.txt	15	15	英文谚语		Care killed the cat
LAZLJBB-005	001.猫狗谚.txt	15	15	英文谚语		Curiosity killed a cat
LAZLJBB-006	001.猫狗谚.txt	29	29	中文成语		打狗看主人
LAZLJBB-007	001.猫狗谚.txt	31	31	古典成语		高鸟尽，良弓藏；狡兔死，走狗烹
LAZLJBB-008	001.猫狗谚.txt	31	31	成语		兔死狗烹
LAZLJBB-009	001.猫狗谚.txt	33	33	英文谚语译句		想打狗的，不愁找不到棒子
LAZLJBB-010	001.猫狗谚.txt	37	37	英文名言译句		我看到的人愈多，我愈欣赏狗
LAZLJBB-011	001.猫狗谚.txt	39	39	中文成语		近朱者赤，近墨者黑
LAZLJBB-012	001.猫狗谚.txt	41	41	英文谚语译句		狗不吃狗，但人吃人
LAZLJBB-013	002.再会呀，鳄鱼呀！.txt	7	7	成语		鳄鱼的眼泪
LAZLJBB-014	002.再会呀，鳄鱼呀！.txt	7	7	俗语		猫哭耗子
LAZLJBB-015	002.再会呀，鳄鱼呀！.txt	15	15	英文俏皮话		See you later, alligator
LAZLJBB-016	002.再会呀，鳄鱼呀！.txt	27	27	古文引用		其率丑类南徙于海
LAZLJBB-017	002.再会呀，鳄鱼呀！.txt	29	29	成语		为虎作伥
LAZLJBB-018	003.纸上谈钱.txt	7	7	成语		一贫如洗
LAZLJBB-019	003.纸上谈钱.txt	7	7	俗语		省小钱吃大亏
LAZLJBB-020	003.纸上谈钱.txt	7	7	成语		贪小失大
LAZLJBB-021	003.纸上谈钱.txt	7	7	英文谚语		A penny saved is a penny gained
LAZLJBB-022	003.纸上谈钱.txt	7	7	处事格言		小事注意，大事自成
LAZLJBB-023	003.纸上谈钱.txt	11	11	成语		车载斗量
LAZLJBB-024	003.纸上谈钱.txt	11	11	成语		过江之鲫
LAZLJBB-025	003.纸上谈钱.txt	11	11	成语		多如牛毛
LAZLJBB-026	004.喊一声“芝麻开门！”就行了.txt	5	5	英文成语		take the cake
LAZLJBB-027	004.喊一声“芝麻开门！”就行了.txt	5	5	成语		两者不可得兼
LAZLJBB-028	004.喊一声“芝麻开门！”就行了.txt	5	5	成语		望梅止渴，画饼充饥
LAZLJBB-029	004.喊一声“芝麻开门！”就行了.txt	5	5	典故		巴米赛德酒席
LAZLJBB-030	004.喊一声“芝麻开门！”就行了.txt	5	5	童话咒语		芝麻开门
LAZLJBB-031	004.喊一声“芝麻开门！”就行了.txt	9	9	英文格言		The last straw breaks the camel's back
LAZLJBB-032	004.喊一声“芝麻开门！”就行了.txt	9	9	处事格言		凡事要适可而止
LAZLJBB-033	005.头头大观.txt	17	17	古典成语		宁为鸡口，毋为牛后
LAZLJBB-034	005.头头大观.txt	17	17	英文名句		Better to reign in hell than serve in heaven
LAZLJBB-035	006.指教.txt	7	7	英文成语译句		她浑身都是淑女
LAZLJBB-036	006.指教.txt	9	9	成语		跃跃欲试
LAZLJBB-037	006.指教.txt	9	9	成语		染指
LAZLJBB-038	006.指教.txt	9	9	英文成语译句		假装看不见
LAZLJBB-039	006.指教.txt	11	11	英文成语		His fingers are all thumbs
LAZLJBB-040	006.指教.txt	19	19	成语化用		玩弄别人于股（大腿）掌（手心）之上
LAZLJBB-041	006.指教.txt	21	21	成语		屈指可数
LAZLJBB-042	006.指教.txt	21	21	成语		指不胜屈
LAZLJBB-043	006.指教.txt	21	21	成语		半斤八两
LAZLJBB-044	007.理发匠就是外科医生，外科医生就是理发匠.txt	5	5	成语		怒发冲冠
LAZLJBB-045	007.理发匠就是外科医生，外科医生就是理发匠.txt	5	5	成语		发指
LAZLJBB-046	007.理发匠就是外科医生，外科医生就是理发匠.txt	5	5	成语		毛发悚然
LAZLJBB-047	007.理发匠就是外科医生，外科医生就是理发匠.txt	9	9	寓言名句		狼来了！狼来了！
LAZLJBB-048	007.理发匠就是外科医生，外科医生就是理发匠.txt	9	9	寓言成语		狗占马槽
LAZLJBB-049	008.送礼·向厕所跑.txt	5	5	成语		礼尚往还
LAZLJBB-050	008.送礼·向厕所跑.txt	5	5	英文格言		Gifts are like fish hooks
LAZLJBB-051	008.送礼·向厕所跑.txt	5	5	成语		抛砖引玉
LAZLJBB-052	008.送礼·向厕所跑.txt	5	5	俗语		真金不怕火炼
LAZLJBB-053	008.送礼·向厕所跑.txt	5	5	成语		做贼心虚
LAZLJBB-054	008.送礼·向厕所跑.txt	5	5	英文格言		Don't look a gift horse in the mouth
LAZLJBB-055	008.送礼·向厕所跑.txt	9	9	英文格言		No man ought to look a given horse in the mouth
LAZLJBB-056	009.你羊我就马，你马我就羊.txt	13	13	英文儿歌		Mary Had a Little Lamb
LAZLJBB-057	009.你羊我就马，你马我就羊.txt	13	13	俗语		一不做，二不休
LAZLJBB-058	009.你羊我就马，你马我就羊.txt	13	13	英文成语		a wolf in sheep's clothing
LAZLJBB-059	009.你羊我就马，你马我就羊.txt	13	13	成语		害群之马
LAZLJBB-060	009.你羊我就马，你马我就羊.txt	13	13	成语		亡羊补牢
LAZLJBB-061	009.你羊我就马，你马我就羊.txt	15	15	妙语		你马我就羊，你羊我就马
LAZLJBB-062	010.打老虎秘诀.txt	5	5	成语		百兽之王
LAZLJBB-063	010.打老虎秘诀.txt	7	7	成语		捋虎须
LAZLJBB-064	010.打老虎秘诀.txt	7	7	成语		骑虎难下
LAZLJBB-065	010.打老虎秘诀.txt	7	7	俗语		捉虎容易放虎难
LAZLJBB-066	010.打老虎秘诀.txt	9	9	古典格言		不入虎穴，焉得虎子
LAZLJBB-067	010.打老虎秘诀.txt	11	11	成语		为虎做伥
LAZLJBB-068	010.打老虎秘诀.txt	13	13	英文妙语译句		打老虎要记着老虎有各式各样的——有好打的，有难打的
LAZLJBB-069	011.你送神像我搭台.txt	5	5	英文成语译句		沟泽姆的聪明人
LAZLJBB-070	012.千年王八万年龟.txt	5	5	俗语		千年王八万年龟
LAZLJBB-071	012.千年王八万年龟.txt	5	5	古典祝词		龟龄
LAZLJBB-072	012.千年王八万年龟.txt	9	9	俗语		翻乌龟
LAZLJBB-073	013.不飞的鸟.txt	19	19	成语		各有千秋
LAZLJBB-074	013.不飞的鸟.txt	19	19	英文成语		ostrichlike
LAZLJBB-075	014.你杀鹅我就杀鸡.txt	5	5	成语		鹅行鸭步
LAZLJBB-076	014.你杀鹅我就杀鸡.txt	5	5	俗语		鸡皮疙瘩
LAZLJBB-077	014.你杀鹅我就杀鸡.txt	11	11	寓言格言		别杀下金蛋的鹅
LAZLJBB-078	014.你杀鹅我就杀鸡.txt	11	11	成语		杀鸡取卵
LAZLJBB-079	014.你杀鹅我就杀鸡.txt	13	13	英文成语译句		煮了他的鹅
LAZLJBB-080	014.你杀鹅我就杀鸡.txt	15	15	俗语		吃鸭蛋
LAZLJBB-081	014.你杀鹅我就杀鸡.txt	21	21	俗语		千里送鹅毛
LAZLJBB-082	015.原子弹与沉鱼落雁.txt	15	15	典故词语		雁行
LAZLJBB-083	015.原子弹与沉鱼落雁.txt	15	15	成语		雁行折翼
LAZLJBB-084	015.原子弹与沉鱼落雁.txt	17	17	成语典故		雁足传书
LAZLJBB-085	015.原子弹与沉鱼落雁.txt	17	17	成语		雁杳鱼沉
LAZLJBB-086	015.原子弹与沉鱼落雁.txt	17	17	成语		沉鱼落雁
LAZLJBB-087	015.原子弹与沉鱼落雁.txt	19	19	英文成语		wild-goose chase
LAZLJBB-088	015.原子弹与沉鱼落雁.txt	21	21	唐诗句		白日登山望烽火，黄昏饮马傍交河
LAZLJBB-089	015.原子弹与沉鱼落雁.txt	21	21	唐诗句		年年战骨埋荒外，空见葡萄入汉家
LAZLJBB-090	016.他所有的鹅都是天鹅.txt	5	5	英文成语		All his geese are swans
LAZLJBB-091	016.他所有的鹅都是天鹅.txt	5	5	俗语		癞蛤蟆想吃天鹅肉
LAZLJBB-092	016.他所有的鹅都是天鹅.txt	7	7	童话题名		丑小鸭
LAZLJBB-093	016.他所有的鹅都是天鹅.txt	13	13	英文典故		天鹅之歌
