id	book	chapter	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	proofread_reason
LASHD-014	李敖书牍集	来回带物法	004.来回带物法.txt	7	7	罗斯福说丘吉尔的主意每天有一百个，但只有一个是好的，但那个好主意，就可以打胜仗。	格言	罗斯福评丘吉尔	说明多主意中一个好主意也足以取胜。	罗斯福评丘吉尔的现代政治人物/战争胜负语录，校对轮按政治人物语录删除。
LASHD-030	李敖书牍集	与朋友交，其写信乎？	009.与朋友交，其写信乎？.txt	33	33	不到黄河不死心	俗语	俗语	形容执著到底。	俗语出自狱中来信与党外政治走向段落，校对轮删除。
LASHD-031	李敖书牍集	与朋友交，其写信乎？	009.与朋友交，其写信乎？.txt	33	33	到了黄河又如何	妙语	李敖化用	反问执著到底后的意义。	李敖化用语直接服务党外处境与政治人物排挤语境，删除。
LASHD-032	李敖书牍集	与朋友交，其写信乎？	009.与朋友交，其写信乎？.txt	33	33	为长者折枝，可为也；挟泰山以超北海，不可为也。	典故	《孟子》语	以可为与不可为作区分。	《孟子》语被置于党外政治争权段落中，校对轮删除。
LASHD-033	李敖书牍集	与朋友交，其写信乎？	009.与朋友交，其写信乎？.txt	33	33	不识时务	成语	成语	形容不能认清现实形势。	成语直接用于党外政治处境判断，删除。
LASHD-046	李敖书牍集	天行有常	010.天行有常.txt	17	17	永丰有常	妙语	李敖化用	把天行有常化用于林永丰。	“永丰有常”为选举候选人姓名化用，落在助选倒戈语境中，校对轮删除。
LASHD-054	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	1	1	不提李敖之名	妙语	李敖拟题	概括一种避名而谈的趣事。	题名即为封锁/避名现象，非独立诗文格言，删除。
LASHD-055	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	13	13	不提李敖之名	妙语	李敖概括	把避提姓名概括为一种封锁方式。	短语用于概括封锁李敖的方式，校对轮删除。
LASHD-056	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	13	13	不愿提法	妙语	李敖分类	把不提名分为不愿提的一类。	分类短语服务避名/封锁现象说明，非独立格言，删除。
LASHD-057	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	13	13	不敢提法	妙语	李敖分类	把不提名分为不敢提的一类。	分类短语服务避名/封锁现象说明，非独立格言，删除。
LASHD-058	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	15	15	乃在法律尊严前所不能不忍受之精神虐待。	妙语	徐复观语	以夸张语气称不得不写李敖之名。	徐复观语处在法律与避名争议中，按公共/司法语境删除。
LASHD-059	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	23	23	违君之教，不敢以此书问世，仍盼痛加纠绳	诗文	俞大纲题赠	题赠中承认李敖校阅之功。	题赠语被用于说明不敢提名和出版顾虑，校对轮删除。
LASHD-060	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	23	23	高级知识分子的伪善与胆怯	格言	李敖概括	批评知识分子避讳的心理。	概括句直接评价知识分子避讳李敖的胆怯，公共争议语境过强，删除。
LASHD-061	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	31	31	高级知识分子的伪善与胆怯	格言	李敖概括	再次概括避名行为的伪善与胆怯。	与 LASHD-060 同文重复，仍落在避名和封锁语境中，删除。
LASHD-062	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	33	33	骨牌理论	格言	李敖比喻	用骨牌效应比喻避名风气延续。	“骨牌理论”直接比喻文星犯讳、被捕后避名延续，删除。
LASHD-069	李敖书牍集	“不提李敖之名”记趣	014.“不提李敖之名”记趣.txt	49	49	世道人心、学人风范	格言	李敖概括	概括由不敢提名所见的世道人心。	概括句总结孙立人被隐名的世道人心，政治人物避名语境过强，删除。
LASHD-070	李敖书牍集	律师·正义·缩	019.律师·正义·缩.txt	9	9	自反而不缩	典故	《孟子》语	反省自己而不理亏。	《孟子》语被用于律师诉讼对垒与诽谤官司，按司法语境删除。
LASHD-071	李敖书牍集	律师·正义·缩	019.律师·正义·缩.txt	11	11	当年林肯做律师时候，每在发现委任人错了的时候，即拒绝为不合正义的“我方”辩护	格言	林肯故事	以林肯拒为不义一方辩护说明律师正义。	林肯律师故事被用于具体诉讼攻防与律师伦理劝告，校对轮删除。
LASHD-072	李敖书牍集	律师·正义·缩	019.律师·正义·缩.txt	11	11	林肯终能成为伟人，良有以也。	格言	李敖概括	说明林肯成为伟人自有原因。	林肯伟人评价承接诉讼劝告，现代政治人物/司法语境过强，删除。
