source_file	line	flag	text
001.跟警察头子打笔仗.txt	7	risk	　　有一个外国老女人，拿了一本美国护照，名字叫JAN-FEN WANG HO，中文是“何王剑芬”。所谓何王剑芬，是冠了夫姓，因离了婚，事实上，通用的名字是“王剑芬”。这个外国老女人王剑芬，在台湾居，却大不易，因为颇多官非；但大不易中也有不难之处，那就是她一路得台湾警察的另眼看待，老是放她一马。
001.跟警察头子打笔仗.txt	71	risk	　　由此可见，台北县警察局长姚高桥闪躲了两点：第一，他所谓的限令王剑芬出境案要等到“涉及妨害家庭案”“审结后再议”，但该案早已审结十个月了，他却绝口不提“再议”，不遵诺言；第二，他明知王剑芬居留证期限早已届满，依法不得申请延期，何以迟迟不予依法办理，限令出境？——台北县警察局长姚高桥显有失职行为，请查明惠复。
001.跟警察头子打笔仗.txt	75	risk	　　三、台北县警察局长姚高桥提到请示警务处后，警务处函复说“如未经法院裁定驱逐出境得准予居留”之事，显然已搪塞升级，由警务处出马了，因此我矛头指向警务处，在3月5日向警务处长林永鸿质问，旋得4月4日七六警外字第3647号回件，直接向我表示“经法院判处有期徒刑三月缓刑三年后，因法院未裁定驱逐出境，且彼在台已有职业，台北县警察局依据《外人出入国境及居留规则》第4条暨‘外侨居留证核发办法’之规定，考量实际情形，予以居留延期，与法令规定并无不合”云云，这又是一种新搪塞，比起台北县警察局长姚高桥以“法院侦办中”为搪塞来，这种以“已有职业”为搪塞，可谓无独有偶。但是，搪塞尽管搪塞，验之事实，却露了马脚。因为所谓“且彼在台已有职业”之说，全非事实：
001.跟警察头子打笔仗.txt	109	risk	　　由以上证据，证明台湾省警务处长林永鸿所谓的该王剑芬“已有职业”之说，全是警察头子捏造的，这个外国老女人王剑芬，根本在台湾没有职业！
003.给新闻局局长邵玉铭的公开信.txt	27	risk	　　这条“侮辱国父遗像罪”，本来在中华民国暂行新刑律中是没有的，在旧刑法中也是没有的，但是国民党当政后，在1939年6月27日，以“国民政府令”，规定应依侮辱旗章罪处罚。后来鉴于不合罪行法定主义原则，所以干脆列入《刑法》至今。这种“侮辱国父遗像罪”，当然是训政时期法令的遗痕，是现代文明国家所没有的。纵然如此，但在《刑法》上所谓污辱，也是有特定解释的：
003.给新闻局局长邵玉铭的公开信.txt	79	risk	　　查《李敖千秋评论丛书》的问世，正因贵局封杀《千秋评论杂志》而起，按《出版法》第36条有“定期停止发行”“撤销登记”等罚则，是钳制“新闻纸类”的致命法宝，但对非“新闻纸类”的“书籍类”，却没有什么作用，因为“书籍类”既非“按期发行”，自然所谓“行政处分”，也就无所施其技。而“新闻纸类”却可来个查禁一年或撤销登记。换句话说：对“书籍类”，处分只能及身而绝，不能延伸；对“新闻纸类”，处分却能断子绝孙，可以延伸。因此，理论上，一个作者，如果能定期（“按期发行”）出书，则在某种形式上，几与杂志无异；虽然在事实上，全世界几乎没有这样多产的作者，能够维持——经年累月的维持——这种写作量。就这样的，《李敖千秋评论丛书》就在前无古人后无来者 出人不意情况下，“创世纪”一般的出现了“创‘书’记”。六年下来，月月不断、期期不断，这种突破与成绩，又足登“吉尼斯世界纪录”而有余矣！
003.给新闻局局长邵玉铭的公开信.txt	87	risk	　　现在我以诉愿的形式给贵局，明知你们官官相护，并且政由己出，但我仍愿以诉愿为手段，逼出真相来。整人、关人是你们的事，但写书、出书是我的事，你们不怕清议、不怕历史，我也不怕查禁、不怕坐牢。书被禁了九十四本了，人也坐过七年半两次牢了，什么场面没见面？谁又在乎？只是天下没有白禁的黑书，也没有白坐的黑牢，到头来你们文人比武人还会搞文字狱的内幕，终将曝光于天下，证明所谓解严，根本是一场骗局。你们要丢人现眼、不识大体、腾笑中外，是你们的事，只可惜了“中华民国”这块牌子！
005.致《中报》傅朝枢先生.txt	7	risk	　　所谓“李敖VS孙中山案”，台北地方法院检察处今早开庭，我当庭劝检察官如不能主持正义就请辞职，我并告诉他当年审岳飞的时候，就有法官因良知难安而辞职的，他说他会秉公处理。
008.三致施性忠老哥.txt	7		　　最近舍下两次之谈，深感老哥对群众，不但能够掌握，并且极为耐得烦，我则全无此种耐心（我对书有耐心，对人无耐心）。基本上，我是书房里的战士，虽不敢说是“将将”的人，至少意在影响将级（高级知识分子）而行吾道者。不过因为我太独行其道、不肯降格媚世，靠书房产品，在此孤岛，亦有大难，尚福（Nicholas Chamfort）说许多书的成功，乃在作者与群众之间有互相吻合的庸俗想法（The success of many books is due to the affinity between the mediocrity of the auther’s idea and those of the public.）。而我本人，却不但不肯吻合，反倒老是犯众怒，其不合时宜也，宜矣！苏东坡一肚皮不合时宜，尚有山水之乐与姨太太之乐，我则全无，想来不但所生非地（非台湾人），且亦非时（非古人）也！
011.从小事看认真.txt	81	risk	　　由此可见，“提案七”所谓的“恢复聘雇电工一名”，所谓的花园之议“就此作罢”，没有余武胜委员、崔海鹏委员如意算盘中那么简单！想推翻过去的会议记录吗？想“改正”它们吗？如果不想上法院，还是多加三思吧！
011.从小事看认真.txt	89		　　如今如果有当日决议者出尔反尔，要推翻前案，只要程序合法，我无所谓，我只要求三点：
012.复李声庭.txt	5		　　收到你的信，才知道你一直用十几年前的电话号码和地址与我联络，难怪电话打不通，信件也被退回。足见你已把我视同“今之古人”矣！
014.复六叔.txt	7		　　关于自传体裁，自传写法（历史写法）与小说写法各有不同效果，我的意思还是先出版真人真事真名真照片的自传，作为历史性著作；然后再出版小说，作为文学性著作（稿酬计算标准一样）。不知六叔以为如何？请不要担心自传写法的可读性，所有血泪据实写出，都是感人的史诗。重要的是我给小杰信中所提到的“毫无忌讳”“细腻而坦白”，托尔斯泰的前例，可以参考。
