id	source_file	line_start	line_end	quote_text	category	source_or_origin	summary	notes
LAMS-001	《我梦碎，所以我梦醒》序.txt	9	9	滔滔者，天下皆梦也。	拟论语句	化用《论语·微子》“滔滔者天下皆是也”句式。	李敖用仿古句式把全书的“梦碎”主题推成总括性的开场判断。	校对补入：序言起首的仿古格言式句。
LAMS-002	《我梦碎，所以我梦醒》序.txt	9	9	反求诸己	孟子成语	《孟子》语意发展出的成语。	李敖说“梦不必反求诸己”，用此成语反衬梦可以来自他人和世界。	校对补入：传统成语。
LAMS-003	《我梦碎，所以我梦醒》序.txt	9	9	黄粱梦	唐传奇典故	唐传奇《枕中记》卢生梦典发展出的成语。	李敖列举各类“梦”时用它作为幻梦典故之一。	校对补入：梦典故。
LAMS-004	《我梦碎，所以我梦醒》序.txt	9	9	南柯梦	唐传奇典故	唐传奇《南柯太守传》典故发展出的成语。	李敖列举各类“梦”时用它作为幻梦典故之一。	校对补入：梦典故。
LAMS-005	《我梦碎，所以我梦醒》序.txt	15	15	事如春梦了无痕	宋诗化句	苏轼诗句“事如春梦了无痕”。	李敖用苏轼成句作反衬，说明本书所写不是春梦无痕，而是噩梦破碎。	
LAMS-006	《我梦碎，所以我梦醒》序.txt	15	15	事如噩梦长破碎	拟古文句	李敖仿“事如春梦了无痕”反造。	李敖以此概括本书围绕梦碎展开的写作主旨。	
LAMS-007	《我梦碎，所以我梦醒》序.txt	19	19	志士仁人	论语成语	《论语》语意发展出的成语。	李敖用来称世俗以外的成功者。	
LAMS-008	《我梦碎，所以我梦醒》序.txt	19	19	与世“推移”	楚辞观念	《楚辞·渔父》“与世推移”语意。	李敖把它作为志士仁人面对世界时的精神方式。	
LAMS-009	《我梦碎，所以我梦醒》序.txt	21	21	向来枉费推移力，此日中流自在行。	宋诗名句	朱熹《泛舟》句。	李敖用它说明时机不对时推移会失败。	
LAMS-010	《我梦碎，所以我梦醒》序.txt	27	27	休戚与共	传统成语	形容利害、祸福共同承受。	李敖把它放在“智慧”语境中，作为共同处境的成语表达。	校对补入：只按通用成语保留，不收周边现代政治判断。
