action	target	source_file	line_range	quote_or_candidate	reason
add	LAFT9018-119	002.19901120戴小华专访李敖.txt	69-69	两个口袋空的人，他的腰挺不直。	说明经济基础影响人的姿态。
add	LAFT9018-120	002.19901120戴小华专访李敖.txt	109-109	人一生下来就注定会死，但你还是要活呀！	以必死前提反衬仍须活下去。
add	LAFT9018-121	002.19901120戴小华专访李敖.txt	109-109	基本上人生就是个失败，努力半天，终归于黄土；可是在你没死之前，终得努力	把人生失败感转成未死前仍须努力的勉励。
add	LAFT9018-122	002.19901120戴小华专访李敖.txt	113-113	口不言人过	引出中国式不言人过的交往标准，李敖在原文中持保留态度。
add	LAFT9018-123	002.19901120戴小华专访李敖.txt	113-113	君子绝交不出恶言	引出绝交仍不恶言的交往标准，李敖在原文中持保留态度。
add	LAFT9018-124	013.20000218《上海青年报》专访李敖.txt	33-33	老当益壮	形容年老仍有雄心与活力。
add	LAFT9018-125	013.20000218《上海青年报》专访李敖.txt	33-33	越老越激烈，越老越成工作狂。	概括晚年持续高强度写作的状态。
add	LAFT9018-126	014.20000412《TVBS周刊》李敖对谈.txt	249-249	故事是假的，场景是真的。	概括历史小说中虚构故事与真实场景的关系。
add	LAFT9018-127	014.20000412《TVBS周刊》李敖对谈.txt	253-253	背景借用古人说我的话	说明借古人背景表达作者思想。
add	LAFT9018-128	014.20000412《TVBS周刊》李敖对谈.txt	275-275	真就是幻，幻就是真。	以真假幻真互转表达历史与小说的诠释关系。
add	LAFT9018-129	015.20000413《北京青年报》专访李敖.txt	35-35	真正的佛教不是出世的，而是入世的。	概括佛教入世面向。
add	LAFT9018-130	015.20000413《北京青年报》专访李敖.txt	35-35	由出世回到入世，为众生舍身。	说明回向后的舍身观念。
add	LAFT9018-131	015.20000413《北京青年报》专访李敖.txt	75-75	白话文从一开始就提倡口语化，不避俗语俗字。	说明白话文口语化和不避俗语俗字。
add	LAFT9018-132	015.20000413《北京青年报》专访李敖.txt	85-85	第一是文学家，第二是诗人，第三是历史学家	说明其内心的身份排序。
add	LAFT9018-133	016.2000《北京青年报》《羊城晚报》《搜狐网》专访李敖.txt	139-139	我不要全尸的观念。	以遗体捐赠反传统全尸观念。
