action	reason	id	source_file	line_start	line_end	present	political_hits	quote_text
add	校对补入	LAJJSPZ-021	004.第二章、粤海波澜多.txt	75	75	yes		雪满山原，一白无际
add	校对补入	LAJJSPZ-022	004.第二章、粤海波澜多.txt	93	93	yes		取道北溪，探四明石窗，蹑鼠尾山巅，向西北驰下
add	校对补入	LAJJSPZ-040	009.第七章、蜀中无大将.txt	405	405	yes		要劫劫皇杠，要玩玩娘娘
add	校对补入	LAJJSPZ-041	009.第七章、蜀中无大将.txt	449	449	yes		看花愁近最高楼
add	校对补入	LAJJSPZ-042	009.第七章、蜀中无大将.txt	467	467	yes		虽不杀伯仁，伯仁因我而死
add	校对补入	LAJJSPZ-046	011.第九章、打不过毛泽东.txt	105	105	yes		瞒天过海
add	校对补入	LAJJSPZ-047	011.第九章、打不过毛泽东.txt	265	265	yes		百无一用之书生
add	校对补入	LAJJSPZ-049	011.第九章、打不过毛泽东.txt	271	271	yes		忧心如焚
add	校对补入	LAJJSPZ-048	011.第九章、打不过毛泽东.txt	271	271	yes		一生辛苦，乃落得如此一文不值之下场
add	校对补入	LAJJSPZ-050	011.第九章、打不过毛泽东.txt	355	355	yes		扶不起的阿斗
add	校对补入	LAJJSPZ-051	011.第九章、打不过毛泽东.txt	355	355	yes		可怜汉主求仙意，博得胡僧话劫灰
add	校对补入	LAJJSPZ-052	012.第十章、作弄李宗仁.txt	23	23	yes		“远水”救不了“近火”
add	校对补入	LAJJSPZ-054	012.第十章、作弄李宗仁.txt	23	23	yes		吃回头草
add	校对补入	LAJJSPZ-053	012.第十章、作弄李宗仁.txt	23	23	yes		背黑锅
add	校对补入	LAJJSPZ-055	012.第十章、作弄李宗仁.txt	23	23	yes		替死鬼
add	校对补入	LAJJSPZ-056	012.第十章、作弄李宗仁.txt	185	185	yes		蛛丝马迹
add	校对补入	LAJJSPZ-057	012.第十章、作弄李宗仁.txt	255	255	yes		改弦更张
add	校对补入	LAJJSPZ-058	012.第十章、作弄李宗仁.txt	255	255	yes		故步自封
add	校对补入	LAJJSPZ-059	013.第十一章、孤岛上的父与子.txt	45	45	yes		无可奈何花落去
add	校对补入	LAJJSPZ-060	014.第十二章、朝代的终结.txt	181	181	yes		打破砂锅问到底
add	校对补入	LAJJSPZ-061	014.第十二章、朝代的终结.txt	181	181	yes		弃车保帅
add	校对补入	LAJJSPZ-062	014.第十二章、朝代的终结.txt	181	181	yes		投鼠忌器
